s_3356	s_3441	s_3349	s_3444	s_3331	s_3382	s_3436	s_3377	s_3277	s_3280	s_3402	s_3378	s_3328	s_3287	s_3410	s_3254	s_3428	s_3393	s_3386	s_3417	s_3415	s_3326	s_3395	s_3301	s_3274	s_3351	s_3421	s_3256	s_3358	s_3297	s_3425	s_3304	s_3357	s_3264	s_3338	s_3342	s_3353	s_3325	s_3368	s_3335	s_3303	s_3432	s_3292	s_3257	s_3266	s_3366	s_3306	s_3409	s_3355	s_3334	s_3399	s_3375	s_3265	s_3253	s_3288	s_3413	s_3345	s_3341	s_3299	s_3282	s_3319	s_3380	s_3397	s_3339	s_3259	s_3284	s_3435	s_3330	s_3423	s_3261	s_3446	s_3437	s_3384	s_3285	s_3448	s_3445	s_3329	s_3360	s_3369	s_3315	s_3309	s_3343	s_3383	s_3405	s_3258	s_3348	s_3294	s_3305	s_3296	s_3313	s_3450	s_3317	s_3359	s_3376	s_3262	s_3416	s_3362	s_3276	s_3332	s_3286	s_3401	s_3324	s_3278	s_3260	s_3350	s_3281	s_3321	s_3424	s_3293	s_3307	s_3403	s_3255	s_3269	s_3340	s_3316	s_3388	s_3336	s_3252	s_3279	s_3344	s_3396	s_3434	s_3352	s_3419	s_3298	s_3365	s_3320	s_3373	s_3354	s_3367	s_3438	s_3291	s_3300	s_3447	s_3308	s_3346	s_3404	s_3318	s_3295	s_3412	s_3272	s_3379	s_3433	s_3385	s_3333	s_3398	s_3374	s_3431	s_3314	s_3311	s_3449	s_3408
s_3369 0.05376076 0.05761936 0.05763182 0.05752511 0.06521506 0.06077895 0.09871073 0.06040596 0.06459151 0.06421274 0.09573663 0.05777412 0.06906534 0.10230022 0.05405468 0.01667722 0.05978289 0.05745421 0.05626769 0.05652269 0.06983268 0.05823293 0.05727869 0.05841836 0.06287352 0.06581271 0.05289830 0.00619122 0.01043478 0.05484187 0.05296398 0.05911594 0.00341006 0.05416920 0.00221413 0.02682593 0.02036345 0.06139167 0.06573627 0.07840545 0.05589619 0.05758790 0.05806775 0.03779644 0.05392897 0.09618586 0.06180790 0.05994546 0.00554262 0.08137224 0.09896249 0.05668550 0.00725573 0.03543143 0.10095059 0.05147059 0.05264505 0.01859410 0.05374000 0.05815147 0.06704915 0.05919092 0.10009309 0.05102586 0.01294751 0.05978383 0.05756802 0.07099391 0.05541459 0.05233206 0.05826537 0.09113530 0.05616475 0.06061520 0.09345344 0.05754065 0.06735106 0.05262517 0 0.05291767 0.09860242 0.00558032 0.05891115 0.05974950 0.26160991 0.09807047 0.09573526 0.08052951 0.09536955 0.06351733 0.06131788 0.14160839 0.00425831 0.05922734 0.00316187 0.05754460 0.05180203 0.06056227 0.06850951 0.06319213 0.05714391 0.05105282 0.06035141 0.00710572 0.07038872 0.05798404 0.06732489 0.05837002 0.10471269 0.06207924 0.07935800 0.04818898 0.05713541 0.05322802 0.00677359 0.05709926 0.04447717 0.05514032 0.06526905 0.06217675 0.05959756 0.06250974 0.03487895 0.05622302 0.06726283 0.09211451 0.06826129 0.01892381 0.05112059 0.09289253 0.05461820 0.06528412 0.05502133 0.05630722 0.06152039 0.01396179 0.07694572 0.05993100 0.09549643 0.05452883 0.05454282 0.05837399 0.05637071 0.06295264 0.06939997 0.05147410 0.06054608 0.05676263 0.06476194 0.07430577 0.05665361 0.05568966
s_3315 0.00040871 0.00023296 0.00033784 0.00024781 0.00361173 0.00404938 0.00365463 0.00364949 0.00372498 0.00372729 0.00222754 0.00363236 0.00025084 0.00359640 0.00040347 0.00024397 0.00399703 0.00352361 0.00033683 0.00023558 0.00364597 0.00373619 0.00401807 0.00304238 0.00349700 0.00022932 0.00025295 0.00023632 0.00025334 0.00042675 0.00385673 0.00031325 0.00025921 0.00356443 0.00025115 0.00040607 0.00023527 0.00371959 0.00023302 0.00419453 0.00026401 0.00023006 0.00384760 0.00023465 0.00394586 0.00463543 0.00369735 0.00400058 0.00024488 0.00441414 0.00224187 0.00024888 0.00023954 0.00023693 0.00370201 0.00381510 0.00025755 0.00025974 0.00020819 0.00392667 0.00369981 0.00361463 0.00359614 0.00024485 0.00023937 0.00354164 0.00023547 0.00369727 0.00024279 0.00022875 0.00027845 0.00221027 0.00030849 0.00370944 0.00482494 0.00023688 0.00332064 0.00029013 0.05291767 0 0.00355216 0.00025013 0.00403340 0.00404580 0.00023887 0.00460678 0.00210439 0.00021871 0.00210242 0.00366131 0.00352413 0.00029286 0.00026168 0.00362126 0.00023058 0.00022200 0.00024848 0.00355832 0.00371058 0.00367208 0.00357373 0.00036881 0.00358533 0.00023183 0.00372225 0.00388564 0.00371501 0.00363205 0.00362746 0.00371181 0.00384004 0.00023059 0.00025666 0.00025745 0.00021938 0.00024266 0.00025836 0.00026469 0.00377995 0.00373660 0.00397241 0.00032823 0.00023980 0.00023449 0.00026047 0.00462558 0.00365201 0.00049859 0.00024344 0.00468315 0.00339226 0.00376089 0.00027587 0.00023394 0.00372943 0.00023918 0.00369758 0.00339999 0.00206957 0.00023431 0.00385453 0.00362700 0.00023149 0.00032744 0.00350395 0.00383723 0.00036326 0.00023881 0.00366293 0.00371895 0.00025698 0.00023579
s_3309 0.00341281 0.00368945 0.00357650 0.00370671 0.00332665 0.00395887 0.00332788 0.00371424 0.00362591 0.00394016 0.00348987 0.00367024 0.00376912 0.00332407 0.00340240 0.00365245 0.00386101 0.00346505 0.00357463 0.00369078 0.00332077 0.00370946 0.00387242 0.00291869 0.00336067 0.00369366 0.00366544 0.00371767 0.00369597 0.00312286 0.00373022 0.00340532 0.00366490 0.00330858 0.00382366 0.00357577 0.00371498 0.00370261 0.00367460 0.00417227 0.00359712 0.00371795 0.00364989 0.00375721 0.00367838 0.00446419 0.00365088 0.00389313 0.00367020 0.00450298 0.00350359 0.00368022 0.00375699 0.00372486 0.00342823 0.00365593 0.00370785 0.00367934 0.00377936 0.00377516 0.00343309 0.00367449 0.00325761 0.00380035 0.00374107 0.00367671 0.00369590 0.00340825 0.00362412 0.00373703 0.00354043 0.00342573 0.00356349 0.00390473 0.00447257 0.00369215 0.00308200 0.00363441 0.09860242 0.00355216 0 0.00379440 0.00399241 0.00391731 0.00374093 0.00437256 0.00348390 0.00376747 0.00352418 0.00352932 0.00341958 0.00358809 0.00365175 0.00369798 0.00371912 0.00368484 0.00370901 0.00343841 0.00343286 0.00386041 0.00345272 0.00359093 0.00371432 0.00377734 0.00376998 0.00372346 0.00345000 0.00367672 0.00336516 0.00365003 0.00364399 0.00373735 0.00358442 0.00378310 0.00378418 0.00372719 0.00380016 0.00341760 0.00400150 0.00367374 0.00386688 0.00336284 0.00370927 0.00369292 0.00344068 0.00441426 0.00336305 0.00340902 0.00369292 0.00447311 0.00335169 0.00404142 0.00335606 0.00371195 0.00368059 0.00373133 0.00343948 0.00318172 0.00340185 0.00369265 0.00354781 0.00370122 0.00367459 0.00359593 0.00317912 0.00373379 0.00346373 0.00366958 0.00337749 0.00359021 0.00361320 0.00365882
s_3343 0.00028882 0.00009965 0.00020961 0.00011605 0.00380071 0.00414081 0.00377023 0.00373961 0.00386969 0.00392983 0.00226402 0.00370363 0.00012282 0.00375775 0.00027680 0.00011143 0.00410312 0.00352974 0.00023017 0.00009619 0.00369847 0.00404343 0.00409279 0.00307631 0.00354935 0.00010949 0.00012558 0.00009895 0.00014647 0.00029848 0.00399896 0.00016154 0.00014305 0.00371671 0.00011351 0.00023874 0.00009272 0.00399610 0.00010986 0.00444495 0.00008495 0.00009810 0.00399819 0.00010109 0.00416282 0.00488603 0.00395287 0.00406400 0.00014640 0.00471547 0.00228278 0.00013566 0.00010209 0.00010437 0.00390484 0.00392291 0.00006782 0.00008959 0.00008497 0.00415327 0.00391486 0.00369079 0.00368293 0.00011602 0.00010226 0.00366850 0.00010127 0.00394800 0.00013963 0.00009986 0.00016336 0.00226006 0.00022439 0.00386444 0.00505964 0.00009343 0.00357464 0.00017063 0.00558032 0.00025013 0.00379440 0 0.00413037 0.00410253 0.00010612 0.00477554 0.00218987 0.00003413 0.00220281 0.00376670 0.00348789 0.00018513 0.00014748 0.00369838 0.00009595 0.00004784 0.00011656 0.00363880 0.00401609 0.00381431 0.00354997 0.00026828 0.00371568 0.00010082 0.00385941 0.00410288 0.00400379 0.00369402 0.00379126 0.00393279 0.00394533 0.00009629 0.00012735 0.00010869 0.00010933 0.00012914 0.00012267 0.00015302 0.00399918 0.00379347 0.00405909 0.00022913 0.00010320 0.00009712 0.00015259 0.00488530 0.00390282 0.00041532 0.00010095 0.00493185 0.00334751 0.00399201 0.00017808 0.00010091 0.00399069 0.00005412 0.00380289 0.00369490 0.00212892 0.00009962 0.00402597 0.00369778 0.00010375 0.00021979 0.00367876 0.00386522 0.00026437 0.00011208 0.00374415 0.00392119 0.00013372 0.00011140
s_3383 0.00391916 0.00452099 0.00408809 0.00450057 0.00419209 0.00030389 0.00436289 0.00447569 0.00282243 0.00011643 0.00450157 0.00421525 0.00424083 0.00416221 0.00408289 0.00416107 0.00026065 0.00280280 0.00425602 0.00451853 0.00446299 0.00281395 0.00031461 0.00225895 0.00261442 0.00448850 0.00440316 0.00423679 0.00430478 0.00350825 0.00365770 0.00372409 0.00418301 0.00339155 0.00407039 0.00404212 0.00441541 0.00282097 0.00447357 0.00435319 0.00405171 0.00452597 0.00343877 0.00429645 0.00357418 0.00491370 0.00275819 0.00032678 0.00423332 0.00457249 0.00456296 0.00428414 0.00430296 0.00425573 0.00430282 0.00353885 0.00404905 0.00408173 0.00417848 0.00356750 0.00430240 0.00434079 0.00423929 0.00425776 0.00426404 0.00018379 0.00446118 0.00430477 0.00438585 0.00429371 0.00424283 0.00440494 0.00426791 0.00015532 0.00504075 0.00449078 0.00391607 0.00427063 0.05891115 0.00403340 0.00399241 0.00413037 0 0.00030399 0.00428550 0.00496016 0.00425716 0.00412967 0.00428371 0.00270076 0.00281704 0.00405455 0.00414081 0.00438773 0.00417564 0.00443531 0.00438871 0.00269287 0.00437922 0.00015657 0.00278199 0.00407370 0.00020308 0.00430838 0.00048711 0.00352885 0.00434454 0.00442798 0.00418053 0.00273236 0.00354791 0.00430716 0.00417636 0.00425432 0.00417202 0.00449977 0.00430231 0.00397628 0.00010402 0.00280253 0.00038786 0.00410896 0.00441559 0.00453298 0.00388804 0.00486087 0.00428604 0.00394338 0.00441053 0.00488839 0.00247740 0.00010611 0.00378947 0.00452559 0.00276713 0.00417343 0.00423231 0.00400341 0.00419083 0.00451927 0.00345974 0.00437895 0.00449283 0.00426341 0.00400653 0.00044915 0.00413210 0.00443348 0.00270766 0.00319223 0.00439102 0.00444358
s_3405 0.00399325 0.00458690 0.00419193 0.00455291 0.00420455 0.00034376 0.00433797 0.00451505 0.00290229 0.00016162 0.00450618 0.00426851 0.00432596 0.00419378 0.00405807 0.00426474 0.00029171 0.00292217 0.00438489 0.00457231 0.00445215 0.00283108 0.00036526 0.00230608 0.00271652 0.00461486 0.00438954 0.00431137 0.00441176 0.00348623 0.00372629 0.00379776 0.00428056 0.00342640 0.00413858 0.00402723 0.00451306 0.00282847 0.00458032 0.00429128 0.00405787 0.00457791 0.00352485 0.00437641 0.00366098 0.00488642 0.00276860 0.00033078 0.00436497 0.00448869 0.00454732 0.00439914 0.00438018 0.00435703 0.00433599 0.00359486 0.00406291 0.00406601 0.00420779 0.00367462 0.00431320 0.00437726 0.00427860 0.00434936 0.00438146 0.00017615 0.00453767 0.00437333 0.00450307 0.00438796 0.00432038 0.00439326 0.00427449 0.00014803 0.00490684 0.00457360 0.00399573 0.00438044 0.05974950 0.00404580 0.00391731 0.00410253 0.00030399 0 0.00437503 0.00499189 0.00428897 0.00412800 0.00428959 0.00273879 0.00283106 0.00408098 0.00426038 0.00446929 0.00428850 0.00439952 0.00446839 0.00276461 0.00438031 0.00015622 0.00282913 0.00419056 0.00026225 0.00439945 0.00053183 0.00362263 0.00436898 0.00445614 0.00419518 0.00274640 0.00361716 0.00439612 0.00429484 0.00435038 0.00416105 0.00451365 0.00437987 0.00403224 0.00015393 0.00283053 0.00036620 0.00417842 0.00450174 0.00460119 0.00395062 0.00478845 0.00432057 0.00408861 0.00451718 0.00481434 0.00250198 0.00014617 0.00379647 0.00459549 0.00278330 0.00418691 0.00428094 0.00405091 0.00420340 0.00457607 0.00352590 0.00442344 0.00458065 0.00435116 0.00410817 0.00048981 0.00426735 0.00450957 0.00272544 0.00323314 0.00445965 0.00452524
s_3258 0.00026670 0.00002293 0.00016299 0.00003882 0.00378149 0.00432407 0.00384852 0.00388135 0.00394212 0.00393961 0.00223441 0.00385334 0.00003496 0.00379172 0.00028749 0.00003917 0.00428453 0.00373703 0.00015715 0.00002388 0.00389794 0.00393323 0.00426453 0.00296087 0.00358184 0.00003490 0.00009332 0.00001961 0.00007395 0.00026768 0.00410197 0.00020077 0.00007876 0.00360443 0.00002611 0.00028284 0.00002325 0.00389914 0.00003523 0.00433729 0.00011827 0.00001979 0.00398486 0.00001952 0.00415523 0.00491280 0.00386589 0.00424098 0.00008052 0.00462387 0.00228288 0.00006481 0.00001666 0.00002198 0.00391641 0.00399883 0.00011089 0.00011987 0.00007124 0.00416193 0.00393070 0.00383596 0.00373326 0.00002327 0.00001572 0.00370112 0.00002649 0.00388086 0.00007096 0.00001980 0.00008317 0.00225643 0.00016385 0.00391970 0.00513096 0.00002297 0.00344913 0.00010196 0.26160991 0.00023887 0.00374093 0.00010612 0.00428550 0.00437503 0 0.00480659 0.00212414 0.00007864 0.00215243 0.00373036 0.00380523 0.00017037 0.00007775 0.00383303 0.00002358 0.00009126 0.00004022 0.00368106 0.00392284 0.00388012 0.00373088 0.00018622 0.00368582 0.00001948 0.00399062 0.00408182 0.00392295 0.00386192 0.00380858 0.00387070 0.00403301 0.00001784 0.00004156 0.00002389 0.00008401 0.00005131 0.00002989 0.00007331 0.00403259 0.00395997 0.00427409 0.00015207 0.00002303 0.00002419 0.00013721 0.00491245 0.00384416 0.00034589 0.00002766 0.00495640 0.00354646 0.00393986 0.00017309 0.00002481 0.00387519 0.00009123 0.00397375 0.00353010 0.00210460 0.00002710 0.00400706 0.00385321 0.00003089 0.00017146 0.00362432 0.00401595 0.00018727 0.00003713 0.00368569 0.00381680 0.00005890 0.00003066
s_3348 0.00460183 0.00497726 0.00466679 0.00495206 0.00464302 0.00503702 0.00478720 0.00498494 0.00480413 0.00446849 0.00485973 0.00496925 0.00478360 0.00463160 0.00445106 0.00473604 0.00503244 0.00474384 0.00476829 0.00498129 0.00482859 0.00480025 0.00496485 0.00383071 0.00449994 0.00495117 0.00490819 0.00477778 0.00492516 0.00402205 0.00483968 0.00427043 0.00494435 0.00421870 0.00469700 0.00458742 0.00497359 0.00476349 0.00492489 0.00178347 0.00458507 0.00498263 0.00449944 0.00479598 0.00461986 0.00188114 0.00470224 0.00498014 0.00494931 0.00177187 0.00498555 0.00492396 0.00486733 0.00481274 0.00477571 0.00473867 0.00472767 0.00465148 0.00472321 0.00472081 0.00461591 0.00494342 0.00470043 0.00477742 0.00483500 0.00422835 0.00492299 0.00469822 0.00486864 0.00479786 0.00476862 0.00479058 0.00474265 0.00444521 0.00209908 0.00497229 0.00431778 0.00485925 0.09807047 0.00460678 0.00437256 0.00477554 0.00496016 0.00499189 0.00480659 0 0.00464862 0.00473126 0.00466628 0.00456397 0.00480381 0.00461184 0.00491033 0.00495313 0.00478373 0.00494168 0.00496575 0.00460126 0.00477666 0.00436492 0.00471745 0.00456913 0.00427444 0.00484349 0.00468248 0.00470713 0.00467959 0.00496714 0.00465532 0.00467549 0.00475627 0.00483516 0.00469963 0.00476732 0.00477039 0.00495767 0.00481352 0.00441663 0.00459810 0.00475083 0.00496430 0.00450333 0.00496872 0.00499383 0.00440278 0.00187476 0.00468774 0.00438454 0.00498043 0.00190121 0.00455469 0.00447057 0.00423510 0.00497631 0.00470575 0.00476363 0.00483378 0.00437787 0.00458839 0.00495571 0.00451909 0.00498371 0.00495117 0.00474085 0.00440984 0.00467770 0.00460589 0.00490874 0.00451763 0.00475833 0.00483808 0.00493289
s_3294 0.00198554 0.00213353 0.00207262 0.00212744 0.00361971 0.00430397 0.00362873 0.00389372 0.00386967 0.00387987 0.00009680 0.00386416 0.00217834 0.00360456 0.00209182 0.00209839 0.00423367 0.00372071 0.00208071 0.00211422 0.00359837 0.00396997 0.00423932 0.00309662 0.00355498 0.00213473 0.00210237 0.00212437 0.00212918 0.00184483 0.00402687 0.00197780 0.00210824 0.00357887 0.00220250 0.00213782 0.00212531 0.00392893 0.00211882 0.00440834 0.00207061 0.00212138 0.00393697 0.00214460 0.00393467 0.00472387 0.00392112 0.00426429 0.00209659 0.00467031 0.00007813 0.00212616 0.00215156 0.00211723 0.00372916 0.00391416 0.00214416 0.00213494 0.00215714 0.00405890 0.00371806 0.00384704 0.00358445 0.00218251 0.00212414 0.00370944 0.00211668 0.00369407 0.00209609 0.00213810 0.00207771 0.00014781 0.00210785 0.00389172 0.00490970 0.00212097 0.00334029 0.00210452 0.09573526 0.00210439 0.00348390 0.00218987 0.00425716 0.00428897 0.00212414 0.00464862 0 0.00214392 0.00005647 0.00375985 0.00367836 0.00210268 0.00210618 0.00388191 0.00211613 0.00211909 0.00213076 0.00365871 0.00372030 0.00383679 0.00373907 0.00214579 0.00369980 0.00216021 0.00400510 0.00400094 0.00376765 0.00387076 0.00366151 0.00390734 0.00393526 0.00215762 0.00206679 0.00217438 0.00217144 0.00213865 0.00218415 0.00193088 0.00394776 0.00390620 0.00421759 0.00214058 0.00213604 0.00210311 0.00193131 0.00469324 0.00364200 0.00211647 0.00213472 0.00475796 0.00360455 0.00395082 0.00190780 0.00213974 0.00394957 0.00214298 0.00376922 0.00344886 0.00008665 0.00212488 0.00381805 0.00388140 0.00210226 0.00208345 0.00341535 0.00401903 0.00208058 0.00210494 0.00365482 0.00380030 0.00211323 0.00209188
s_3305 0.00027475 0.00007472 0.00018664 0.00009145 0.00370264 0.00416247 0.00372849 0.00372703 0.00384644 0.00388773 0.00221037 0.00370051 0.00009087 0.00373724 0.00025791 0.00009000 0.00412466 0.00354087 0.00019062 0.00007728 0.00372708 0.00386985 0.00411231 0.00308024 0.00352189 0.00008133 0.00012545 0.00007497 0.00012395 0.00027583 0.00400709 0.00012774 0.00012096 0.00368148 0.00008246 0.00022668 0.00007410 0.00385117 0.00008167 0.00437045 0.00006079 0.00007666 0.00399662 0.00007683 0.00409675 0.00482120 0.00383931 0.00409021 0.00012846 0.00469295 0.00223653 0.00010889 0.00007388 0.00007598 0.00387284 0.00390549 0.00004413 0.00005891 0.00005747 0.00411421 0.00382103 0.00368802 0.00365187 0.00007762 0.00007970 0.00363870 0.00007821 0.00379416 0.00012093 0.00007349 0.00013318 0.00225314 0.00018582 0.00385948 0.00500077 0.00007223 0.00344870 0.00012810 0.08052951 0.00021871 0.00376747 0.00003413 0.00412967 0.00412800 0.00007864 0.00473126 0.00214392 0 0.00217531 0.00362287 0.00352318 0.00016091 0.00012875 0.00370051 0.00007200 0.00002357 0.00008154 0.00359272 0.00383025 0.00379377 0.00356278 0.00025289 0.00371387 0.00007357 0.00382036 0.00406959 0.00385670 0.00370899 0.00371324 0.00382262 0.00394588 0.00007122 0.00009643 0.00008048 0.00007073 0.00009090 0.00008345 0.00013149 0.00396961 0.00384980 0.00408544 0.00021060 0.00008112 0.00007726 0.00012986 0.00481905 0.00375901 0.00042813 0.00008081 0.00487043 0.00339927 0.00396871 0.00015776 0.00007790 0.00386791 0.00002956 0.00385185 0.00348366 0.00208655 0.00008167 0.00396504 0.00370540 0.00008103 0.00020826 0.00351680 0.00389038 0.00023862 0.00008473 0.00359750 0.00382730 0.00011457 0.00008323
s_3296 0.00200119 0.00214976 0.00210109 0.00214652 0.00366448 0.00432543 0.00364540 0.00390503 0.00388398 0.00392937 0.00008891 0.00389061 0.00218357 0.00363252 0.00212012 0.00208516 0.00424789 0.00369031 0.00209147 0.00213593 0.00359151 0.00394775 0.00425376 0.00314247 0.00356838 0.00213486 0.00212410 0.00212737 0.00213285 0.00185966 0.00404771 0.00198727 0.00211689 0.00360126 0.00219877 0.00215196 0.00214233 0.00392671 0.00213014 0.00440372 0.00208973 0.00214006 0.00396579 0.00214876 0.00397640 0.00470931 0.00389958 0.00427297 0.00214681 0.00464306 0.00007478 0.00213691 0.00214360 0.00212959 0.00377518 0.00392610 0.00215190 0.00213031 0.00216290 0.00409837 0.00371078 0.00386349 0.00360038 0.00219458 0.00214379 0.00377384 0.00213427 0.00368081 0.00211595 0.00215260 0.00209609 0.00014309 0.00213020 0.00393102 0.00486890 0.00213425 0.00334273 0.00212248 0.09536955 0.00210242 0.00352418 0.00220281 0.00428371 0.00428959 0.00215243 0.00466628 0.00005647 0.00217531 0 0.00367870 0.00366242 0.00211244 0.00212550 0.00388132 0.00211043 0.00212526 0.00214213 0.00367513 0.00372828 0.00387860 0.00371503 0.00215147 0.00375802 0.00218556 0.00398072 0.00402714 0.00375007 0.00387057 0.00369708 0.00388588 0.00395116 0.00217025 0.00208722 0.00218784 0.00217163 0.00214965 0.00220051 0.00192776 0.00400298 0.00391243 0.00424716 0.00213872 0.00214269 0.00211288 0.00193992 0.00470297 0.00365116 0.00212569 0.00214513 0.00474481 0.00364003 0.00401227 0.00188087 0.00215403 0.00395421 0.00214388 0.00373998 0.00340441 0.00006822 0.00213194 0.00386759 0.00390019 0.00211516 0.00209896 0.00338893 0.00402653 0.00211287 0.00212253 0.00370481 0.00384984 0.00211005 0.00210733
s_3313 0.00347975 0.00376926 0.00365366 0.00379195 0.00129123 0.00277201 0.00369627 0.00383194 0.00015470 0.00240208 0.00381370 0.00380357 0.00380695 0.00366568 0.00359865 0.00366862 0.00270983 0.00027788 0.00366047 0.00378454 0.00127746 0.00016617 0.00273645 0.00030243 0.00022331 0.00378941 0.00369183 0.00369990 0.00373088 0.00320639 0.00347930 0.00331969 0.00369693 0.00308612 0.00382685 0.00359759 0.00378731 0.00016920 0.00376584 0.00428741 0.00352639 0.00378342 0.00339967 0.00370911 0.00344677 0.00463193 0.00014435 0.00273578 0.00370054 0.00454182 0.00386492 0.00372419 0.00373976 0.00371835 0.00375197 0.00339564 0.00367683 0.00366541 0.00375902 0.00347866 0.00133039 0.00380053 0.00361915 0.00384828 0.00373169 0.00229090 0.00379055 0.00132000 0.00372657 0.00370121 0.00364573 0.00372371 0.00363320 0.00240261 0.00482606 0.00378006 0.00126212 0.00369582 0.06351733 0.00366131 0.00352932 0.00376670 0.00270076 0.00273879 0.00373036 0.00456397 0.00375985 0.00362287 0.00367870 0 0.00014818 0.00366604 0.00369883 0.00381744 0.00369810 0.00369519 0.00375863 0.00018515 0.00130867 0.00232923 0.00032429 0.00365909 0.00231153 0.00374717 0.00255673 0.00344646 0.00133865 0.00379746 0.00371413 0.00014196 0.00344071 0.00374992 0.00364364 0.00379593 0.00378191 0.00378211 0.00384821 0.00342867 0.00242255 0.00011682 0.00276214 0.00358419 0.00378888 0.00376999 0.00352503 0.00460311 0.00135640 0.00353504 0.00378598 0.00465459 0.00028485 0.00241699 0.00342408 0.00379310 0.00014338 0.00373556 0.00371355 0.00152631 0.00368058 0.00379426 0.00336638 0.00381864 0.00379470 0.00366174 0.00136768 0.00270631 0.00358198 0.00373571 0.00024181 0.00322933 0.00370962 0.00376415
s_3450 0.00353871 0.00398783 0.00360488 0.00401479 0.00123819 0.00285819 0.00390565 0.00406092 0.00008190 0.00244934 0.00390133 0.00386918 0.00372209 0.00368646 0.00371963 0.00375641 0.00269603 0.00023024 0.00383709 0.00399250 0.00132131 0.00007522 0.00288019 0.00031322 0.00015620 0.00404180 0.00385281 0.00375536 0.00381193 0.00323579 0.00362832 0.00329203 0.00372101 0.00318559 0.00356959 0.00345913 0.00395110 0.00008025 0.00400789 0.00425498 0.00350029 0.00395395 0.00341472 0.00379131 0.00359355 0.00486617 0.00007524 0.00285052 0.00381358 0.00445185 0.00401664 0.00377636 0.00385784 0.00382919 0.00384459 0.00355241 0.00345348 0.00349673 0.00365456 0.00354734 0.00127745 0.00389068 0.00382759 0.00374115 0.00383678 0.00229954 0.00390380 0.00126392 0.00389821 0.00378723 0.00378680 0.00389641 0.00371665 0.00240161 0.00511619 0.00400633 0.00125067 0.00381152 0.06131788 0.00352413 0.00341958 0.00348789 0.00281704 0.00283106 0.00380523 0.00480381 0.00367836 0.00352318 0.00366242 0.00014818 0 0.00357250 0.00371866 0.00395219 0.00376452 0.00367178 0.00389432 0.00011745 0.00127964 0.00234606 0.00036475 0.00361538 0.00234978 0.00383497 0.00264806 0.00351671 0.00128514 0.00405525 0.00368587 0.00006354 0.00345894 0.00384193 0.00377963 0.00369846 0.00362962 0.00392170 0.00375881 0.00352113 0.00249479 0.00008656 0.00285721 0.00371196 0.00396578 0.00400821 0.00344872 0.00488452 0.00131212 0.00361542 0.00395731 0.00490501 0.00032710 0.00236571 0.00333233 0.00398705 0.00006766 0.00360870 0.00386020 0.00151318 0.00363103 0.00387207 0.00342964 0.00400876 0.00384172 0.00381206 0.00131875 0.00277365 0.00375111 0.00391244 0.00020425 0.00318555 0.00382107 0.00397131
s_3317 0.00032334 0.00016519 0.00025979 0.00017925 0.00364828 0.00405774 0.00365444 0.00369568 0.00375994 0.00377629 0.00222331 0.00367980 0.00019492 0.00362112 0.00035661 0.00018268 0.00403335 0.00355227 0.00027081 0.00017122 0.00368468 0.00376488 0.00405628 0.00304167 0.00350617 0.00016195 0.00018661 0.00017085 0.00018255 0.00034960 0.00391656 0.00025738 0.00019557 0.00357750 0.00017981 0.00034387 0.00015667 0.00376326 0.00015487 0.00420189 0.00020084 0.00016428 0.00389340 0.00016779 0.00399677 0.00467160 0.00376467 0.00404681 0.00019306 0.00443686 0.00224060 0.00017994 0.00015891 0.00017463 0.00373695 0.00384865 0.00019928 0.00019080 0.00015261 0.00398565 0.00373832 0.00363753 0.00360340 0.00018133 0.00017241 0.00359200 0.00015819 0.00374169 0.00018292 0.00016587 0.00021831 0.00221958 0.00025317 0.00373137 0.00486445 0.00016860 0.00337017 0.00022134 0.14160839 0.00029286 0.00358809 0.00018513 0.00405455 0.00408098 0.00017037 0.00461184 0.00210268 0.00016091 0.00211244 0.00366604 0.00357250 0 0.00019909 0.00367492 0.00016302 0.00016914 0.00016254 0.00359533 0.00377042 0.00368727 0.00356733 0.00032195 0.00358807 0.00016275 0.00374397 0.00395624 0.00377885 0.00367484 0.00362845 0.00374610 0.00388492 0.00016199 0.00019184 0.00018511 0.00014903 0.00016248 0.00018783 0.00021536 0.00382215 0.00376983 0.00403478 0.00028201 0.00017283 0.00015661 0.00021281 0.00467050 0.00370103 0.00043107 0.00015703 0.00471322 0.00343810 0.00380672 0.00022915 0.00015601 0.00377831 0.00017315 0.00376638 0.00345675 0.00206413 0.00016788 0.00388439 0.00367337 0.00017018 0.00026603 0.00351530 0.00385065 0.00030498 0.00018246 0.00368051 0.00372904 0.00019845 0.00017093
