s_3203	s_3356	s_3347	s_3226	s_3193	s_3277	s_3249	s_3328	s_3287	s_3254	s_3200	s_3185	s_3250	s_3224	s_3326	s_3268	s_3218	s_3227	s_3274	s_3358	s_3165	s_3181	s_3188	s_3297	s_3196	s_3164	s_3283	s_3304	s_3357	s_3174	s_3264	s_3237	s_3322	s_3342	s_3353	s_3325	s_3292	s_3190	s_3257	s_3266	s_3213	s_3191	s_3306	s_3189	s_3209	s_3355	s_3334	s_3242	s_3265	s_3253	s_3217	s_3288	s_3205	s_3345	s_3341	s_3319	s_3282	s_3337	s_3259	s_3223	s_3235	s_3284	s_3330	s_3244	s_3163	s_3220	s_3261	s_3271	s_3228	s_3167	s_3169	s_3215	s_3285	s_3251	s_3202	s_3225	s_3343	s_3258	s_3312	s_3210	s_3294	s_3238	s_3263	s_3233	s_3305	s_3313	s_3310	s_3187	s_3204	s_3275	s_3317	s_3262	s_3186	s_3171	s_3162	s_3241	s_3276	s_3332	s_3173	s_3230	s_3286	s_3240	s_3324	s_3350	s_3260	s_3278	s_3302	s_3195	s_3168	s_3321	s_3194	s_3206	s_3293	s_3247	s_3307	s_3243	s_3178	s_3255	s_3269	s_3340	s_3212	s_3245	s_3252	s_3207	s_3344	s_3183	s_3201	s_3175	s_3208	s_3267	s_3161	s_3216	s_3234	s_3354	s_3291	s_3170	s_3346	s_3308	s_3229	s_3318	s_3295	s_3166	s_3239	s_3197	s_3333	s_3222	s_3311	s_3314	s_3248	s_3214	s_3289
s_3285 0.00769975 0.00806715 0.01059150 0.00822894 0.00928273 0.00795937 0.00789781 0.00808919 0.00008475 0.00769715 0.00836161 0.00815239 0.00780245 0.00836397 0.00810937 0.00781061 0.00762744 0.00891391 0.01087433 0.00811565 0.00790292 0.00822368 0.00835903 0.00804098 0.00758134 0.00795398 0.00840187 0.00971768 0.01100410 0.00784785 0.00794191 0.00800931 0.00776674 0.00809512 0.00813006 0.00787081 0.00941135 0.00771609 0.00997699 0.00783886 0.00843084 0.00769799 0.00759399 0.00858257 0.00815389 0.00826025 0.00763489 0.00829117 0.00877458 0.00776584 0.00783600 0.00009098 0.00756338 0.00753105 0.00809935 0.00970405 0.00979606 0.00951455 0.01048791 0.00833739 0.00795104 0.00806703 0.00822859 0.01258950 0.00798019 0.00890782 0.00796877 0.00785953 0.00757238 0.00796051 0.00784181 0.00784449 0 0.00827303 0.00747667 0.00778668 0.00858304 0.00782050 0.00764399 0.01022745 0.00854857 0.00891244 0.00797439 0.00845149 0.01003364 0.00847083 0.01081617 0.00923406 0.00760265 0.01057810 0.00810750 0.00796420 0.00783337 0.00792184 0.00800038 0.00758226 0.01075670 0.00806036 0.00817756 0.00756289 0.00006513 0.00756868 0.00756982 0.00808668 0.00794372 0.05922734 0.00819948 0.00888108 0.00797065 0.00807506 0.00889782 0.00905389 0.00845373 0.00765729 0.01059851 0.01128340 0.00811497 0.00781899 0.00808756 0.00812504 0.00791026 0.00802115 0.00765663 0.00815722 0.00806279 0.00821794 0.00772990 0.00819384 0.00798398 0.00796453 0.00819135 0.00772290 0.00788263 0.00808640 0.01005396 0.00795289 0.00833805 0.00802718 0.00781514 0.00982689 0.00884095 0.00801645 0.00770217 0.00754301 0.00005858 0.00798744 0.00801448 0.00958277 0.00795267 0.00761966 0.00007036
s_3251 0.00512708 0.00091203 0.01078652 0.00121594 0.00958140 0.00096405 0.00095457 0.00090132 0.00827557 0.00076386 0.00873078 0.00826464 0.00078221 0.00150713 0.00093927 0.00105477 0.00817007 0.00965546 0.01152219 0.00106937 0.00094233 0.00917836 0.00867122 0.00097319 0.00811758 0.00090890 0.00163152 0.01003346 0.01164699 0.00091633 0.00102868 0.00098725 0.00862918 0.00092524 0.00096849 0.00063261 0.00972269 0.00854261 0.01058018 0.00103977 0.00131937 0.00847105 0.00839619 0.00887688 0.00154437 0.00115841 0.00830250 0.00922285 0.00183382 0.00803416 0.00828434 0.00824564 0.00499814 0.00831189 0.00091208 0.00172159 0.00257949 0.00990148 0.01074687 0.00874954 0.00847000 0.00102838 0.00105310 0.01301617 0.00103017 0.00939132 0.00091526 0.00089337 0.00819663 0.00093349 0.00090996 0.00828544 0.00827303 0 0.00816496 0.00090704 0.00169819 0.00127931 0.00859069 0.01055100 0.00150084 0.00978731 0.00092368 0.00144349 0.01035744 0.00895487 0.01098480 0.00970338 0.00512688 0.01114303 0.00097006 0.00091022 0.00800180 0.00094224 0.00093753 0.00830076 0.01142603 0.00105936 0.00939373 0.00825932 0.00826398 0.00822033 0.00825590 0.00090139 0.00094456 0.04917642 0.00832074 0.00923112 0.00093686 0.00091791 0.00924089 0.00231492 0.00132020 0.00093339 0.01090228 0.01164618 0.00101579 0.00072728 0.00109612 0.00095634 0.00087874 0.00097663 0.00071599 0.00147752 0.00092357 0.00843018 0.00852029 0.00901722 0.00092797 0.00105893 0.00140418 0.00819361 0.00839420 0.00089345 0.01038404 0.00092465 0.00597810 0.00554274 0.00851501 0.00998768 0.00141880 0.00095635 0.00834694 0.00823461 0.00824547 0.00833210 0.00553244 0.00971698 0.00094258 0.00062753 0.00821363
s_3202 0.00733411 0.00766189 0.01067267 0.00796966 0.00912987 0.00768099 0.00771575 0.00777152 0.00751150 0.00783082 0.00820750 0.00795227 0.00780471 0.00815586 0.00768959 0.00769739 0.00705313 0.00811781 0.01072226 0.00798493 0.00778049 0.00714029 0.00821284 0.00754868 0.00017926 0.00776060 0.00783381 0.00956381 0.01085087 0.00770200 0.00780151 0.00768904 0.00712901 0.00774610 0.00780934 0.00776747 0.00926496 0.00702186 0.00951952 0.00765198 0.00797614 0.00694013 0.00027440 0.00840159 0.00795197 0.00791374 0.00703013 0.00754695 0.00853570 0.00765983 0.00764377 0.00743515 0.00726652 0.00017954 0.00789711 0.00844082 0.00890321 0.00925752 0.01029309 0.00794555 0.00769702 0.00767248 0.00778215 0.01215959 0.00789205 0.00669435 0.00776875 0.00762937 0.00684683 0.00780948 0.00779852 0.00769114 0.00747667 0.00816496 0 0.00775634 0.00830163 0.00790320 0.00701954 0.01008973 0.00809738 0.00804131 0.00780514 0.00823659 0.00979205 0.00558832 0.01079823 0.00910577 0.00735468 0.01031324 0.00787412 0.00777215 0.00767269 0.00778031 0.00774596 0.00685253 0.01050866 0.00764064 0.00720190 0.00691735 0.00746435 0.00685331 0.00691290 0.00777837 0.00765751 0.10471269 0.00806343 0.00872848 0.00779487 0.00766320 0.00872574 0.00867506 0.00794531 0.00779939 0.01045557 0.01089044 0.00788152 0.00781037 0.00776252 0.00778853 0.00788948 0.00781055 0.00778803 0.00771080 0.00773505 0.00801487 0.00702985 0.00699934 0.00739560 0.00769003 0.00812379 0.00757131 0.00772047 0.00770761 0.00986671 0.00768689 0.00810269 0.00776394 0.00704826 0.00958220 0.00813829 0.00785066 0.00684639 0.00010907 0.00747418 0.00788092 0.00775333 0.00929282 0.00773665 0.00757196 0.00739246
s_3225 0.00445402 0.00023753 0.01011654 0.00043204 0.00929444 0.00027195 0.00027073 0.00023476 0.00783929 0.00054106 0.00826347 0.00788952 0.00045152 0.00073580 0.00035461 0.00031836 0.00776645 0.00856487 0.01095245 0.00041590 0.00030185 0.00894500 0.00827400 0.00029686 0.00782959 0.00025595 0.00088609 0.00943710 0.01109590 0.00025893 0.00029353 0.00029145 0.00838481 0.00025547 0.00029767 0.00042643 0.00914158 0.00837651 0.00999465 0.00029843 0.00100651 0.00832756 0.00794236 0.00845365 0.00094273 0.00049155 0.00801164 0.00845792 0.00100564 0.00755448 0.00759856 0.00779496 0.00436318 0.00787732 0.00024369 0.00138607 0.00166592 0.00932638 0.01016101 0.00835633 0.00752293 0.00029048 0.00034349 0.01201052 0.00033742 0.00902046 0.00024714 0.00027628 0.00750674 0.00028167 0.00024672 0.00764940 0.00778668 0.00090704 0.00775634 0 0.00085873 0.00061761 0.00824984 0.00998690 0.00059380 0.00881245 0.00025297 0.00074899 0.00986351 0.00834791 0.01036685 0.00919269 0.00440493 0.01056397 0.00030083 0.00023757 0.00770321 0.00025189 0.00027630 0.00743959 0.01085396 0.00030454 0.00885926 0.00748756 0.00780720 0.00754294 0.00765106 0.00023570 0.00026143 0.04442740 0.00782732 0.00902426 0.00027457 0.00023818 0.00893615 0.00161596 0.00062723 0.00028140 0.01019112 0.01089622 0.00036506 0.00040996 0.00044208 0.00030259 0.00055936 0.00030074 0.00050452 0.00073132 0.00024886 0.00801617 0.00838690 0.00893037 0.00023506 0.00028908 0.00075169 0.00761431 0.00753358 0.00025263 0.00979307 0.00026255 0.00527306 0.00489560 0.00776374 0.00952857 0.00067628 0.00030249 0.00752855 0.00784998 0.00776036 0.00795670 0.00485296 0.00930506 0.00026492 0.00035669 0.00771405
s_3343 0.00542243 0.00064131 0.01144041 0.00114312 0.01015223 0.00081964 0.00066836 0.00061773 0.00828944 0.00105997 0.00915771 0.00900886 0.00110872 0.00141911 0.00063353 0.00074608 0.00823357 0.00962369 0.01133125 0.00079602 0.00070024 0.00961440 0.00920587 0.00067601 0.00798240 0.00064279 0.00148126 0.01051583 0.01135462 0.00065472 0.00078638 0.00073229 0.00956542 0.00062618 0.00069798 0.00096063 0.01029253 0.00939272 0.01039334 0.00075184 0.00183552 0.00939756 0.00834249 0.00927773 0.00204208 0.00085969 0.00917899 0.00936674 0.00183000 0.00873776 0.00857386 0.00859522 0.00527976 0.00828899 0.00063036 0.00205554 0.00231058 0.00996993 0.01134111 0.00936760 0.00879029 0.00073142 0.00086900 0.01266133 0.00076579 0.00991902 0.00064183 0.00065307 0.00839036 0.00067358 0.00064495 0.00860374 0.00858304 0.00169819 0.00830163 0.00085873 0 0.00092971 0.00939768 0.01125850 0.00111464 0.00990850 0.00063195 0.00118110 0.01110205 0.00903895 0.01176471 0.01012272 0.00531445 0.01087440 0.00068719 0.00062346 0.00876503 0.00066255 0.00066933 0.00857197 0.01117851 0.00073769 0.00941921 0.00854012 0.00866224 0.00847489 0.00860624 0.00063286 0.00081128 0.06250974 0.00905645 0.00983226 0.00066277 0.00061519 0.00994753 0.00255679 0.00111832 0.00064837 0.01136819 0.01127059 0.00077233 0.00105160 0.00079392 0.00068339 0.00121422 0.00069648 0.00101949 0.00197412 0.00065733 0.00909446 0.00937451 0.00959234 0.00126627 0.00075093 0.00117191 0.00853179 0.00880239 0.00064618 0.01095217 0.00064974 0.00615071 0.00580794 0.00873720 0.01062933 0.00109178 0.00072848 0.00857296 0.00833289 0.00858540 0.00902188 0.00570366 0.01054939 0.00067986 0.00099629 0.00845259
s_3258 0.00458668 0.00041392 0.00989715 0.00082714 0.00981467 0.00041927 0.00045896 0.00039212 0.00786480 0.00076560 0.00844315 0.00827306 0.00079897 0.00115222 0.00044141 0.00042000 0.00786499 0.00936629 0.01021395 0.00057119 0.00047798 0.00891903 0.00847486 0.00036063 0.00791068 0.00043151 0.00096510 0.00934801 0.01028134 0.00042967 0.00041663 0.00048760 0.00823512 0.00042466 0.00046411 0.00066992 0.00906940 0.00856108 0.00982231 0.00041642 0.00128607 0.00850691 0.00768019 0.00867519 0.00132086 0.00065208 0.00788262 0.00901250 0.00120467 0.00791843 0.00767594 0.00785069 0.00450227 0.00761653 0.00041774 0.00160512 0.00181531 0.00912392 0.00986859 0.00860872 0.00791873 0.00041494 0.00047324 0.01196177 0.00051965 0.00915102 0.00042487 0.00043462 0.00808688 0.00046917 0.00043555 0.00773760 0.00782050 0.00127931 0.00790320 0.00061761 0.00092971 0 0.00810461 0.01012715 0.00073730 0.00968442 0.00040868 0.00097452 0.01006936 0.00837230 0.01010359 0.00937067 0.00453269 0.00983525 0.00048053 0.00041083 0.00815882 0.00045101 0.00046068 0.00829007 0.01014703 0.00040936 0.00901611 0.00827881 0.00785090 0.00827838 0.00786964 0.00041111 0.00039939 0.05763182 0.00784421 0.00955867 0.00043199 0.00041419 0.00940811 0.00194620 0.00074085 0.00046355 0.00998869 0.01085034 0.00052201 0.00074025 0.00050746 0.00047220 0.00092249 0.00049224 0.00073601 0.00115114 0.00042309 0.00847434 0.00853282 0.00895073 0.00064582 0.00044783 0.00088460 0.00788699 0.00802879 0.00041864 0.00985619 0.00045014 0.00504247 0.00473050 0.00840328 0.00942186 0.00070905 0.00046222 0.00825473 0.00794367 0.00771135 0.00809349 0.00468037 0.00962959 0.00046703 0.00068021 0.00767337
s_3312 0.00779292 0.00834603 0.01022717 0.00859302 0.00806152 0.00831152 0.00818405 0.00826089 0.00740488 0.00813309 0.00681928 0.00745482 0.00796676 0.00871191 0.00837255 0.00770647 0.00771290 0.00951573 0.01082476 0.00858815 0.00820079 0.00050571 0.00682348 0.00834737 0.00710144 0.00829162 0.00890924 0.00823213 0.01094710 0.00824303 0.00786393 0.00829555 0.00036879 0.00834342 0.00845342 0.00814238 0.00800512 0.00019075 0.00973304 0.00776575 0.00863780 0.00015969 0.00720154 0.00714075 0.00860427 0.00851556 0.00015354 0.00886856 0.00874247 0.00705705 0.00698165 0.00763710 0.00767025 0.00707762 0.00841533 0.00992142 0.00997990 0.00834917 0.00939128 0.00769977 0.00711851 0.00808605 0.00816957 0.01242198 0.00838399 0.00590859 0.00824428 0.00807519 0.00792272 0.00833570 0.00825164 0.00701935 0.00764399 0.00859069 0.00701954 0.00824984 0.00939768 0.00810461 0 0.00988558 0.00840174 0.00929325 0.00828246 0.00878741 0.00879662 0.00808937 0.01044448 0.00774931 0.00777696 0.01049419 0.00836372 0.00829585 0.00720385 0.00816811 0.00830798 0.00807776 0.01067123 0.00842765 0.00091342 0.00803523 0.00770567 0.00794145 0.00804220 0.00837902 0.00827952 0.05043663 0.00758203 0.00767501 0.00824347 0.00832087 0.00770851 0.00971690 0.00813627 0.00794228 0.00913249 0.01105698 0.00842602 0.00814872 0.00827279 0.00834194 0.00829140 0.00836238 0.00800851 0.00876383 0.00834566 0.00752462 0.00022332 0.00040338 0.00838865 0.00792355 0.00854137 0.00702264 0.00712613 0.00836982 0.00882675 0.00830881 0.00843793 0.00809513 0.00826670 0.00860303 0.00863593 0.00833940 0.00806374 0.00710196 0.00767566 0.00735810 0.00806015 0.00832242 0.00825612 0.00797997 0.00752329
s_3210 0.01005771 0.01005183 0.00280547 0.01034043 0.00885573 0.01010600 0.01012611 0.01000880 0.01016497 0.00998636 0.00792171 0.00303970 0.01011750 0.01072466 0.01005737 0.00998429 0.01012995 0.00711187 0.01298230 0.01018537 0.00965040 0.00953188 0.00779345 0.01001550 0.01018713 0.00973582 0.01067955 0.00923418 0.01311913 0.00964976 0.00995972 0.01011657 0.00993138 0.01007585 0.01012740 0.00989236 0.00895153 0.00969588 0.01213694 0.00996884 0.01082444 0.00963822 0.01039240 0.00805446 0.01041883 0.01023026 0.00983023 0.00667469 0.01090712 0.00273651 0.00303324 0.01024639 0.00997895 0.01023340 0.01000505 0.01213038 0.01209691 0.00895234 0.00997737 0.00355594 0.00309818 0.01013609 0.01007294 0.01469506 0.00984413 0.00811184 0.01005617 0.00988945 0.00550895 0.00966341 0.00953539 0.00312877 0.01022745 0.01055100 0.01008973 0.00998690 0.01125850 0.01012715 0.00988558 0 0.01044684 0.00700723 0.01006366 0.01067635 0.00960797 0.01058503 0.00269078 0.00885597 0.01003859 0.01269638 0.01006260 0.01000554 0.00268790 0.00950986 0.00976668 0.00552425 0.01289801 0.01006893 0.00976894 0.00557540 0.01023813 0.00560573 0.00553698 0.01004822 0.01007965 0.05841836 0.00315334 0.00847477 0.00978468 0.00997519 0.00845100 0.01109278 0.01032640 0.00996025 0.01017629 0.01334717 0.00998701 0.00996878 0.01007534 0.00999782 0.01026413 0.01015019 0.01001776 0.01033607 0.01000441 0.00323194 0.00971438 0.00940825 0.00980292 0.00999818 0.01033958 0.00308509 0.00315233 0.01005988 0.00953259 0.00963721 0.01081148 0.01036438 0.00575016 0.00931434 0.01062794 0.00974108 0.00554362 0.01008977 0.01019237 0.00318469 0.01034807 0.00888073 0.01011035 0.00992177 0.01012914
s_3294 0.00472550 0.00058604 0.01075788 0.00088336 0.00964934 0.00058063 0.00062960 0.00058570 0.00828686 0.00089319 0.00859777 0.00825346 0.00090358 0.00114920 0.00060018 0.00048965 0.00810376 0.00949852 0.01128305 0.00072222 0.00063551 0.00899229 0.00853958 0.00049198 0.00788914 0.00059357 0.00119232 0.00992119 0.01144909 0.00059793 0.00047401 0.00067011 0.00854951 0.00060379 0.00061827 0.00082743 0.00966720 0.00840378 0.01030006 0.00048239 0.00136907 0.00842463 0.00826246 0.00874036 0.00132142 0.00082293 0.00841021 0.00890838 0.00121900 0.00816103 0.00798425 0.00850266 0.00464287 0.00818846 0.00058136 0.00179430 0.00200099 0.00976613 0.01047903 0.00870798 0.00819174 0.00048251 0.00052410 0.01275193 0.00065392 0.00937479 0.00058631 0.00046608 0.00808614 0.00064161 0.00058762 0.00798587 0.00854857 0.00150084 0.00809738 0.00059380 0.00111464 0.00073730 0.00840174 0.01044684 0 0.00957706 0.00058676 0.00112720 0.01047732 0.00882859 0.01108460 0.00949618 0.00469492 0.01086236 0.00061707 0.00058839 0.00802762 0.00061729 0.00061883 0.00816383 0.01111189 0.00051214 0.00884528 0.00812405 0.00855216 0.00804542 0.00813847 0.00058771 0.00056818 0.06295264 0.00830410 0.00931169 0.00062139 0.00059894 0.00931981 0.00205712 0.00072336 0.00060521 0.01067100 0.01143537 0.00066565 0.00086142 0.00059542 0.00062959 0.00094694 0.00066923 0.00081453 0.00130887 0.00058021 0.00837982 0.00842752 0.00891166 0.00077503 0.00047468 0.00105033 0.00797778 0.00814702 0.00058732 0.01025799 0.00060628 0.00551613 0.00515091 0.00831287 0.00993551 0.00076952 0.00062294 0.00815185 0.00814993 0.00850381 0.00836163 0.00504639 0.00993178 0.00061541 0.00079552 0.00845801
s_3238 0.00849879 0.00930385 0.00750749 0.00936425 0.01083203 0.00938974 0.00937158 0.00931172 0.00900183 0.00919002 0.00978935 0.00436831 0.00938508 0.00934014 0.00931675 0.00935560 0.00812047 0.00321226 0.01198505 0.00940622 0.00906996 0.00929765 0.00959306 0.00942805 0.00804860 0.00905451 0.01002359 0.01106628 0.01213791 0.00896092 0.00938752 0.00913729 0.00941386 0.00928192 0.00937574 0.00926972 0.01087097 0.00925900 0.01106424 0.00933975 0.00976685 0.00913965 0.00833540 0.00992777 0.00948306 0.00952847 0.00924915 0.00239963 0.01006658 0.00420017 0.00414129 0.00890381 0.00834539 0.00824357 0.00935346 0.01028684 0.01113293 0.01103807 0.01206952 0.00471446 0.00415816 0.00927734 0.00942415 0.01387510 0.00916352 0.01030268 0.00929513 0.00922845 0.00158212 0.00908304 0.00895127 0.00412506 0.00891244 0.00978731 0.00804131 0.00881245 0.00990850 0.00968442 0.00929325 0.00700723 0.00957706 0 0.00934282 0.00968476 0.01165614 0.00849980 0.00737067 0.01071547 0.00845148 0.01168685 0.00936866 0.00936018 0.00405845 0.00893284 0.00911177 0.00156052 0.01192359 0.00942579 0.00915005 0.00158377 0.00898406 0.00167713 0.00156694 0.00928210 0.00937224 0.06735106 0.00450838 0.01036366 0.00909169 0.00926886 0.01040784 0.01073913 0.00951868 0.00937768 0.01222950 0.01245813 0.00920235 0.00932391 0.00945043 0.00938472 0.00919838 0.00937672 0.00936474 0.00947187 0.00934382 0.00444827 0.00927831 0.00916975 0.00905677 0.00931849 0.00947953 0.00408408 0.00409904 0.00931812 0.01160131 0.00896713 0.00921371 0.00897938 0.00174202 0.01127572 0.00961958 0.00906836 0.00160444 0.00808119 0.00888625 0.00440974 0.00887666 0.01110252 0.00937513 0.00897775 0.00897487
s_3263 0.00444050 0.00006700 0.01035737 0.00051234 0.00936365 0.00009991 0.00008647 0.00006824 0.00797592 0.00043435 0.00832177 0.00802000 0.00044169 0.00083628 0.00007697 0.00021554 0.00771164 0.00911653 0.01086371 0.00020555 0.00009753 0.00891275 0.00828307 0.00015405 0.00784504 0.00007188 0.00068608 0.00955981 0.01102837 0.00007291 0.00021264 0.00010693 0.00846026 0.00008719 0.00011762 0.00036513 0.00926236 0.00843233 0.01003989 0.00020342 0.00094482 0.00839428 0.00790400 0.00848391 0.00094308 0.00031748 0.00809681 0.00874802 0.00108099 0.00783115 0.00769366 0.00794960 0.00434447 0.00785359 0.00008040 0.00137364 0.00154342 0.00939491 0.01025809 0.00842223 0.00789053 0.00019949 0.00032356 0.01224783 0.00014140 0.00900672 0.00006678 0.00011364 0.00786130 0.00009385 0.00006139 0.00772651 0.00797439 0.00092368 0.00780514 0.00025297 0.00063195 0.00040868 0.00828246 0.01006366 0.00058676 0.00934282 0 0.00057872 0.01010568 0.00843466 0.01064120 0.00921040 0.00436969 0.01049649 0.00012216 0.00006659 0.00777475 0.00008532 0.00008841 0.00798899 0.01078156 0.00021856 0.00871210 0.00796867 0.00796883 0.00789060 0.00786221 0.00006700 0.00008485 0.05112059 0.00800268 0.00906731 0.00007950 0.00008312 0.00901623 0.00158345 0.00058360 0.00008779 0.01033111 0.01092088 0.00015821 0.00041014 0.00028081 0.00011882 0.00051785 0.00011245 0.00037180 0.00076218 0.00007881 0.00810943 0.00841684 0.00896212 0.00026971 0.00019737 0.00051170 0.00768547 0.00786708 0.00007115 0.00998473 0.00006347 0.00520775 0.00486534 0.00815155 0.00965341 0.00054203 0.00011311 0.00798901 0.00783649 0.00795210 0.00809934 0.00481873 0.00962500 0.00008638 0.00033559 0.00790493
s_3233 0.00495284 0.00056109 0.01083158 0.00109688 0.00983341 0.00060880 0.00060016 0.00055189 0.00847925 0.00099054 0.00877554 0.00844199 0.00101697 0.00137639 0.00057473 0.00071789 0.00816023 0.00955373 0.01142915 0.00075746 0.00061863 0.00940120 0.00870649 0.00066941 0.00839211 0.00057065 0.00124403 0.01009798 0.01155707 0.00058490 0.00071524 0.00065031 0.00894064 0.00056562 0.00063718 0.00087904 0.00975021 0.00842006 0.01045676 0.00070915 0.00155048 0.00834443 0.00856838 0.00893978 0.00152362 0.00082437 0.00862515 0.00920963 0.00164148 0.00824668 0.00817854 0.00846838 0.00485530 0.00845719 0.00058618 0.00196796 0.00212166 0.00992997 0.01088303 0.00896159 0.00829845 0.00068469 0.00083977 0.01271193 0.00069563 0.00951178 0.00056693 0.00061775 0.00835523 0.00061850 0.00057611 0.00821377 0.00845149 0.00144349 0.00823659 0.00074899 0.00118110 0.00097452 0.00878741 0.01067635 0.00112720 0.00968476 0.00057872 0 0.01054180 0.00884778 0.01110363 0.00972545 0.00491350 0.01103988 0.00061883 0.00057735 0.00801183 0.00060422 0.00061402 0.00832209 0.01134652 0.00074183 0.00924086 0.00812334 0.00846012 0.00821137 0.00837594 0.00056843 0.00059184 0.05105282 0.00854686 0.00945136 0.00061079 0.00058429 0.00946864 0.00221798 0.00108696 0.00063936 0.01086108 0.01141703 0.00068516 0.00093918 0.00079890 0.00061328 0.00106355 0.00062659 0.00091432 0.00132827 0.00058606 0.00863429 0.00885560 0.00902281 0.00077947 0.00072343 0.00110480 0.00806762 0.00817108 0.00058924 0.01051720 0.00058905 0.00580231 0.00537486 0.00848957 0.01026953 0.00102731 0.00062834 0.00830966 0.00831389 0.00843807 0.00848552 0.00536604 0.01005099 0.00057514 0.00084800 0.00837594
s_3305 0.01004858 0.01024273 0.00936789 0.01025668 0.00133134 0.01035407 0.01010938 0.01028660 0.00970294 0.00969449 0.00081810 0.00756232 0.00985114 0.01049936 0.01028788 0.00968849 0.00866289 0.01160045 0.01060461 0.01039077 0.01008246 0.00898672 0.00081919 0.01028857 0.00989536 0.01015148 0.01084932 0.00152514 0.01050726 0.01009093 0.00982121 0.01018751 0.00891461 0.01030168 0.01032632 0.00993464 0.00127204 0.00884765 0.01171552 0.00970899 0.01054540 0.00882441 0.00997828 0.00090759 0.01059379 0.01037889 0.00881233 0.01113657 0.01052269 0.00698776 0.00696670 0.01005639 0.00993986 0.00988804 0.01027761 0.01194152 0.01234197 0.00131574 0.00253073 0.00767658 0.00707355 0.00994794 0.01011834 0.01178774 0.01021027 0.00943145 0.01010055 0.00991145 0.01018917 0.01017097 0.01009664 0.00699176 0.01003364 0.01035744 0.00979205 0.00986351 0.01110205 0.01006936 0.00879662 0.00960797 0.01047732 0.01165614 0.01010568 0.01054180 0 0.00996830 0.00991398 0.00151681 0.01000741 0.01050116 0.01029560 0.01012980 0.00728728 0.00999621 0.01018871 0.01036970 0.01039021 0.01051427 0.00913758 0.01033407 0.01013045 0.01027324 0.01036243 0.01028758 0.01028035 0.05959756 0.00765795 0.00099409 0.01009245 0.01022627 0.00101008 0.01106845 0.01022533 0.00976211 0.00234677 0.01055979 0.01031567 0.00991422 0.01014497 0.01025378 0.01005757 0.01014399 0.00968357 0.01052419 0.01024213 0.00762543 0.00885026 0.00888577 0.01011247 0.00992530 0.01039093 0.00691787 0.00708433 0.01024104 0.00146951 0.01013542 0.01064396 0.01031131 0.01054612 0.00144037 0.01069903 0.01020946 0.01034626 0.00988052 0.01007566 0.00735591 0.01037786 0.00125447 0.01009089 0.00968726 0.00990663
s_3313 0.00766873 0.00849109 0.01098351 0.00864551 0.00916213 0.00859396 0.00831799 0.00850775 0.00817724 0.00846026 0.00825314 0.00841188 0.00854809 0.00881339 0.00849049 0.00819460 0.00723802 0.00859806 0.01089569 0.00862619 0.00835185 0.00841591 0.00826685 0.00835678 0.00559984 0.00844168 0.00894795 0.00963388 0.01098131 0.00839050 0.00838673 0.00845433 0.00817325 0.00851946 0.00854349 0.00859422 0.00940503 0.00805976 0.00983510 0.00822460 0.00882933 0.00800290 0.00573599 0.00845069 0.00862917 0.00869065 0.00786561 0.00794542 0.00917408 0.00800674 0.00805784 0.00838912 0.00748619 0.00564884 0.00848668 0.00984027 0.01037455 0.00932933 0.01051391 0.00857067 0.00818489 0.00818557 0.00856750 0.01225102 0.00845371 0.00873015 0.00840257 0.00829164 0.00715203 0.00846424 0.00838847 0.00807144 0.00847083 0.00895487 0.00558832 0.00834791 0.00903895 0.00837230 0.00808937 0.01058503 0.00882859 0.00849980 0.00843466 0.00884778 0.00996830 0 0.01114328 0.00906451 0.00765583 0.01035903 0.00852999 0.00843300 0.00815241 0.00836802 0.00844442 0.00729233 0.01057813 0.00856498 0.00854841 0.00728855 0.00845664 0.00719255 0.00726247 0.00849880 0.00857618 0.07694572 0.00843284 0.00882878 0.00841455 0.00846791 0.00881472 0.00950489 0.00845689 0.00810798 0.01047758 0.01071823 0.00856444 0.00852867 0.00846492 0.00853327 0.00865344 0.00849414 0.00834528 0.00857569 0.00851685 0.00849354 0.00808199 0.00834168 0.00829874 0.00840488 0.00873448 0.00796621 0.00818844 0.00850698 0.00981424 0.00843533 0.00839435 0.00798362 0.00745930 0.00970439 0.00892823 0.00841260 0.00728160 0.00560028 0.00846885 0.00842752 0.00797007 0.00949476 0.00840056 0.00838197 0.00836283
