s_1645	s_1669	F_28	s_1661	s_1633	F_47	F_17	F_12	F_53	F_35	F_51	s_1688	s_1655	s_1617	s_1630	F_58	F_13	s_1626	F_37	s_1622	s_1691	s_1658	s_1666	F_39	F_44	F_64	F_31	s_1649	F_61	G_2	F_26	s_1613	F_19	F_21	s_1653	s_1667	s_1674	G_5	s_1684	F_32	s_1641	s_1686	s_1643	F_56	s_1689	s_1672	F_59	s_1632	F_41	F_27	F_54	F_15	s_1627	F_45	s_1664	s_1624	s_1615	s_1639	F_24	s_1679	s_1612	G_9	s_1677	s_1647	G_4	s_1692	F_52	F_34	F_25	s_1650	s_1620	F_11	F_18	F_62	F_43	s_1614	s_1648	F_29	s_1657	s_1671	s_1625	s_1646	s_1656	F_42	s_1660	F_40	s_1636	s_1690	s_1687	F_14	F_60	F_48	s_1682	F_20	F_23	F_57	s_1659	s_1676	s_1680	s_1638	s_1631	s_1662	F_36	F_66	F_38	G_7	s_1644	F_55	s_1637	F_67	F_46	F_65	G_8	s_1673	F_63	F_16	G_1	s_1654	s_1681	s_1683	s_1665	F_22	s_1621	G_6	F_30	s_1628	s_1685	s_1651	s_1642	G_3	F_33	F_50	s_1675	s_1668	s_1670	s_1678	F_49	s_1640	s_1623
F_18 0.00001146 0.00001248 0.00002130 0.00002320 0.00481485 0.00000923 0.00000875 0.00531452 0.00531961 0.00004215 0.00003808 0.00001248 0.07944289 0.00477105 0.00480054 0.00551339 0.00539542 0.00001167 0.00541541 0.00544290 0.00480332 0.00002485 0.00001373 0.00001505 0.07610941 0.15237258 0.00516571 0.00468401 0.00002106 0.00533056 0.00546147 0.00001368 0.00001729 0.00002927 0.00536256 0.00001373 0.00527218 0.00003057 0.00537006 0.00529944 0.00480923 0.00536466 0.00001441 0.00545046 0.00001223 0.00535923 0.00001067 0.00483115 0.00001606 0.00001359 0.00517406 0.00520142 0.00001727 0.00516475 0.00002295 0.00536335 0.00531479 0.00483254 0.00522926 0.00529924 0.08354114 0.00002472 0.00529928 0.00001344 0.00001751 0.00003496 0.00525014 0.00524401 0.00001969 0.00480079 0.00539278 0.00523073 0 0.00000000 0.00003122 0.00001174 0.00002316 0.00518130 0.07851918 0.00513851 0.00001219 0.00003046 0.00545947 0.00529967 0.00002291 0.00526661 0.00001393 0.00530320 0.00529913 0.00002565 0.07609427 0.00516969 0.00533372 0.00515545 0.00001943 0.00538002 0.00002312 0.00533194 0.00527523 0.00483416 0.00480375 0.00002540 0.00001043 0.00002279 0.00538350 0.00002113 0.00001536 0.00002925 0.00001366 0.00002279 0.00002105 0.00564389 0.00532945 0.00531996 0.00002974 0.00002073 0.00536832 0.00001375 0.00536320 0.00530249 0.00001491 0.00002382 0.00530280 0.00002448 0.00522718 0.05766795 0.00536394 0.00478709 0.00480054 0.00522603 0.00531968 0.15193181 0.00539469 0.00001518 0.00001345 0.00529910 0.00001043 0.00486526 0.00496386
F_62 1.00000000 1.00000000 0.00000000 1.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 0.00000000 1.00000000 0.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 1.00000000 0.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000 1.00000000 0.00000000 0.00000000 0 0.00000000 1.00000000 1.00000000 0.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 1.00000000 1.00000000 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000 1.00000000 1.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 1.00000000 1.00000000 0.00000000 1.00000000 1.00000000
F_43 0.00002766 0.00003149 0.00002124 0.00003780 0.00473573 0.00002788 0.00002880 0.00531831 0.00532306 0.00002094 0.00002730 0.00003226 0.07539910 0.00476673 0.00485509 0.00556479 0.00540076 0.00003819 0.00541978 0.00516249 0.00471081 0.00003795 0.00003129 0.00003119 0.07564136 0.15221771 0.00514976 0.00465911 0.00002058 0.00540687 0.00546073 0.00003044 0.00003503 0.00001197 0.00508042 0.00003254 0.00499795 0.00002787 0.00507999 0.00527333 0.00473387 0.00507791 0.00003069 0.00551332 0.00003096 0.00507974 0.00002443 0.00475333 0.00003529 0.00002801 0.00503072 0.00466149 0.00004537 0.00503120 0.00003856 0.00508094 0.00503531 0.00475079 0.00469751 0.00502447 0.07997528 0.00002493 0.00502460 0.00002995 0.00003516 0.00002367 0.00524328 0.00524631 0.00003574 0.00466082 0.00510821 0.00474864 0.00003122 0.00000000 0 0.00003038 0.00003703 0.00518692 0.07464782 0.00487557 0.00002768 0.00004345 0.00516507 0.00530414 0.00003926 0.00523238 0.00003020 0.00502800 0.00502541 0.00002464 0.07529672 0.00501729 0.00505764 0.00489995 0.00003467 0.00498581 0.00003970 0.00505071 0.00500179 0.00485809 0.00471922 0.00003753 0.00003189 0.00002253 0.00540307 0.00002109 0.00003087 0.00001206 0.00002840 0.00002221 0.00002106 0.00575737 0.00540576 0.00504218 0.00001276 0.00002145 0.00488554 0.00003010 0.00508097 0.00502606 0.00003042 0.00002229 0.00502661 0.00002420 0.00521997 0.85413290 0.00508217 0.00471174 0.00478266 0.00473258 0.00531804 0.15130213 0.00511034 0.00003247 0.00003173 0.00502436 0.00002618 0.00479317 0.00473181
s_1614 0.00000024 0.00000291 0.00003253 0.00001622 0.00483865 0.00001323 0.00001299 0.00532917 0.00533263 0.00005712 0.00004994 0.00000243 0.07966954 0.00468746 0.00480555 0.00552741 0.00541286 0.00000169 0.00543091 0.00533713 0.00479608 0.00001525 0.00000340 0.00002695 0.07536212 0.15272617 0.00509014 0.00481413 0.00003253 0.00551056 0.00551554 0.00000411 0.00002847 0.00004233 0.00528792 0.00000364 0.00529273 0.00004546 0.00535354 0.00531362 0.00482888 0.00538213 0.00000435 0.00545677 0.00000413 0.00531401 0.00000387 0.00485571 0.00001470 0.00002648 0.00510460 0.00522235 0.00000539 0.00508933 0.00001601 0.00528830 0.00532573 0.00482642 0.00522827 0.00529441 0.08351492 0.00003862 0.00529479 0.00000387 0.00002919 0.00003431 0.00523013 0.00525701 0.00003159 0.00483445 0.00530950 0.00522517 0.00001174 1.00000000 0.00003038 0 0.00001428 0.00512670 0.08206127 0.00528769 0.00000194 0.00002225 0.00537304 0.00532765 0.00001573 0.00523031 0.00000387 0.00529299 0.00529058 0.00003744 0.07536235 0.00509703 0.00529312 0.00515260 0.00003062 0.00531110 0.00001573 0.00530900 0.00529537 0.00481188 0.00482931 0.00001600 0.00002258 0.00003329 0.00537740 0.00003544 0.00000411 0.00004390 0.00000387 0.00003616 0.00003302 0.00563298 0.00551906 0.00530167 0.00002824 0.00003376 0.00535976 0.00000438 0.00528865 0.00529368 0.00000340 0.00003865 0.00531810 0.00003984 0.00524246 0.06441617 0.00528678 0.00484462 0.00489986 0.00511132 0.00533233 0.15249896 0.00530983 0.00000291 0.00000291 0.00529537 0.00000726 0.00491731 0.00531370
s_1648 0.00001328 0.00001357 0.00004218 0.00000266 0.00481578 0.00002297 0.00002321 0.00533588 0.00533913 0.00006342 0.00005895 0.00001432 0.07972054 0.00470915 0.00483050 0.00553651 0.00540961 0.00001302 0.00543549 0.00544477 0.00480284 0.00000266 0.00001457 0.00003656 0.07535894 0.15276815 0.00509753 0.00482847 0.00004219 0.00552244 0.00551619 0.00001573 0.00003809 0.00004955 0.00537326 0.00001383 0.00537886 0.00005250 0.00544254 0.00531951 0.00481110 0.00544674 0.00001548 0.00546527 0.00001551 0.00539851 0.00001327 0.00483288 0.00002541 0.00003559 0.00511272 0.00520730 0.00001644 0.00509312 0.00000315 0.00536542 0.00528781 0.00483300 0.00524142 0.00538043 0.08355962 0.00004640 0.00538081 0.00001524 0.00003854 0.00004198 0.00523576 0.00526295 0.00004046 0.00480467 0.00539492 0.00521097 0.00002316 1.00000000 0.00003703 0.00001428 0 0.00511544 0.08213375 0.00537267 0.00001232 0.00003166 0.00546199 0.00531881 0.00000266 0.00523514 0.00001524 0.00537837 0.00537595 0.00004709 0.07533884 0.00510616 0.00537817 0.00513570 0.00004020 0.00539811 0.00000314 0.00539431 0.00538115 0.00483550 0.00480427 0.00000218 0.00003171 0.00004271 0.00539648 0.00004346 0.00001523 0.00005049 0.00001522 0.00004345 0.00004268 0.00563795 0.00552321 0.00538722 0.00003580 0.00004390 0.00537671 0.00001507 0.00537361 0.00538013 0.00001356 0.00004620 0.00531311 0.00004689 0.00524681 0.05763861 0.00537330 0.00482475 0.00483601 0.00511814 0.00533864 0.15235662 0.00539553 0.00001406 0.00001356 0.00538071 0.00001593 0.00485920 0.00498882
F_29 0.00511957 0.00509628 0.00508851 0.00512151 0.00522225 0.00517752 0.00516941 0.00545670 0.00546129 0.00509071 0.00516474 0.00512541 0.08021515 0.00514121 0.00526122 0.00531433 0.00517937 0.00511099 0.00538185 0.00588209 0.00521801 0.00512541 0.00510509 0.00511682 0.07444666 0.15114049 0.00000468 0.00518605 0.00511006 0.00551948 0.00523600 0.00512129 0.00511288 0.00508272 0.00572259 0.00512205 0.00566069 0.00508278 0.00574006 0.00538097 0.00529905 0.00569212 0.00512261 0.00547664 0.00509861 0.00577639 0.00510806 0.00525715 0.00517985 0.00512562 0.00000316 0.00552383 0.00504429 0.00000567 0.00511604 0.00577993 0.00570103 0.00526324 0.00550819 0.00569078 0.08235133 0.00502961 0.00571221 0.00512200 0.00509061 0.00518275 0.00510673 0.00502011 0.00512044 0.00520801 0.00578109 0.00544350 0.00518130 0.00000000 0.00518692 0.00512670 0.00511544 0 0.07725566 0.00547181 0.00511586 0.00512229 0.00589373 0.00540548 0.00513487 0.00495669 0.00512550 0.00568727 0.00568785 0.00511376 0.07462075 0.00000292 0.00573394 0.00541837 0.00510227 0.00579768 0.00513646 0.00571651 0.00568772 0.00532534 0.00522761 0.00511780 0.00512150 0.00511460 0.00484942 0.00500007 0.00511083 0.00514525 0.00511609 0.00513738 0.00511097 0.00532435 0.00551876 0.00570206 0.00515808 0.00512663 0.00536860 0.00509566 0.00573966 0.00565902 0.00511846 0.00505128 0.00566523 0.00503344 0.00528570 0.05709380 0.00572467 0.00529228 0.00528348 0.00541674 0.00545962 0.15105909 0.00577449 0.00511328 0.00511424 0.00569090 0.00510702 0.00526904 0.00536540
s_1657 0.08206818 0.07852687 0.07533236 0.07846809 0.07765816 0.07851458 0.07851008 0.08034468 0.08032334 0.07452729 0.07869480 0.07844633 0.00000061 0.08213060 0.08184109 0.08037535 0.07972841 0.08207791 0.07989666 0.08153977 0.07707371 0.07847699 0.07853223 0.07874538 0.07139644 0.14580789 0.07710876 0.07461251 0.07545260 0.07924279 0.08038873 0.08206461 0.07898795 0.07535714 0.08082789 0.07856450 0.07759689 0.07865395 0.07791626 0.08000087 0.07861108 0.07784405 0.08209251 0.07996153 0.07844035 0.07709707 0.07852684 0.07743935 0.07908290 0.07857084 0.07736542 0.07510287 0.08131200 0.07714673 0.07847771 0.08084319 0.08053137 0.07735133 0.07510581 0.07760511 0.00000045 0.07875696 0.07753157 0.08207967 0.07899863 0.07527847 0.07988883 0.08015742 0.07909368 0.07661901 0.08082212 0.07501533 0.07851918 1.00000000 0.07464782 0.08206127 0.08213375 0.07725566 0 0.07873893 0.08219923 0.08199923 0.08138190 0.08023338 0.07848344 0.08035302 0.08222472 0.07750979 0.07750522 0.07543469 0.07139583 0.07730272 0.07755723 0.07737688 0.07896245 0.07750748 0.07851690 0.07732310 0.07753234 0.08224728 0.07756676 0.07846054 0.07900561 0.07532594 0.08026775 0.07840620 0.08210053 0.07468976 0.08206602 0.07847861 0.07545202 0.08034105 0.07924219 0.07734898 0.07512304 0.07544154 0.07573636 0.08187840 0.07748693 0.07753405 0.07853052 0.07867815 0.08081300 0.07879303 0.07907539 0.00002514 0.07751191 0.07650778 0.07748689 0.07522641 0.07991241 0.14478697 0.07730301 0.07841040 0.07853197 0.07760740 0.07858944 0.07556612 0.07528321
s_1671 0.00536661 0.00538151 0.00513212 0.00538188 0.00560871 0.00515218 0.00514588 0.00458112 0.00458017 0.00486928 0.00487339 0.00517161 0.07917678 0.00547772 0.00556968 0.00481954 0.00474506 0.00529233 0.00480070 0.00001071 0.00545106 0.00530836 0.00538729 0.00513402 0.07318193 0.14577163 0.00551273 0.00497035 0.00513525 0.00468721 0.00488431 0.00528867 0.00513772 0.00515698 0.00000763 0.00541326 0.00000647 0.00486873 0.00000615 0.00456287 0.00556083 0.00000639 0.00537357 0.00427950 0.00516972 0.00001071 0.00513334 0.00561108 0.00516431 0.00514119 0.00551125 0.00509701 0.00523265 0.00551334 0.00538636 0.00000811 0.00005943 0.00561371 0.00511417 0.00000970 0.08294181 0.00486356 0.00000878 0.00528950 0.00513524 0.00515401 0.00543919 0.00473771 0.00514741 0.00559516 0.00000669 0.00511099 0.00513851 1.00000000 0.00487557 0.00528769 0.00537267 0.00547181 0.07873893 0 0.00530711 0.00536064 0.00000563 0.00458847 0.00538536 0.00477618 0.00536814 0.00000393 0.00000670 0.00514411 0.07319957 0.00554127 0.00001270 0.00511895 0.00514684 0.00003073 0.00538216 0.00001088 0.00000970 0.00559180 0.00560435 0.00530980 0.00515209 0.00514442 0.00477608 0.00486406 0.00537277 0.00487518 0.00536764 0.00486669 0.00513370 0.00495287 0.00464088 0.00000533 0.00515927 0.00513592 0.00522989 0.00529376 0.00000623 0.00000808 0.00532233 0.00487063 0.00000930 0.00486990 0.00545702 0.06525392 0.00000554 0.00554070 0.00556360 0.00509312 0.00458651 0.14525435 0.00001042 0.00538889 0.00541010 0.00001085 0.00512043 0.00550699 0.00000877
s_1625 0.00000121 0.00000145 0.00003295 0.00001499 0.00480954 0.00001271 0.00001271 0.00532657 0.00532741 0.00005424 0.00004676 0.00000218 0.07965837 0.00470687 0.00481819 0.00552486 0.00540656 0.00000097 0.00542168 0.00543901 0.00479701 0.00001522 0.00000267 0.00002714 0.07541058 0.15270326 0.00509730 0.00482161 0.00003174 0.00551620 0.00551262 0.00000315 0.00003011 0.00003855 0.00530803 0.00000194 0.00531210 0.00004229 0.00537395 0.00531133 0.00477668 0.00537842 0.00000314 0.00545638 0.00000340 0.00533321 0.00000386 0.00480072 0.00001466 0.00002569 0.00510694 0.00511597 0.00000464 0.00509396 0.00001597 0.00535963 0.00528308 0.00479983 0.00515310 0.00531416 0.08361390 0.00003692 0.00531454 0.00000290 0.00002888 0.00003205 0.00522896 0.00524852 0.00003104 0.00479715 0.00538909 0.00512035 0.00001219 1.00000000 0.00002768 0.00000194 0.00001232 0.00511586 0.08219923 0.00530711 0 0.00002268 0.00539384 0.00530953 0.00001497 0.00522707 0.00000290 0.00531240 0.00531002 0.00003688 0.07538954 0.00510481 0.00531253 0.00505156 0.00003079 0.00533177 0.00001545 0.00532813 0.00531477 0.00482413 0.00480000 0.00001501 0.00002253 0.00003395 0.00539073 0.00003202 0.00000314 0.00004122 0.00000290 0.00003323 0.00003272 0.00565920 0.00551506 0.00532105 0.00002669 0.00003369 0.00528100 0.00000268 0.00530770 0.00531275 0.00000194 0.00003572 0.00530798 0.00003667 0.00524214 0.06441907 0.00530620 0.00482014 0.00489356 0.00504061 0.00532700 0.15231045 0.00532934 0.00000194 0.00000145 0.00531477 0.00000652 0.00491709 0.00498352
s_1646 0.00002218 0.00002391 0.00005039 0.00003365 0.00480617 0.00002953 0.00002928 0.00531995 0.00532322 0.00007608 0.00006694 0.00002417 0.07937992 0.00466831 0.00478862 0.00551010 0.00541931 0.00002312 0.00541707 0.00544660 0.00479163 0.00003217 0.00002447 0.00004539 0.07507917 0.15263094 0.00510377 0.00484217 0.00005015 0.00551762 0.00551662 0.00002419 0.00004797 0.00005772 0.00536135 0.00002517 0.00536174 0.00006143 0.00543045 0.00530015 0.00480453 0.00543037 0.00002491 0.00543570 0.00002488 0.00538304 0.00002262 0.00483032 0.00003400 0.00004540 0.00511873 0.00521482 0.00002686 0.00510205 0.00003343 0.00536620 0.00530680 0.00483594 0.00521933 0.00536402 0.08338388 0.00005479 0.00536440 0.00002463 0.00004868 0.00004797 0.00524706 0.00525123 0.00004913 0.00478673 0.00539581 0.00521568 0.00003046 1.00000000 0.00004345 0.00002225 0.00003166 0.00512229 0.08199923 0.00536064 0.00002268 0 0.00544994 0.00531741 0.00003262 0.00522624 0.00002394 0.00536238 0.00536004 0.00005484 0.07507611 0.00511630 0.00536216 0.00515778 0.00004912 0.00538612 0.00003308 0.00538246 0.00536443 0.00482669 0.00480143 0.00003272 0.00004172 0.00005067 0.00538007 0.00005159 0.00002516 0.00005794 0.00002440 0.00005231 0.00005040 0.00564518 0.00551640 0.00537117 0.00004321 0.00005089 0.00534734 0.00002501 0.00536171 0.00536270 0.00002491 0.00005409 0.00531106 0.00005602 0.00525154 0.05729873 0.00536018 0.00483881 0.00480562 0.00513131 0.00532275 0.15231123 0.00538369 0.00002468 0.00002391 0.00536463 0.00002433 0.00484568 0.00495722
s_1656 0.00545495 0.00545064 0.00545207 0.00547021 0.00563959 0.00547218 0.00546635 0.00480496 0.00480044 0.00518308 0.00516078 0.00545893 0.07948140 0.00551284 0.00560704 0.00505710 0.00504398 0.00537678 0.00505398 0.00001046 0.00561828 0.00546005 0.00545674 0.00545358 0.07619896 0.15218416 0.00586730 0.00498689 0.00545651 0.00501504 0.00514811 0.00537397 0.00545535 0.00547345 0.00000464 0.00546882 0.00000318 0.00515646 0.00000538 0.00479943 0.00559575 0.00000538 0.00546228 0.00451269 0.00545683 0.00000542 0.00545309 0.00564176 0.00546488 0.00546287 0.00589162 0.00535024 0.00528865 0.00586876 0.00547799 0.00000367 0.00005944 0.00564400 0.00536748 0.00000661 0.08333246 0.00515085 0.00000661 0.00537492 0.00545682 0.00547993 0.00575698 0.00500143 0.00546693 0.00563487 0.00000440 0.00536418 0.00545947 1.00000000 0.00516507 0.00537304 0.00546199 0.00589373 0.08138190 0.00000563 0.00539384 0.00544994 0 0.00480904 0.00547435 0.00506867 0.00545658 0.00000343 0.00000563 0.00546507 0.07620454 0.00587374 0.00001150 0.00536247 0.00546650 0.00003137 0.00547511 0.00000392 0.00000808 0.00562328 0.00563455 0.00545982 0.00547305 0.00546538 0.00505099 0.00514233 0.00546143 0.00516347 0.00545587 0.00515244 0.00545428 0.00527454 0.00497737 0.00000466 0.00548374 0.00545702 0.00550301 0.00537967 0.00000392 0.00000710 0.00546334 0.00515641 0.00000611 0.00515736 0.00578183 0.03722323 0.00000416 0.00556822 0.00556054 0.00534711 0.00480267 0.15164335 0.00000465 0.00545763 0.00545607 0.00000808 0.00543809 0.00550895 0.00000668
F_42 0.00531158 0.00532642 0.00531721 0.00532117 0.00558985 0.00530253 0.00531204 0.00000026 0.00000026 0.00526935 0.00529083 0.00530927 0.08263702 0.00552094 0.00560055 0.00468534 0.00493684 0.00528655 0.00496182 0.00481649 0.00559072 0.00531198 0.00532379 0.00530560 0.07540617 0.15141688 0.00539786 0.00544419 0.00529603 0.00341270 0.00498153 0.00532667 0.00529800 0.00531324 0.00478088 0.00532622 0.00477762 0.00530321 0.00480526 0.00002724 0.00556886 0.00481835 0.00532547 0.00475579 0.00532649 0.00479061 0.00529977 0.00559436 0.00529779 0.00529901 0.00540047 0.00567521 0.00527181 0.00540741 0.00531498 0.00478095 0.00478713 0.00559445 0.00566198 0.00478275 0.08459426 0.00531434 0.00479103 0.00532667 0.00531195 0.00530963 0.00551064 0.00486355 0.00530755 0.00558562 0.00476710 0.00565820 0.00529967 0.00000000 0.00530414 0.00532765 0.00531881 0.00540548 0.08023338 0.00458847 0.00530953 0.00531741 0.00480904 0 0.00531977 0.00491425 0.00532668 0.00479244 0.00478605 0.00531573 0.07542400 0.00539961 0.00478739 0.00564716 0.00531877 0.00475434 0.00532076 0.00478441 0.00479288 0.00559719 0.00559040 0.00531510 0.00531070 0.00529914 0.00493761 0.00524701 0.00531910 0.00530349 0.00532726 0.00529644 0.00529565 0.00513991 0.00341286 0.00477933 0.00527996 0.00531366 0.00567973 0.00532545 0.00477987 0.00478545 0.00530356 0.00530295 0.00478853 0.00532048 0.00564402 0.05672645 0.00479100 0.00560142 0.00563628 0.00565402 0.00000078 0.15174204 0.00478966 0.00530250 0.00531020 0.00478215 0.00529356 0.00561417 0.00443102
s_1660 0.00001545 0.00001623 0.00004536 0.00000096 0.00481739 0.00002272 0.00002296 0.00533684 0.00533989 0.00006689 0.00005995 0.00001601 0.07954709 0.00468167 0.00480385 0.00553911 0.00541232 0.00001519 0.00543848 0.00545786 0.00477218 0.00000048 0.00001675 0.00003826 0.07539935 0.15276869 0.00511765 0.00468855 0.00004415 0.00553357 0.00552041 0.00001813 0.00004053 0.00005203 0.00537700 0.00001649 0.00539045 0.00005472 0.00545531 0.00531879 0.00481331 0.00545952 0.00001765 0.00546947 0.00001770 0.00541227 0.00001496 0.00483513 0.00002516 0.00003778 0.00512794 0.00523945 0.00001885 0.00511266 0.00000048 0.00537780 0.00529039 0.00483550 0.00524216 0.00539251 0.08352574 0.00004813 0.00539255 0.00001741 0.00004002 0.00004322 0.00524051 0.00525315 0.00004193 0.00477323 0.00540735 0.00515904 0.00002291 1.00000000 0.00003926 0.00001573 0.00000266 0.00513487 0.07848344 0.00538536 0.00001497 0.00003262 0.00547435 0.00531977 0 0.00523159 0.00001766 0.00539107 0.00538930 0.00004928 0.07537657 0.00512582 0.00539086 0.00513875 0.00004167 0.00541082 0.00000000 0.00540703 0.00539347 0.00483672 0.00480702 0.00000048 0.00003365 0.00004587 0.00540301 0.00004519 0.00001741 0.00005272 0.00001739 0.00004566 0.00004487 0.00566624 0.00553243 0.00539984 0.00003754 0.00004561 0.00528982 0.00001774 0.00538630 0.00539175 0.00001624 0.00004817 0.00532549 0.00004910 0.00525042 0.05759783 0.00538478 0.00481914 0.00485070 0.00512756 0.00533960 0.15235540 0.00540826 0.00001601 0.00001622 0.00539312 0.00001738 0.00487517 0.00500043
F_40 0.00522378 0.00522293 0.00521440 0.00522945 0.00545462 0.00527071 0.00526972 0.00492192 0.00491427 0.00520233 0.00521340 0.00522525 0.08095256 0.00532659 0.00542366 0.00478654 0.00371317 0.00521285 0.00481751 0.00506152 0.00543276 0.00522869 0.00522908 0.00522992 0.07445955 0.15207429 0.00495079 0.00530468 0.00520737 0.00498440 0.00364930 0.00523469 0.00522269 0.00520928 0.00498922 0.00522821 0.00489237 0.00521500 0.00494494 0.00488192 0.00542725 0.00494638 0.00522958 0.00503193 0.00522568 0.00501773 0.00521005 0.00546176 0.00526579 0.00522069 0.00492249 0.00551426 0.00522772 0.00495581 0.00522548 0.00498894 0.00503243 0.00546029 0.00552144 0.00489848 0.08473475 0.00521834 0.00489796 0.00523352 0.00522477 0.00525633 0.00534313 0.00001278 0.00522367 0.00544047 0.00501971 0.00552294 0.00526661 0.00000000 0.00523238 0.00523031 0.00523514 0.00495669 0.08035302 0.00477618 0.00522707 0.00522624 0.00506867 0.00491425 0.00523159 0 0.00523100 0.00490012 0.00489381 0.00521241 0.07448786 0.00494076 0.00499289 0.00547839 0.00520204 0.00501990 0.00522761 0.00492415 0.00489662 0.00544535 0.00545500 0.00523594 0.00522033 0.00521870 0.00442062 0.00516029 0.00522842 0.00521425 0.00522875 0.00521988 0.00520830 0.00351814 0.00498373 0.00491267 0.00526368 0.00520851 0.00551867 0.00523695 0.00498933 0.00489305 0.00521593 0.00521733 0.00499126 0.00521741 0.00533244 0.05733273 0.00498455 0.00546199 0.00548070 0.00544475 0.00490532 0.15201714 0.00501949 0.00522452 0.00522735 0.00489818 0.00520541 0.00545974 0.00462718
s_1636 0.00000387 0.00000437 0.00003472 0.00001768 0.00481139 0.00001396 0.00001396 0.00532832 0.00533161 0.00005672 0.00005125 0.00000437 0.07966982 0.00467736 0.00479836 0.00553171 0.00541058 0.00000362 0.00543485 0.00543863 0.00479924 0.00001719 0.00000534 0.00002888 0.07516967 0.15279089 0.00510858 0.00486678 0.00003448 0.00545547 0.00551707 0.00000580 0.00003040 0.00004256 0.00536839 0.00000461 0.00537319 0.00004603 0.00543719 0.00531041 0.00480816 0.00544170 0.00000048 0.00546427 0.00000607 0.00539468 0.00000580 0.00482922 0.00001665 0.00002840 0.00511958 0.00524521 0.00000726 0.00510488 0.00001794 0.00535965 0.00529737 0.00483217 0.00524781 0.00537525 0.08364049 0.00003918 0.00537563 0.00000024 0.00003112 0.00003404 0.00526080 0.00525661 0.00003304 0.00480899 0.00538911 0.00524803 0.00001393 1.00000000 0.00003020 0.00000387 0.00001524 0.00512550 0.08222472 0.00536814 0.00000290 0.00002394 0.00545658 0.00532668 0.00001766 0.00523100 0 0.00537350 0.00537108 0.00003963 0.07516986 0.00511552 0.00537360 0.00517485 0.00003278 0.00539291 0.00001766 0.00538942 0.00537586 0.00482917 0.00480096 0.00001722 0.00002451 0.00003572 0.00537220 0.00003599 0.00000024 0.00004351 0.00000000 0.00003671 0.00003497 0.00563649 0.00545434 0.00538241 0.00002897 0.00003595 0.00538388 0.00000024 0.00536874 0.00537384 0.00000437 0.00003921 0.00530802 0.00004040 0.00524601 0.05757749 0.00536722 0.00485030 0.00489304 0.00516386 0.00533108 0.15249459 0.00539064 0.00000437 0.00000437 0.00537586 0.00000920 0.00494907 0.00496646
s_1690 0.00537195 0.00536803 0.00530130 0.00538759 0.00561639 0.00532143 0.00531503 0.00478474 0.00478372 0.00503383 0.00502508 0.00539768 0.07915724 0.00550594 0.00557811 0.00503281 0.00497722 0.00530331 0.00498668 0.00000996 0.00559237 0.00531452 0.00537435 0.00530573 0.07585871 0.15210383 0.00570693 0.00497239 0.00530460 0.00494681 0.00509617 0.00529394 0.00531006 0.00531721 0.00000429 0.00540866 0.00000405 0.00502054 0.00000489 0.00477004 0.00556766 0.00000391 0.00537893 0.00447870 0.00537294 0.00000336 0.00530561 0.00561951 0.00531829 0.00531509 0.00573235 0.00533018 0.00523214 0.00577255 0.00539265 0.00000524 0.00005758 0.00562009 0.00534576 0.00000786 0.08292543 0.00501368 0.00000715 0.00529512 0.00530827 0.00532534 0.00569697 0.00492674 0.00532041 0.00560190 0.00000382 0.00533974 0.00530320 1.00000000 0.00502800 0.00529299 0.00537837 0.00568727 0.07750979 0.00000393 0.00531240 0.00536238 0.00000343 0.00479244 0.00539107 0.00490012 0.00537350 0 0.00000500 0.00531348 0.07587292 0.00577906 0.00001167 0.00533978 0.00531996 0.00002979 0.00538842 0.00000406 0.00000929 0.00560079 0.00561104 0.00531601 0.00532587 0.00531377 0.00498342 0.00501484 0.00537813 0.00502369 0.00537300 0.00501889 0.00530237 0.00518930 0.00491049 0.00000454 0.00532473 0.00530502 0.00547048 0.00529906 0.00000286 0.00000524 0.00531836 0.00502277 0.00000643 0.00502018 0.00570135 0.06152069 0.00000286 0.00554768 0.00557006 0.00532406 0.00477949 0.15165005 0.00000406 0.00537595 0.00539710 0.00000810 0.00529238 0.00550585 0.00000606
