s_4408	s_4392	s_4428	s_4448	s_4481	s_4445	s_4439	s_4419	s_4449	s_4443	s_4490	s_4452	s_4412	s_4455	s_4409	s_4470	s_4458	s_4444	s_4414	s_4467	s_4435	s_4397	s_4394	s_4425	s_4416	s_4497	s_4464	s_4496	s_4461	s_4407	s_4488	s_4399	s_4390	s_4405	s_4442	s_4489	s_4404	s_4430	s_4391	s_4395	s_4421	s_4465	s_4450	s_4410	s_4478	s_4460	s_4424	s_4415	s_4454	s_4456	s_4411	s_4413	s_4396	s_4423	s_4432	s_4433	s_4492	s_4482	s_4495	s_4476	s_4474	s_4406	s_4418	s_4437	s_4401	s_4436	s_4479	s_4420	s_4403	s_4469	s_4431	s_4422	s_4400	s_4402	s_4462	s_4494	s_4493	s_4491	s_4453	s_4438	s_4475	s_4429
s_4464 0.00369867 0.00361185 0.00057641 0.01600617 0.00058265 0.00371501 0.00056104 0.00310889 0.01618391 0.00110308 0.00059958 0.00371441 0.00058169 0.00057865 0.00073563 0.00068834 0.00374461 0.00077030 0.00361975 0.00062623 0.00370852 0.00362089 0.00365550 0.00381364 0.00373676 0.00060265 0 0.00060739 0.00068861 0.00371635 0.00059491 0.00352672 0.00356788 0.00354616 0.00377868 0.00058296 0.00367383 0.00063146 0.00357509 0.00360625 0.00214866 0.01553706 0.01615423 0.00055833 0.00060103 0.00058904 0.00123687 0.00367307 0.00051874 0.00374961 0.00057829 0.00369937 0.00363827 0.00363115 0.00060037 0.00060528 0.00368143 0.00058206 0.00368071 0.00056715 0.00363334 0.00359579 0.00059071 0.00052881 0.00027106 0.00057002 0.00058950 0.00058030 0.01561696 0.00069931 0.00063070 0.00058937 0.00029812 0.00024737 0.00050210 0.00367430 0.00368124 0.00058766 0.00378314 0.00364789 0.00055695 0.00062497
s_4496 0.00364490 0.00356358 0.00058606 0.01574232 0.00054202 0.00367277 0.00061424 0.00308418 0.01594060 0.00109075 0.00053085 0.00364897 0.00053006 0.00058795 0.00075882 0.00071067 0.00366370 0.00079277 0.00358565 0.00062076 0.00366337 0.00355060 0.00359051 0.00379274 0.00367804 0.00052184 0.00060739 0 0.00075223 0.00366192 0.00055013 0.00348116 0.00351655 0.00349378 0.00370812 0.00052208 0.00362108 0.00062673 0.00351409 0.00355826 0.00218707 0.01555371 0.01591143 0.00052282 0.00052691 0.00058786 0.00130019 0.00362599 0.00053813 0.00369572 0.00055108 0.00364489 0.00357185 0.00356918 0.00062687 0.00060320 0.00375314 0.00054468 0.00375012 0.00056170 0.00364320 0.00353494 0.00055143 0.00059441 0.00033728 0.00063211 0.00056021 0.00055488 0.01540997 0.00076505 0.00062067 0.00057733 0.00034200 0.00029362 0.00055693 0.00374459 0.00376120 0.00053162 0.00373988 0.00359271 0.00057852 0.00062167
s_4461 0.00367855 0.00357263 0.00073754 0.01430763 0.00074801 0.00374610 0.00070166 0.00311284 0.01427696 0.00111034 0.00075563 0.00360187 0.00069244 0.00069182 0.00073684 0.00079275 0.00365878 0.00080003 0.00358228 0.00078384 0.00362149 0.00358965 0.00358724 0.00379556 0.00364363 0.00076569 0.00068861 0.00075223 0 0.00365618 0.00074579 0.00336070 0.00347603 0.00354390 0.00371019 0.00075649 0.00364639 0.00074666 0.00349751 0.00356363 0.00197975 0.01453975 0.01408368 0.00068347 0.00075672 0.00072167 0.00112856 0.00362214 0.00068677 0.00369031 0.00071246 0.00365365 0.00358070 0.00354437 0.00076461 0.00073110 0.00376175 0.00078011 0.00377576 0.00076636 0.00382258 0.00352830 0.00072824 0.00066049 0.00045413 0.00067848 0.00077450 0.00070513 0.01347067 0.00074243 0.00073208 0.00063620 0.00046483 0.00042949 0.00071892 0.00375086 0.00376454 0.00076020 0.00368035 0.00342193 0.00071632 0.00074859
s_4407 0.00021503 0.00016421 0.00369324 0.01461987 0.00368959 0.00020452 0.00358153 0.00280850 0.01477643 0.00388770 0.00365878 0.00194319 0.00336474 0.00368690 0.00338442 0.00352499 0.00019896 0.00362772 0.00022613 0.00365328 0.00210107 0.00019795 0.00018384 0.00208347 0.00022936 0.00367937 0.00371635 0.00366192 0.00365618 0 0.00365968 0.00020509 0.00016134 0.00189986 0.00050960 0.00363563 0.00188417 0.00362652 0.00016414 0.00018748 0.00114395 0.01441046 0.01474127 0.00346582 0.00368201 0.00368337 0.00200251 0.00019871 0.00371610 0.00018371 0.00344812 0.00021521 0.00018856 0.00023736 0.00362210 0.00361234 0.00190346 0.00369228 0.00189367 0.00351913 0.00029258 0.00194178 0.00346588 0.00370303 0.00295990 0.00368021 0.00364657 0.00347438 0.01453792 0.00341394 0.00362328 0.00336814 0.00293671 0.00289081 0.00373873 0.00190122 0.00190153 0.00364222 0.00019820 0.00025599 0.00368890 0.00365536
s_4488 0.00363453 0.00356084 0.00058530 0.01575352 0.00053155 0.00365095 0.00061208 0.00308201 0.01589954 0.00109347 0.00051299 0.00364415 0.00054122 0.00057701 0.00074590 0.00069694 0.00366424 0.00079633 0.00356773 0.00060952 0.00364045 0.00356063 0.00358614 0.00376223 0.00366877 0.00052128 0.00059491 0.00055013 0.00074579 0.00365968 0 0.00347213 0.00351080 0.00348439 0.00370517 0.00050012 0.00360676 0.00063280 0.00350396 0.00354970 0.00222310 0.01564349 0.01598236 0.00051867 0.00050907 0.00060761 0.00131132 0.00360865 0.00052437 0.00369010 0.00053842 0.00363518 0.00357833 0.00356926 0.00058924 0.00059421 0.00373360 0.00051713 0.00374005 0.00054575 0.00363845 0.00353842 0.00054279 0.00059480 0.00033676 0.00062183 0.00052665 0.00052428 0.01540003 0.00076981 0.00061717 0.00055571 0.00034004 0.00029356 0.00055747 0.00373330 0.00373646 0.00053072 0.00372978 0.00358190 0.00056334 0.00062931
s_4399 0.00019196 0.00012152 0.00349908 0.01409154 0.00352819 0.00016489 0.00339546 0.00262778 0.01419674 0.00365428 0.00348058 0.00183636 0.00317061 0.00350605 0.00316035 0.00332586 0.00009988 0.00344315 0.00017857 0.00342763 0.00196928 0.00019478 0.00016730 0.00191123 0.00021166 0.00348788 0.00352672 0.00348116 0.00336070 0.00020509 0.00347213 0 0.00011685 0.00180972 0.00049498 0.00348946 0.00179645 0.00343322 0.00011859 0.00017321 0.00101349 0.01384201 0.01420316 0.00329176 0.00351583 0.00349371 0.00176666 0.00014315 0.00353194 0.00013544 0.00326898 0.00019100 0.00018249 0.00013869 0.00343857 0.00342692 0.00181278 0.00351380 0.00179869 0.00335746 0.00028945 0.00180190 0.00327957 0.00351702 0.00279165 0.00348107 0.00349379 0.00330010 0.01402977 0.00316074 0.00339618 0.00318450 0.00282283 0.00276232 0.00351393 0.00180539 0.00180529 0.00348898 0.00016918 0.00013833 0.00349920 0.00345838
s_4390 0.00014969 0.00003948 0.00353447 0.01431514 0.00353945 0.00007350 0.00341964 0.00265434 0.01438123 0.00373152 0.00351146 0.00181013 0.00320357 0.00352896 0.00323547 0.00336050 0.00009871 0.00347144 0.00008619 0.00354424 0.00195870 0.00013358 0.00009953 0.00197176 0.00015657 0.00353105 0.00356788 0.00351655 0.00347603 0.00016134 0.00351080 0.00011685 0 0.00178287 0.00045013 0.00348701 0.00175012 0.00346640 0.00003752 0.00010524 0.00103152 0.01402192 0.01441645 0.00331815 0.00353776 0.00353633 0.00184560 0.00005606 0.00357005 0.00004845 0.00330624 0.00014544 0.00011636 0.00015612 0.00346567 0.00346177 0.00176436 0.00353613 0.00176947 0.00337786 0.00016581 0.00180110 0.00333759 0.00355229 0.00284154 0.00351302 0.00346886 0.00332677 0.01425100 0.00323832 0.00346007 0.00321838 0.00283048 0.00278953 0.00357221 0.00175999 0.00177903 0.00350006 0.00010574 0.00016150 0.00353641 0.00349195
s_4405 0.00189880 0.00181042 0.00353641 0.01482518 0.00357047 0.00177223 0.00340910 0.00274226 0.01485724 0.00370508 0.00349624 0.00007006 0.00323170 0.00352764 0.00327466 0.00335538 0.00184986 0.00345938 0.00185619 0.00345446 0.00136100 0.00186072 0.00186731 0.00156810 0.00191440 0.00351416 0.00354616 0.00349378 0.00354390 0.00189986 0.00348439 0.00180972 0.00178287 0 0.00202730 0.00347382 0.00012267 0.00346872 0.00178763 0.00184081 0.00219363 0.01448374 0.01481942 0.00331326 0.00353823 0.00352244 0.00249795 0.00183261 0.00355165 0.00183121 0.00329965 0.00189084 0.00186726 0.00185156 0.00346810 0.00346612 0.00008252 0.00354690 0.00008328 0.00317531 0.00187937 0.00011355 0.00331387 0.00354015 0.00282046 0.00349555 0.00351422 0.00332268 0.01462559 0.00325027 0.00345893 0.00320215 0.00281634 0.00276270 0.00355910 0.00007932 0.00008102 0.00348172 0.00188491 0.00189714 0.00353803 0.00348365
s_4442 0.00050071 0.00046532 0.00369168 0.01426229 0.00373205 0.00051600 0.00364283 0.00284485 0.01437237 0.00391509 0.00370764 0.00209835 0.00334234 0.00371868 0.00340235 0.00356026 0.00050219 0.00367610 0.00051920 0.00372565 0.00223793 0.00046041 0.00043997 0.00226354 0.00052004 0.00372261 0.00377868 0.00370812 0.00371019 0.00050960 0.00370517 0.00049498 0.00045013 0.00202730 0 0.00369506 0.00200055 0.00367093 0.00045759 0.00045207 0.00120002 0.01416900 0.01445000 0.00347536 0.00372006 0.00373109 0.00184518 0.00050851 0.00375133 0.00049107 0.00344269 0.00050127 0.00044717 0.00053821 0.00366593 0.00361917 0.00206472 0.00374833 0.00205855 0.00356346 0.00056168 0.00202910 0.00345215 0.00373273 0.00302285 0.00372354 0.00370434 0.00348834 0.01409744 0.00355112 0.00363489 0.00337436 0.00299505 0.00296601 0.00378429 0.00205879 0.00206436 0.00369895 0.00049729 0.00055076 0.00374081 0.00368245
s_4489 0.00361712 0.00353547 0.00058493 0.01560877 0.00050667 0.00363190 0.00060803 0.00305023 0.01576521 0.00106119 0.00050310 0.00363464 0.00052218 0.00055813 0.00075022 0.00069507 0.00365022 0.00079756 0.00355459 0.00060132 0.00361483 0.00353571 0.00356554 0.00374968 0.00365012 0.00049012 0.00058296 0.00052208 0.00075649 0.00363563 0.00050012 0.00348946 0.00348701 0.00347382 0.00369506 0 0.00357146 0.00061810 0.00348485 0.00353212 0.00215418 0.01537326 0.01572683 0.00051770 0.00050189 0.00058334 0.00129308 0.00359389 0.00051041 0.00366855 0.00053321 0.00360178 0.00354237 0.00354750 0.00058855 0.00057698 0.00369387 0.00049011 0.00369540 0.00054481 0.00356407 0.00352026 0.00052834 0.00057600 0.00031864 0.00060012 0.00051124 0.00051193 0.01528033 0.00078000 0.00059883 0.00054906 0.00032926 0.00028266 0.00055465 0.00368599 0.00369314 0.00047653 0.00371234 0.00356174 0.00055218 0.00062288
s_4404 0.00187664 0.00178107 0.00365765 0.01397023 0.00368586 0.00177402 0.00352049 0.00282316 0.01404033 0.00384361 0.00362551 0.00007840 0.00335150 0.00363766 0.00329280 0.00347852 0.00184067 0.00360012 0.00184901 0.00378233 0.00174622 0.00183901 0.00186434 0.00176038 0.00190469 0.00364407 0.00367383 0.00362108 0.00364639 0.00188417 0.00360676 0.00179645 0.00175012 0.00012267 0.00200055 0.00357146 0 0.00359783 0.00177378 0.00181834 0.00221932 0.01357463 0.01382418 0.00342022 0.00365521 0.00362543 0.00251514 0.00181403 0.00367716 0.00182096 0.00342017 0.00186933 0.00184805 0.00183597 0.00357435 0.00358433 0.00009072 0.00370313 0.00009126 0.00317967 0.00182099 0.00012231 0.00338651 0.00366490 0.00290581 0.00362654 0.00368078 0.00341632 0.01386833 0.00333064 0.00357701 0.00330844 0.00286025 0.00284489 0.00368491 0.00008641 0.00008830 0.00360683 0.00188350 0.00190082 0.00364502 0.00360785
s_4430 0.00360135 0.00350687 0.00060970 0.01587026 0.00064311 0.00360349 0.00064507 0.00304282 0.01592661 0.00106285 0.00061769 0.00362779 0.00057562 0.00063322 0.00079115 0.00072253 0.00362891 0.00081222 0.00352793 0.00061972 0.00364944 0.00351095 0.00353607 0.00371392 0.00362449 0.00059899 0.00063146 0.00062673 0.00074666 0.00362652 0.00063280 0.00343322 0.00346640 0.00346872 0.00367093 0.00061810 0.00359783 0 0.00345889 0.00349695 0.00213131 0.01546564 0.01585231 0.00056268 0.00061299 0.00062010 0.00129195 0.00356547 0.00054971 0.00360669 0.00057280 0.00360660 0.00353411 0.00352776 0.00064721 0.00066830 0.00359337 0.00062183 0.00358766 0.00059750 0.00351464 0.00351369 0.00061533 0.00064250 0.00037540 0.00065875 0.00062829 0.00062513 0.01546530 0.00077487 0.00066238 0.00061652 0.00038544 0.00033993 0.00058969 0.00357754 0.00358255 0.00061835 0.00367740 0.00354225 0.00060919 0.00064769
s_4391 0.00014934 0.00003884 0.00353623 0.01425560 0.00356937 0.00007283 0.00343527 0.00265830 0.01435149 0.00375376 0.00351320 0.00181708 0.00322117 0.00354890 0.00324292 0.00338034 0.00010431 0.00348839 0.00009045 0.00353735 0.00195270 0.00013627 0.00010726 0.00196273 0.00015827 0.00353579 0.00357509 0.00351409 0.00349751 0.00016414 0.00350396 0.00011859 0.00003752 0.00178763 0.00045759 0.00348485 0.00177378 0.00345889 0 0.00010863 0.00101755 0.01397684 0.01438662 0.00331378 0.00354064 0.00353477 0.00187840 0.00006350 0.00356533 0.00004912 0.00331514 0.00014817 0.00011553 0.00015889 0.00346637 0.00346826 0.00178588 0.00355636 0.00177956 0.00335353 0.00016795 0.00181338 0.00332349 0.00355269 0.00284419 0.00352430 0.00352723 0.00332464 0.01422564 0.00329182 0.00344742 0.00322089 0.00284418 0.00280296 0.00358574 0.00178352 0.00178476 0.00351877 0.00011462 0.00016378 0.00353952 0.00349612
s_4395 0.00017532 0.00010964 0.00356123 0.01440503 0.00358339 0.00015220 0.00346257 0.00271593 0.01438769 0.00377445 0.00355794 0.00186739 0.00324273 0.00355588 0.00326659 0.00338136 0.00014813 0.00349493 0.00016867 0.00354843 0.00202619 0.00014956 0.00012642 0.00201980 0.00019025 0.00356728 0.00360625 0.00355826 0.00356363 0.00018748 0.00354970 0.00017321 0.00010524 0.00184081 0.00045207 0.00353212 0.00181834 0.00349695 0.00010863 0 0.00109253 0.01404595 0.01440657 0.00335288 0.00357822 0.00356276 0.00188813 0.00013532 0.00359906 0.00011854 0.00334018 0.00017302 0.00013723 0.00020547 0.00350085 0.00350862 0.00183415 0.00358109 0.00182694 0.00339416 0.00024094 0.00186629 0.00334300 0.00357788 0.00288078 0.00354204 0.00354642 0.00336155 0.01422992 0.00333643 0.00350153 0.00324764 0.00286410 0.00281444 0.00361391 0.00183473 0.00183536 0.00353855 0.00014490 0.00020833 0.00357093 0.00353183
s_4421 0.00111475 0.00103778 0.00216348 0.01053694 0.00218569 0.00096137 0.00205479 0.00258228 0.01070984 0.00242739 0.00221818 0.00204476 0.00212477 0.00221389 0.00210002 0.00213089 0.00093711 0.00213008 0.00107879 0.00196027 0.00219406 0.00110933 0.00109297 0.00194687 0.00117337 0.00219164 0.00214866 0.00218707 0.00197975 0.00114395 0.00222310 0.00101349 0.00103152 0.00219363 0.00120002 0.00215418 0.00221932 0.00213131 0.00101755 0.00109253 0 0.01041881 0.01074296 0.00215757 0.00220250 0.00213613 0.00116156 0.00107971 0.00216539 0.00098521 0.00214674 0.00111612 0.00110579 0.00096117 0.00217435 0.00217017 0.00200719 0.00222024 0.00200709 0.00209218 0.00098716 0.00220285 0.00215108 0.00212962 0.00179442 0.00210963 0.00223619 0.00215881 0.01192920 0.00205429 0.00218205 0.00193650 0.00174435 0.00172871 0.00216786 0.00200473 0.00201471 0.00220951 0.00102652 0.00100298 0.00220283 0.00215086
s_4465 0.01438532 0.01424469 0.01518296 0.00011689 0.01567625 0.01361652 0.01533341 0.01403699 0.00010265 0.01556251 0.01566123 0.01467990 0.01398240 0.01539669 0.01407273 0.01572031 0.01438392 0.01528612 0.01424567 0.01566350 0.01447675 0.01400833 0.01422938 0.01386809 0.01439940 0.01546705 0.01553706 0.01555371 0.01453975 0.01441046 0.01564349 0.01384201 0.01402192 0.01448374 0.01416900 0.01537326 0.01357463 0.01546564 0.01397684 0.01404595 0.01041881 0 0.00010379 0.01450023 0.01569832 0.01548023 0.01060209 0.01441951 0.01493068 0.01464040 0.01437653 0.01444364 0.01415237 0.01413799 0.01550793 0.01516581 0.01476064 0.01519686 0.01476215 0.01586544 0.01374629 0.01433218 0.01455402 0.01552505 0.01330652 0.01553229 0.01514460 0.01465910 0.00008083 0.01409947 0.01520124 0.01412480 0.01301793 0.01283000 0.01475241 0.01476613 0.01475371 0.01561479 0.01460945 0.01450669 0.01587292 0.01531174
s_4450 0.01469608 0.01461477 0.01566187 0.00007901 0.01603512 0.01405930 0.01573309 0.01443839 0.00006499 0.01589665 0.01600310 0.01532187 0.01433370 0.01604039 0.01442761 0.01591536 0.01504175 0.01566882 0.01455502 0.01613875 0.01491586 0.01440280 0.01459311 0.01442587 0.01478376 0.01582044 0.01615423 0.01591143 0.01408368 0.01474127 0.01598236 0.01420316 0.01441645 0.01481942 0.01445000 0.01572683 0.01382418 0.01585231 0.01438662 0.01440657 0.01074296 0.00010379 0 0.01485905 0.01605903 0.01607356 0.01094608 0.01482574 0.01587015 0.01509021 0.01474746 0.01482276 0.01455921 0.01450405 0.01601862 0.01570607 0.01517569 0.01569177 0.01516025 0.01607815 0.01393655 0.01472394 0.01493058 0.01598797 0.01366394 0.01599158 0.01562106 0.01507617 0.00004400 0.01445799 0.01566418 0.01450890 0.01334073 0.01315299 0.01616320 0.01517731 0.01516497 0.01596413 0.01519065 0.01491124 0.01618275 0.01581771
s_4410 0.00342806 0.00335829 0.00053149 0.01478863 0.00052895 0.00338678 0.00059972 0.00294238 0.01487386 0.00098531 0.00054665 0.00338972 0.00050403 0.00055538 0.00072869 0.00067154 0.00339628 0.00073277 0.00336170 0.00060023 0.00343026 0.00336372 0.00335843 0.00342031 0.00347796 0.00051598 0.00055833 0.00052282 0.00068347 0.00346582 0.00051867 0.00329176 0.00331815 0.00331326 0.00347536 0.00051770 0.00342022 0.00056268 0.00331378 0.00335288 0.00215757 0.01450023 0.01485905 0 0.00053007 0.00053437 0.00135107 0.00339398 0.00048700 0.00339850 0.00047810 0.00344298 0.00337507 0.00333787 0.00058790 0.00057713 0.00336318 0.00051261 0.00335671 0.00053915 0.00329807 0.00335051 0.00051511 0.00056649 0.00035077 0.00060918 0.00051877 0.00052804 0.01453003 0.00073672 0.00058555 0.00055631 0.00034611 0.00030868 0.00053366 0.00335194 0.00335162 0.00051758 0.00346840 0.00332463 0.00054204 0.00057464
s_4478 0.00366541 0.00358344 0.00060619 0.01593566 0.00050826 0.00369892 0.00060477 0.00311020 0.01610071 0.00104517 0.00053083 0.00370658 0.00052897 0.00056314 0.00074366 0.00070614 0.00369482 0.00080739 0.00359324 0.00060194 0.00369127 0.00357630 0.00361610 0.00383609 0.00369644 0.00051710 0.00060103 0.00052691 0.00075672 0.00368201 0.00050907 0.00351583 0.00353776 0.00353823 0.00372006 0.00050189 0.00365521 0.00061299 0.00354064 0.00357822 0.00220250 0.01569832 0.01605903 0.00053007 0 0.00058096 0.00132501 0.00363493 0.00053102 0.00371694 0.00053325 0.00367011 0.00359002 0.00358638 0.00059982 0.00059645 0.00378347 0.00048160 0.00379005 0.00054876 0.00366635 0.00358517 0.00054116 0.00058210 0.00030404 0.00061539 0.00049645 0.00054046 0.01559636 0.00077733 0.00062081 0.00056072 0.00031506 0.00027011 0.00055090 0.00377696 0.00378343 0.00051257 0.00375302 0.00361814 0.00057959 0.00064316
s_4460 0.00366933 0.00358018 0.00057440 0.01591540 0.00059490 0.00366947 0.00058015 0.00310177 0.01611718 0.00109043 0.00060369 0.00367993 0.00054538 0.00057694 0.00075497 0.00071192 0.00369343 0.00078449 0.00358636 0.00058200 0.00366123 0.00357202 0.00361049 0.00378046 0.00369235 0.00060114 0.00058904 0.00058786 0.00072167 0.00368337 0.00060761 0.00349371 0.00353633 0.00352244 0.00373109 0.00058334 0.00362543 0.00062010 0.00353477 0.00356276 0.00213613 0.01548023 0.01607356 0.00053437 0.00058096 0 0.00126862 0.00363546 0.00050198 0.00370380 0.00056438 0.00365662 0.00359421 0.00358401 0.00061938 0.00060474 0.00364118 0.00059391 0.00364464 0.00053685 0.00356933 0.00357116 0.00058749 0.00058807 0.00031638 0.00061046 0.00060888 0.00058208 0.01553363 0.00074767 0.00061505 0.00059951 0.00032285 0.00027858 0.00052341 0.00364024 0.00364298 0.00059538 0.00374558 0.00361683 0.00055289 0.00061886
s_4424 0.00197941 0.00190516 0.00130255 0.01072495 0.00132786 0.00175049 0.00118413 0.00247757 0.01090909 0.00145188 0.00128719 0.00226708 0.00126322 0.00131051 0.00128775 0.00123683 0.00160729 0.00126401 0.00193755 0.00120986 0.00226786 0.00190022 0.00192555 0.00222600 0.00201104 0.00132138 0.00123687 0.00130019 0.00112856 0.00200251 0.00131132 0.00176666 0.00184560 0.00249795 0.00184518 0.00129308 0.00251514 0.00129195 0.00187840 0.00188813 0.00116156 0.01060209 0.01094608 0.00135107 0.00132501 0.00126862 0 0.00194608 0.00131661 0.00172033 0.00136208 0.00199642 0.00192236 0.00180109 0.00128324 0.00130521 0.00221486 0.00133380 0.00222171 0.00121524 0.00188571 0.00248162 0.00131843 0.00123200 0.00099000 0.00121141 0.00134039 0.00135071 0.01394316 0.00108744 0.00127622 0.00121350 0.00095065 0.00093243 0.00123794 0.00220618 0.00221280 0.00124180 0.00177042 0.00166796 0.00127638 0.00130360
s_4415 0.00018299 0.00006655 0.00363686 0.01472345 0.00367160 0.00011095 0.00352060 0.00275593 0.01480204 0.00383300 0.00361806 0.00189459 0.00326219 0.00364317 0.00330772 0.00347654 0.00013372 0.00357075 0.00012666 0.00360235 0.00203531 0.00016508 0.00013261 0.00202517 0.00020503 0.00362283 0.00367307 0.00362599 0.00362214 0.00019871 0.00360865 0.00014315 0.00005606 0.00183261 0.00050851 0.00359389 0.00181403 0.00356547 0.00006350 0.00013532 0.00107971 0.01441951 0.01482574 0.00339398 0.00363493 0.00363546 0.00194608 0 0.00366517 0.00007911 0.00336787 0.00018034 0.00014181 0.00018611 0.00357576 0.00356700 0.00185743 0.00364685 0.00184830 0.00347335 0.00020569 0.00186291 0.00340385 0.00366325 0.00291386 0.00361802 0.00362125 0.00342633 0.01457611 0.00337218 0.00353140 0.00329919 0.00287648 0.00283161 0.00368173 0.00185464 0.00185846 0.00360603 0.00014449 0.00020429 0.00362893 0.00360184
s_4454 0.00368646 0.00361144 0.00052864 0.01554103 0.00051618 0.00370146 0.00055389 0.00312471 0.01573938 0.00106254 0.00051986 0.00370741 0.00052342 0.00051871 0.00072986 0.00066386 0.00367829 0.00074456 0.00362581 0.00057234 0.00369216 0.00361334 0.00364171 0.00382418 0.00372498 0.00050061 0.00051874 0.00053813 0.00068677 0.00371610 0.00052437 0.00353194 0.00357005 0.00355165 0.00375133 0.00051041 0.00367716 0.00054971 0.00356533 0.00359906 0.00216539 0.01493068 0.01587015 0.00048700 0.00053102 0.00050198 0.00131661 0.00366517 0 0.00367524 0.00049364 0.00369643 0.00361325 0.00360428 0.00055677 0.00055224 0.00362226 0.00052313 0.00362134 0.00050192 0.00358331 0.00358523 0.00051997 0.00051793 0.00028373 0.00056234 0.00051154 0.00052324 0.01518571 0.00071160 0.00057447 0.00054064 0.00030139 0.00026528 0.00046929 0.00361115 0.00362140 0.00051124 0.00377337 0.00365112 0.00048930 0.00053084
s_4456 0.00017047 0.00005585 0.00363865 0.01491673 0.00374572 0.00009805 0.00353636 0.00268655 0.01510029 0.00396197 0.00368673 0.00190573 0.00325922 0.00363280 0.00333959 0.00351426 0.00012083 0.00358701 0.00011248 0.00367412 0.00203990 0.00015257 0.00012388 0.00208633 0.00019466 0.00371529 0.00374961 0.00369572 0.00369031 0.00018371 0.00369010 0.00013544 0.00004845 0.00183121 0.00049107 0.00366855 0.00182096 0.00360669 0.00004912 0.00011854 0.00098521 0.01464040 0.01509021 0.00339850 0.00371694 0.00370380 0.00172033 0.00007911 0.00367524 0 0.00337203 0.00016807 0.00013092 0.00017930 0.00359234 0.00356328 0.00187540 0.00372745 0.00186895 0.00355350 0.00018940 0.00185512 0.00339188 0.00367393 0.00290961 0.00365387 0.00369037 0.00341414 0.01473709 0.00343993 0.00356235 0.00329193 0.00288771 0.00283870 0.00376048 0.00187326 0.00187699 0.00367762 0.00013492 0.00019080 0.00371810 0.00363563
s_4411 0.00344114 0.00334057 0.00055779 0.01466918 0.00052013 0.00333895 0.00060040 0.00291501 0.01472073 0.00099556 0.00053517 0.00336209 0.00051499 0.00056177 0.00072752 0.00065855 0.00336380 0.00074783 0.00333839 0.00059885 0.00341863 0.00334773 0.00337011 0.00341856 0.00343186 0.00052672 0.00057829 0.00055108 0.00071246 0.00344812 0.00053842 0.00326898 0.00330624 0.00329965 0.00344269 0.00053321 0.00342017 0.00057280 0.00331514 0.00334018 0.00214674 0.01437653 0.01474746 0.00047810 0.00053325 0.00056438 0.00136208 0.00336787 0.00049364 0.00337203 0 0.00342759 0.00335953 0.00334589 0.00058731 0.00058534 0.00333979 0.00054135 0.00334490 0.00053184 0.00325262 0.00335191 0.00053572 0.00059314 0.00035486 0.00059115 0.00053230 0.00053228 0.01452188 0.00069434 0.00060834 0.00054626 0.00035957 0.00032437 0.00052769 0.00332252 0.00333513 0.00054120 0.00345184 0.00330640 0.00055047 0.00057366
s_4413 0.00020815 0.00015014 0.00367840 0.01469700 0.00366098 0.00019145 0.00354039 0.00279980 0.01481019 0.00387354 0.00362049 0.00193420 0.00330647 0.00366497 0.00337380 0.00349718 0.00019076 0.00359495 0.00021586 0.00365196 0.00209429 0.00019778 0.00016999 0.00208778 0.00022545 0.00366428 0.00369937 0.00364489 0.00365365 0.00021521 0.00363518 0.00019100 0.00014544 0.00189084 0.00050127 0.00360178 0.00186933 0.00360660 0.00014817 0.00017302 0.00111612 0.01444364 0.01482276 0.00344298 0.00367011 0.00365662 0.00199642 0.00018034 0.00369643 0.00016807 0.00342759 0 0.00017855 0.00022577 0.00360704 0.00359920 0.00189195 0.00367626 0.00188620 0.00351622 0.00027672 0.00191902 0.00342891 0.00369103 0.00292889 0.00365089 0.00364045 0.00344700 0.01457475 0.00339691 0.00359872 0.00334351 0.00291793 0.00287649 0.00370559 0.00189369 0.00189884 0.00363067 0.00018690 0.00024412 0.00366828 0.00362719
s_4396 0.00018243 0.00011747 0.00359122 0.01443908 0.00363358 0.00015844 0.00349213 0.00272897 0.01451257 0.00379797 0.00356552 0.00189510 0.00326247 0.00359655 0.00328448 0.00342769 0.00016563 0.00353628 0.00017381 0.00357473 0.00201979 0.00015408 0.00013127 0.00202148 0.00019782 0.00359485 0.00363827 0.00357185 0.00358070 0.00018856 0.00357833 0.00018249 0.00011636 0.00186726 0.00044717 0.00354237 0.00184805 0.00353411 0.00011553 0.00013723 0.00110579 0.01415237 0.01455921 0.00337507 0.00359002 0.00359421 0.00192236 0.00014181 0.00361325 0.00013092 0.00335953 0.00017855 0 0.00020820 0.00353370 0.00353360 0.00185478 0.00361063 0.00184747 0.00342977 0.00025121 0.00186528 0.00335737 0.00361511 0.00284024 0.00358534 0.00357210 0.00337087 0.01438666 0.00336519 0.00349749 0.00326280 0.00288837 0.00282363 0.00364705 0.00185638 0.00186193 0.00354819 0.00015074 0.00021975 0.00359679 0.00356759
