s_2937	F_52	F_34	F_25	s_2971	s_2940	F_28	F_18	F_11	s_2968	F_62	F_47	F_17	F_12	s_2961	s_2912	F_43	s_2970	F_29	s_2917	F_53	F_35	s_2904	F_51	F_42	s_2909	F_40	F_58	F_13	F_37	s_2939	F_14	F_60	F_48	s_2923	F_20	F_23	s_2941	s_2907	F_57	F_39	s_2931	F_44	s_2955	s_2918	s_2953	F_64	F_31	F_61	G_2	s_2930	F_36	F_26	F_66	F_38	F_19	s_2972	G_7	s_2964	F_21	s_2956	s_2920	F_55	s_2966	F_67	s_2903	G_5	F_46	F_65	G_8	F_32	F_63	F_16	s_2945	G_1	s_2914	F_56	s_2933	s_2965	F_59	s_2915	F_41	F_27	F_22	s_2954	F_54	s_2950	F_30	s_2959	G_6	F_15	s_2948	s_2942	s_2926	G_3	F_45	s_2908	s_2962	F_50	F_33	s_2949	s_2927	s_2969	F_24	s_2916	F_49	s_2952	s_2921	G_9	s_2944	G_4
s_2939 0.00017761 0.01378085 0.01431763 0.01336845 0.01467491 0.00016778 0.01287112 0.01313844 0.00336718 0.01766019 0.05553442 0.01311785 0.01313824 0.01457739 0.01542532 0.00020777 0.01265984 0.01614690 0.01486070 0.01291381 0.01459741 0.01241438 0.01288452 0.01422493 0.01457681 0.01598603 0.01446461 0.01436898 0.01447125 0.01307344 0 0.01287087 0.07442653 0.01447649 0.01616410 0.00387764 0.01337558 0.00018547 0.01296573 0.01538053 0.01309500 0.01363323 0.07441840 0.01294846 0.01301195 0.00060788 0.14632264 0.01449967 0.01288591 0.01462357 0.01290839 0.01347662 0.01432240 0.01277795 0.01487755 0.01322584 0.01300210 0.01419109 0.00017972 0.01248619 0.01299284 0.01610626 0.01277008 0.00019191 0.01424818 0.07896834 0.01424666 0.01287595 0.01564099 0.01462271 0.01457022 0.01245499 0.01281764 0.01295838 0.00347177 0.01299076 0.01549930 0.07961035 0.00018967 0.01314214 0.01290176 0.01330720 0.01315175 0.01423950 0.01300850 0.01452465 0.00092905 0.01453245 0.01302402 0.01411576 0.00343225 0.00017717 0.00024485 0.01597989 0.00317870 0.01454666 0.01537667 0.01305792 0.14044449 0.01457650 0.00016525 0.01572654 0.07404409 0.00338225 0.01287672 0.01305333 0.00031731 0.01586133 0.01423884 0.01278714 0.01325706
F_14 0.01335655 0.01445703 0.01379374 0.00003106 0.01375313 0.01296978 0.00000752 0.00003176 0.01430152 0.01681014 0.16114790 0.00003029 0.00003029 0.01375804 0.01477508 0.01301135 0.00011957 0.01490046 0.01417010 0.00023232 0.01380696 0.00020894 0.00020512 0.00142800 0.01377457 0.01502132 0.01391133 0.01501044 0.01400172 0.01415441 0.01287087 0 0.07540078 0.01410227 0.01491904 0.01503541 0.00003081 0.01299801 0.00021264 0.01486619 0.00003094 0.00148295 0.07541488 0.00020101 0.00027484 0.01236287 0.15229954 0.01411381 0.00000658 0.01394497 0.00020309 0.00002868 0.01448986 0.00001034 0.01451702 0.00002727 0.00019496 0.00132535 0.01351012 0.00002507 0.00021710 0.01510548 0.00012381 0.01261085 0.00135380 0.07989039 0.00138595 0.00000822 0.01699928 0.01393059 0.01370878 0.00002966 0.00000728 0.00021065 0.01464604 0.00027187 0.01540487 0.08081004 0.01288312 0.00018611 0.00022186 0.00002900 0.00003047 0.00135453 0.00019805 0.01412911 0.01248731 0.01386876 0.00019763 0.00134478 0.01425434 0.01363153 0.01308207 0.01493095 0.01413842 0.01410875 0.01441152 0.00020814 0.15213514 0.01380826 0.01257769 0.01480479 0.07610947 0.01427302 0.00023526 0.00018958 0.01301535 0.01488057 0.00134872 0.00021046 0.00003196
F_60 0.07387042 0.07633228 0.07571145 0.07527219 0.07152271 0.07417184 0.07519301 0.07609427 0.07555756 0.07494753 0.16629956 0.07624528 0.07629014 0.07565178 0.06898218 0.07200006 0.07529672 0.07473489 0.07462075 0.07196938 0.07587409 0.07485314 0.07241841 0.07535473 0.07542400 0.06640028 0.07448786 0.07589979 0.07586927 0.07623983 0.07442653 0.07540078 0 0.07449895 0.07484324 0.07484083 0.07536712 0.07427662 0.07242257 0.07587075 0.07528734 0.07140675 0.00000311 0.07229006 0.07236466 0.07221211 0.15112490 0.07441838 0.07540755 0.07536911 0.07194533 0.07532298 0.07550903 0.07539710 0.07580767 0.07501422 0.07161108 0.07447933 0.07379478 0.07515103 0.07277131 0.07468409 0.07511512 0.07296497 0.07539180 0.07847187 0.07503255 0.07519423 0.07593082 0.07532965 0.07566830 0.07615022 0.07513222 0.07228302 0.07522139 0.07144799 0.07608349 0.07931963 0.07400711 0.07498109 0.07235447 0.07613958 0.07539198 0.07540293 0.06967312 0.07460178 0.07290679 0.07649277 0.07235521 0.07534807 0.07538447 0.07401663 0.07429790 0.07423651 0.07407756 0.07453518 0.07428725 0.07148630 0.15147565 0.07557209 0.07208622 0.07365397 0.07714993 0.07558579 0.07233541 0.07507060 0.07403749 0.07364769 0.07531504 0.07145739 0.07539807
F_48 0.01445774 0.01429851 0.01344525 0.01411674 0.01492534 0.01447239 0.01405099 0.01422082 0.01575444 0.01854266 0.16114790 0.01420845 0.01420717 0.01467630 0.01569422 0.01421575 0.01387463 0.01660011 0.00000365 0.01360158 0.01465990 0.01390002 0.01371730 0.01421660 0.01460935 0.01685726 0.01361832 0.01462762 0.01408149 0.01455416 0.01447649 0.01410227 0.07449895 0 0.01644930 0.01579314 0.01409913 0.01452705 0.01371855 0.01624253 0.01409096 0.01400979 0.07455754 0.01371366 0.01366514 0.01422104 0.15118085 0.00000690 0.01408832 0.01450629 0.01360324 0.01409413 0.01442352 0.01408172 0.01334813 0.01409453 0.01351971 0.01386868 0.01455060 0.01404440 0.01373702 0.01656929 0.01417355 0.01424442 0.01414678 0.08145006 0.01406670 0.01408428 0.01536632 0.01450321 0.01430658 0.01411571 0.01414616 0.01364323 0.01559376 0.01336199 0.01506859 0.08260879 0.01445004 0.01400654 0.01368284 0.01430299 0.01412734 0.01396481 0.01312065 0.00000585 0.01401444 0.01474925 0.01363644 0.01394245 0.01587643 0.01458485 0.01467887 0.01643446 0.01559225 0.00000790 0.01584743 0.01351526 0.15083399 0.01468000 0.01412614 0.01616169 0.07964789 0.01586424 0.01365169 0.01401097 0.01453543 0.01620006 0.01393474 0.01346595 0.01406544
s_2923 0.01604754 0.01597900 0.01363666 0.01498786 0.01181529 0.01611807 0.01492419 0.01489556 0.01543404 0.00218941 0.04801762 0.01495456 0.01496377 0.01312098 0.01371171 0.01555622 0.01406192 0.00091490 0.01643152 0.01466805 0.01312403 0.01410676 0.01480979 0.01400033 0.01315168 0.00270350 0.01394888 0.01390943 0.01389227 0.01406398 0.01616410 0.01491904 0.07484324 0.01644930 0 0.01536631 0.01499272 0.01617519 0.01494872 0.00093649 0.01502167 0.01483216 0.07480757 0.01492194 0.01493726 0.01590556 0.14437433 0.01649086 0.01494150 0.01351891 0.01493412 0.01499675 0.01437356 0.01492107 0.01389282 0.01496014 0.01489911 0.01407638 0.01597538 0.01501295 0.01498195 0.00096656 0.01404634 0.01608870 0.01399409 0.08042847 0.01398525 0.01493457 0.01550641 0.01333264 0.01315532 0.01501148 0.01493317 0.01505569 0.01563568 0.01499220 0.01288648 0.08191671 0.01614192 0.01492688 0.01492784 0.01506760 0.01491688 0.01399579 0.01497659 0.01651987 0.01575305 0.01612225 0.01499115 0.01399590 0.01534421 0.01611008 0.01622146 0.00090643 0.01535246 0.01654680 0.00176980 0.01504226 0.14392175 0.01313604 0.01601156 0.00090770 0.07839125 0.01544489 0.01506016 0.01492016 0.01612662 0.00086144 0.01400249 0.01504234 0.01496825
F_20 0.00386620 0.01383216 0.01475409 0.01523007 0.01524177 0.00385781 0.01516748 0.01442823 0.00080937 0.01749397 0.16114790 0.01446734 0.01451604 0.01505164 0.01606034 0.00382368 0.01391544 0.01544669 0.01574916 0.01398645 0.01507152 0.01396664 0.01401112 0.01397016 0.01506575 0.01545693 0.01472268 0.01613958 0.01510113 0.01521579 0.00387764 0.01503541 0.07484083 0.01579314 0.01536631 0 0.01516207 0.00379975 0.01410785 0.01583844 0.01438779 0.01418077 0.07495221 0.01392989 0.01404524 0.00402144 0.15175505 0.01581848 0.01515511 0.01547599 0.01399228 0.01520629 0.01513038 0.01509023 0.01518095 0.01508586 0.01395029 0.01376713 0.00387988 0.01504964 0.01412806 0.01548691 0.01393273 0.00398886 0.01405779 0.08097552 0.01386988 0.01515566 0.01763502 0.01509782 0.01520261 0.01493946 0.01505959 0.01407429 0.00083815 0.01401806 0.01589025 0.08157874 0.00380117 0.01442155 0.01399856 0.01506855 0.01434752 0.01401755 0.01355788 0.01599168 0.00376734 0.01460705 0.01406968 0.01384127 0.00081036 0.00390033 0.00387552 0.01531352 0.00075742 0.01580247 0.01469428 0.01398615 0.15023869 0.01506705 0.00366773 0.01500114 0.07824241 0.00080760 0.01404586 0.01431085 0.00411754 0.01526014 0.01375722 0.01389060 0.01525100
F_23 0.01350663 0.01452690 0.01376561 0.00000330 0.01379129 0.01345005 0.00003166 0.00004854 0.01554788 0.01686045 0.16114790 0.00008146 0.00008265 0.01386405 0.01450771 0.01311577 0.00106640 0.01495844 0.01415735 0.00024438 0.01387824 0.00120403 0.00021763 0.00068479 0.01384472 0.01498728 0.01391928 0.01507604 0.01397438 0.01420702 0.01337558 0.00003081 0.07536712 0.01409913 0.01499272 0.01516207 0 0.01353803 0.00022585 0.01486011 0.00008348 0.00146576 0.07538523 0.00021452 0.00028871 0.01342618 0.15227759 0.01409285 0.00002762 0.01427137 0.00021526 0.00004532 0.01448670 0.00003289 0.01452928 0.00001090 0.00020688 0.00055387 0.01349927 0.00105858 0.00022855 0.01517657 0.00100719 0.01317461 0.00063904 0.08172638 0.00068221 0.00002761 0.01623314 0.01426998 0.01383744 0.00109545 0.00003005 0.00022392 0.01585083 0.00028318 0.01533244 0.08274127 0.01340119 0.00020020 0.00023306 0.00001314 0.00004870 0.00060641 0.00021059 0.01412036 0.01337797 0.01390240 0.00021123 0.00060299 0.01552967 0.01359646 0.01357464 0.01498493 0.01538577 0.01408338 0.01448035 0.00021995 0.15197293 0.01387775 0.01311667 0.01486200 0.07987523 0.01552103 0.00024721 0.00021177 0.01342408 0.01494775 0.00061374 0.00022392 0.00000921
s_2941 0.00018398 0.01381055 0.01437220 0.01353207 0.01487137 0.00019731 0.01299010 0.01322880 0.00341359 0.01779604 0.04008847 0.01319814 0.01322824 0.01458140 0.01563732 0.00022138 0.01291278 0.01626403 0.01491143 0.01293508 0.01459886 0.01268640 0.01295078 0.01435837 0.01458146 0.01594096 0.01450405 0.01434209 0.01454977 0.01317492 0.00018547 0.01299801 0.07427662 0.01452705 0.01617519 0.00379975 0.01353803 0 0.01304134 0.01550327 0.01317560 0.01365234 0.07426030 0.01308334 0.01305178 0.00063478 0.14668964 0.01465073 0.01301033 0.01478382 0.01296079 0.01355128 0.01437582 0.01299057 0.01494749 0.01332967 0.01311769 0.01435319 0.00019870 0.01271648 0.01311725 0.01611851 0.01292469 0.00021441 0.01438529 0.07900828 0.01441046 0.01299897 0.01583525 0.01478296 0.01454192 0.01270408 0.01297033 0.01308736 0.00352013 0.01302246 0.01561813 0.07991301 0.00019053 0.01322355 0.01291467 0.01341004 0.01323610 0.01437623 0.01311345 0.01457364 0.00073589 0.01451834 0.01307489 0.01427181 0.00346910 0.00019671 0.00027291 0.01601472 0.00314208 0.01456592 0.01550628 0.01318656 0.14291252 0.01458020 0.00019656 0.01576533 0.07443194 0.00342218 0.01288088 0.01313297 0.00032848 0.01587129 0.01437277 0.01290571 0.01336631
s_2907 0.01279266 0.01413426 0.01341226 0.00022804 0.01325382 0.01305454 0.00020451 0.00004168 0.01440771 0.01677757 0.03602484 0.00003883 0.00004124 0.01346923 0.01412470 0.01258316 0.00028265 0.01506316 0.01373304 0.00014015 0.01347586 0.00051973 0.00010633 0.00040383 0.01343120 0.01608893 0.01353684 0.01420397 0.01370006 0.01380186 0.01296573 0.00021264 0.07242257 0.01371855 0.01494872 0.01410785 0.00022585 0.01304134 0 0.01440513 0.00019169 0.00130513 0.07245700 0.00007447 0.00017465 0.01324418 0.14615471 0.01370581 0.00020939 0.01411147 0.00009917 0.00018728 0.01423921 0.00020690 0.01402824 0.00022232 0.00007298 0.00032839 0.01287690 0.00044133 0.00009423 0.01488675 0.00043767 0.01292272 0.00032812 0.08044218 0.00037673 0.00020813 0.01536660 0.01411063 0.01337465 0.00029044 0.00020831 0.00010650 0.01476602 0.00020378 0.01423433 0.08214134 0.01299276 0.00003902 0.00014969 0.00007173 0.00019104 0.00033202 0.00008511 0.01378329 0.01334462 0.01358788 0.00008273 0.00033640 0.01439534 0.01291539 0.01313596 0.01479429 0.01407281 0.01372220 0.01429253 0.00008620 0.14559116 0.01347631 0.01290131 0.01470428 0.07776212 0.01452828 0.00014554 0.00006668 0.01311326 0.01489791 0.00034020 0.00010456 0.00022952
F_57 0.01532880 0.01547675 0.01344808 0.01482021 0.01074917 0.01545117 0.01480789 0.01478155 0.01514418 0.00233033 0.16114790 0.01493911 0.01468371 0.01263170 0.01295607 0.01488596 0.01363443 0.00089455 0.01631677 0.01409522 0.01260816 0.01384948 0.01428559 0.01361485 0.01256039 0.00223542 0.01369091 0.01346589 0.01366891 0.01353859 0.01538053 0.01486619 0.07587075 0.01624253 0.00093649 0.01583844 0.01486011 0.01550327 0.01440513 0 0.01474620 0.01403245 0.07571860 0.01432546 0.01425961 0.01464936 0.15177547 0.01630302 0.01457451 0.01302200 0.01418286 0.01479783 0.01413439 0.01462793 0.01360343 0.01469429 0.01414099 0.01338835 0.01523912 0.01480388 0.01434209 0.00087522 0.01365787 0.01510805 0.01372778 0.08179066 0.01374578 0.01473250 0.01535088 0.01267878 0.01254847 0.01469719 0.01459199 0.01442145 0.01531215 0.01428964 0.01247179 0.08223505 0.01543731 0.01452899 0.01429347 0.01486770 0.01473865 0.01383214 0.01380108 0.01627503 0.01469424 0.01578181 0.01427304 0.01370232 0.01498295 0.01534578 0.01552250 0.00078033 0.01507371 0.01616473 0.00122005 0.01422017 0.15097746 0.01262742 0.01500611 0.00079857 0.08030312 0.01512440 0.01441384 0.01449948 0.01538852 0.00083163 0.01357610 0.01421621 0.01479583
F_39 0.01298550 0.01451791 0.01378237 0.00009055 0.01355192 0.01312984 0.00002996 0.00001772 0.01492145 0.01677087 0.16114790 0.00005369 0.00005473 0.01383705 0.01480489 0.01261147 0.00035378 0.01492305 0.01414466 0.00021174 0.01386680 0.00042521 0.00018428 0.00030596 0.01374484 0.01505444 0.01397484 0.01461883 0.01397404 0.01413629 0.01309500 0.00003094 0.07528734 0.01409096 0.01502167 0.01438779 0.00008348 0.01317560 0.00019169 0.01474620 0 0.00142067 0.07531614 0.00017962 0.00025384 0.01292754 0.15235822 0.01409707 0.00002886 0.01399252 0.00018094 0.00001557 0.01452008 0.00002813 0.01431746 0.00004574 0.00017376 0.00014391 0.01298334 0.00035479 0.00019529 0.01510797 0.00035057 0.01293010 0.00023315 0.08157313 0.00027026 0.00002811 0.01576908 0.01399114 0.01371575 0.00036129 0.00002874 0.00018958 0.01526558 0.00024862 0.01454297 0.08262440 0.01310783 0.00016804 0.00022526 0.00004476 0.00001824 0.00022932 0.00017832 0.01412910 0.01308770 0.01379718 0.00017721 0.00023111 0.01486572 0.01307443 0.01329108 0.01499017 0.01485016 0.01411029 0.01439654 0.00018657 0.15196393 0.01385534 0.01276862 0.01475033 0.07937523 0.01500514 0.00021716 0.00017476 0.01315423 0.01488067 0.00023924 0.00019008 0.00005141
s_2931 0.01355629 0.01434553 0.01380268 0.00146753 0.01341618 0.01364319 0.00146783 0.00122858 0.01444307 0.01664625 0.05427509 0.00129085 0.00129119 0.01312359 0.01377764 0.01321456 0.00146470 0.01490045 0.01408533 0.00139210 0.01316740 0.00168225 0.00131739 0.00166102 0.01317120 0.01506172 0.01385242 0.01455522 0.01375673 0.01401557 0.01363323 0.00148295 0.07140675 0.01400979 0.01483216 0.01418077 0.00146576 0.01365234 0.00130513 0.01403245 0.00142067 0 0.07148011 0.00128667 0.00146638 0.01367484 0.14242295 0.01400288 0.00147350 0.01425686 0.00134064 0.00141473 0.01440513 0.00147890 0.01392454 0.00146354 0.00129403 0.00156240 0.01362130 0.00166001 0.00132323 0.01479240 0.00165975 0.01356441 0.00156677 0.07977497 0.00161757 0.00147489 0.01567614 0.01425647 0.01313718 0.00145378 0.00147498 0.00133956 0.01472536 0.00146398 0.01444334 0.08129038 0.01358472 0.00121870 0.00143083 0.00127241 0.00141594 0.00157748 0.00129710 0.01403734 0.01369287 0.01404288 0.00128596 0.00157259 0.01437755 0.01365592 0.01367697 0.01469775 0.01396627 0.01401024 0.01453796 0.00128933 0.14275975 0.01316377 0.01355196 0.01454434 0.07739512 0.01444560 0.00140766 0.00122988 0.01365934 0.01454579 0.00157838 0.00136117 0.00146668
F_44 0.07385466 0.07621235 0.07566422 0.07528634 0.07148479 0.07415497 0.07521733 0.07610941 0.07554793 0.07502038 0.16629956 0.07615390 0.07612782 0.07564202 0.06890820 0.07203139 0.07564136 0.07470607 0.07444666 0.07200824 0.07588155 0.07487489 0.07246031 0.07538897 0.07540617 0.06636224 0.07445955 0.07612139 0.07581506 0.07603885 0.07441840 0.07541488 0.00000311 0.07455754 0.07480757 0.07495221 0.07538523 0.07426030 0.07245700 0.07571860 0.07531614 0.07148011 0 0.07233542 0.07247793 0.07220713 0.15106385 0.07420742 0.07522552 0.07531879 0.07199092 0.07534586 0.07548178 0.07524046 0.07577437 0.07534940 0.07165339 0.07449238 0.07378567 0.07516593 0.07281579 0.07465047 0.07532623 0.07295361 0.07539698 0.07854807 0.07536474 0.07523463 0.07607013 0.07527933 0.07564337 0.07598517 0.07514975 0.07232782 0.07522020 0.07151320 0.07603379 0.07928927 0.07399013 0.07509568 0.07239472 0.07615409 0.07542051 0.07541727 0.06971503 0.07464744 0.07290027 0.07645888 0.07239874 0.07535626 0.07537177 0.07388798 0.07428834 0.07448973 0.07406870 0.07444275 0.07425402 0.07153109 0.15122324 0.07556141 0.07221678 0.07362979 0.07716556 0.07557372 0.07237546 0.07515765 0.07400220 0.07361294 0.07533203 0.07150231 0.07542143
s_2955 0.01291795 0.01423311 0.01337184 0.00021504 0.01333851 0.01302687 0.00019331 0.00003089 0.01442659 0.01665317 0.04132465 0.00002948 0.00003141 0.01361566 0.01413698 0.01256211 0.00032692 0.01495581 0.01377000 0.00012593 0.01350595 0.00055589 0.00009088 0.00032966 0.01356204 0.01485559 0.01349549 0.01420416 0.01363619 0.01384977 0.01294846 0.00020101 0.07229006 0.01371366 0.01492194 0.01392989 0.00021452 0.01308334 0.00007447 0.01432546 0.00017962 0.00128667 0.07233542 0 0.00016219 0.01279515 0.14675282 0.01368856 0.00019747 0.01422873 0.00008599 0.00017446 0.01420365 0.00020035 0.01398607 0.00020984 0.00005929 0.00031671 0.01292392 0.00048098 0.00008241 0.01490038 0.00047393 0.01309106 0.00031466 0.08053809 0.00032594 0.00019744 0.01515743 0.01422817 0.01350115 0.00033197 0.00019737 0.00008540 0.01467473 0.00017869 0.01425169 0.08155811 0.01306839 0.00002479 0.00013777 0.00006073 0.00017799 0.00031961 0.00006096 0.01378548 0.01297709 0.01362978 0.00006263 0.00032594 0.01452971 0.01300288 0.01318662 0.01475105 0.01421203 0.01369824 0.01425532 0.00007271 0.14651232 0.01350943 0.01265542 0.01457271 0.07788637 0.01443786 0.00012990 0.00004437 0.01310768 0.01472491 0.00032734 0.00008874 0.00021699
s_2918 0.01291668 0.01409931 0.01331285 0.00028984 0.01325629 0.01300831 0.00026790 0.00010969 0.01437539 0.01670584 0.05923203 0.00010717 0.00010862 0.01333608 0.01431033 0.01253700 0.00031834 0.01504478 0.01371751 0.00024639 0.01332702 0.00054971 0.00019485 0.00046197 0.01331569 0.01501108 0.01346920 0.01407455 0.01364703 0.01368961 0.01301195 0.00027484 0.07236466 0.01366514 0.01493726 0.01404524 0.00028871 0.01305178 0.00017465 0.01425961 0.00025384 0.00146638 0.07247793 0.00016219 0 0.01331569 0.14452687 0.01370834 0.00027159 0.01391059 0.00020833 0.00025111 0.01422967 0.00026719 0.01396203 0.00028489 0.00015817 0.00038889 0.01295548 0.00047103 0.00018325 0.01493281 0.00046354 0.01296625 0.00038702 0.07994855 0.00043426 0.00027057 0.01526845 0.01392268 0.01335866 0.00032256 0.00027073 0.00020426 0.01462837 0.00030439 0.01417802 0.08154948 0.01301157 0.00010104 0.00024084 0.00014035 0.00025284 0.00039007 0.00017505 0.01377559 0.01346759 0.01353698 0.00017220 0.00039567 0.01447790 0.01298097 0.01317226 0.01477752 0.01416246 0.01364619 0.01432718 0.00014092 0.14411889 0.01332811 0.01290512 0.01470734 0.07679139 0.01438124 0.00024875 0.00011606 0.01312008 0.01487044 0.00039973 0.00020845 0.00029026
s_2953 0.00107140 0.01335739 0.01395517 0.01339033 0.01440405 0.00061160 0.01236422 0.01299512 0.00363583 0.01669481 0.03288288 0.01297953 0.01298350 0.01421299 0.01535475 0.00109610 0.01253413 0.01532436 0.01457027 0.01319316 0.01422351 0.01247985 0.01302516 0.01387187 0.01419953 0.01556852 0.01409991 0.01473992 0.01415496 0.01251143 0.00060788 0.01236287 0.07221211 0.01422104 0.01590556 0.00402144 0.01342618 0.00063478 0.01324418 0.01464936 0.01292754 0.01367484 0.07220713 0.01279515 0.01331569 0 0.14172818 0.01437068 0.01241137 0.01409599 0.01312903 0.01341575 0.01389725 0.01239849 0.01442056 0.01321242 0.01287104 0.01389235 0.00102891 0.01231525 0.01277703 0.01582120 0.01252218 0.00061761 0.01391219 0.07877178 0.01392873 0.01238208 0.01566504 0.01409516 0.01419210 0.01240914 0.01242222 0.01318613 0.00369413 0.01323644 0.01499065 0.07959301 0.00060096 0.01299127 0.01304281 0.01328084 0.01298134 0.01393408 0.01279418 0.01443801 0.00032968 0.01406412 0.01281877 0.01385682 0.00367876 0.00108071 0.00068223 0.01559701 0.00346082 0.01438299 0.01505668 0.01283673 0.13697950 0.01420926 0.00060186 0.01555016 0.07156216 0.00364386 0.01309527 0.01295886 0.00068577 0.01556888 0.01386850 0.01289570 0.01324027
F_64 0.14535195 0.15192945 0.15198083 0.15227293 0.14469574 0.14670974 0.15229398 0.15237258 0.15129657 0.14498764 0.16652927 0.15230009 0.15231824 0.15182984 0.14394795 0.14240056 0.15221771 0.14606492 0.15114049 0.14502720 0.15190129 0.15195063 0.14573101 0.15228637 0.15141688 0.13456896 0.15207429 0.15197929 0.15047622 0.15111645 0.14632264 0.15229954 0.15112490 0.15118085 0.14437433 0.15175505 0.15227759 0.14668964 0.14615471 0.15177547 0.15235822 0.14242295 0.15106385 0.14675282 0.14452687 0.14172818 0 0.15117453 0.15234588 0.15000047 0.14511712 0.15221520 0.15115292 0.15191917 0.15165546 0.15227041 0.14427025 0.15019857 0.14536367 0.15221376 0.14698779 0.14501914 0.15220932 0.14403392 0.15210933 0.14572797 0.15221272 0.15238212 0.15129400 0.15000499 0.15100022 0.15231125 0.15227350 0.14606056 0.15132957 0.14506287 0.15165849 0.14765053 0.14605950 0.15229481 0.14525311 0.15222185 0.15224125 0.15222921 0.13994468 0.15157242 0.14327138 0.15147205 0.14699949 0.15224975 0.15125504 0.14529156 0.14610690 0.14516190 0.15173058 0.15156126 0.14243705 0.14562646 0.01104186 0.15191453 0.14232392 0.14399199 0.14960647 0.15138574 0.14499842 0.15222565 0.14452681 0.14387423 0.15227129 0.14448255 0.15227743
F_31 0.01460709 0.01432324 0.01351704 0.01414524 0.01485879 0.01460331 0.01406905 0.01423813 0.01585446 0.01856468 0.16114790 0.01422620 0.01422265 0.01461568 0.01567271 0.01426826 0.01420151 0.01637894 0.00000689 0.01364287 0.01468456 0.01410062 0.01373304 0.01425816 0.01454659 0.01690269 0.01346799 0.01450272 0.01383906 0.01443033 0.01449967 0.01411381 0.07441838 0.00000690 0.01649086 0.01581848 0.01409285 0.01465073 0.01370581 0.01630302 0.01409707 0.01400288 0.07420742 0.01368856 0.01370834 0.01437068 0.15117453 0 0.01411448 0.01452243 0.01359319 0.01413403 0.01445768 0.01410830 0.01334396 0.01411910 0.01354016 0.01384812 0.01458154 0.01406209 0.01375973 0.01645261 0.01417002 0.01431098 0.01417105 0.08142525 0.01407564 0.01411828 0.01542546 0.01451962 0.01447808 0.01416371 0.01414402 0.01360921 0.01587021 0.01338439 0.01495378 0.08253944 0.01458432 0.01408807 0.01369586 0.01430495 0.01413561 0.01398192 0.01313366 0.00000762 0.01411935 0.01474617 0.01364960 0.01394967 0.01586745 0.01462473 0.01470336 0.01638471 0.01562207 0.00000563 0.01583097 0.01353142 0.15049225 0.01468750 0.01415586 0.01608621 0.08019913 0.01585708 0.01363806 0.01404835 0.01468480 0.01620489 0.01394212 0.01341570 0.01407096
F_61 0.01348235 0.01443065 0.01381565 0.00002840 0.01365063 0.01298820 0.00000423 0.00002938 0.01431472 0.01681806 0.16114790 0.00002717 0.00002546 0.01377347 0.01463411 0.01313052 0.00012015 0.01486476 0.01416063 0.00022887 0.01377398 0.00020929 0.00020142 0.00148336 0.01374949 0.01504223 0.01391022 0.01510673 0.01398921 0.01414485 0.01288591 0.00000658 0.07540755 0.01408832 0.01494150 0.01515511 0.00002762 0.01301033 0.00020939 0.01457451 0.00002886 0.00147350 0.07522552 0.00019747 0.00027159 0.01241137 0.15234588 0.01411448 0 0.01396349 0.00019886 0.00002690 0.01445475 0.00000611 0.01451415 0.00002604 0.00019151 0.00139190 0.01352466 0.00002302 0.00021329 0.01512339 0.00012143 0.01262532 0.00142383 0.07989593 0.00145587 0.00000305 0.01687221 0.01396210 0.01370124 0.00002938 0.00000352 0.00020709 0.01466640 0.00026811 0.01549448 0.08079007 0.01289646 0.00018587 0.00024218 0.00002653 0.00002836 0.00141105 0.00019340 0.01402629 0.01249467 0.01382454 0.00019386 0.00141350 0.01430488 0.01364622 0.01310009 0.01495691 0.01415215 0.01408539 0.01443892 0.00020419 0.15154832 0.01380570 0.01259549 0.01476957 0.07610421 0.01438789 0.00023162 0.00018661 0.01300668 0.01476392 0.00141570 0.00020655 0.00002766
G_2 0.01478596 0.01496375 0.01310243 0.01423661 0.01215403 0.01482353 0.01395955 0.01402409 0.01500797 0.01568316 0.03222958 0.01425116 0.01402926 0.00914603 0.01423674 0.01431676 0.01432110 0.01349000 0.01464698 0.01389181 0.00914410 0.01417191 0.01387304 0.01422012 0.00902449 0.01372765 0.01290880 0.01234756 0.01303501 0.01275270 0.01462357 0.01394497 0.07536911 0.01450629 0.01351891 0.01547599 0.01427137 0.01478382 0.01411147 0.01302200 0.01399252 0.01425686 0.07531879 0.01422873 0.01391059 0.01409599 0.15000047 0.01452243 0.01396349 0 0.01384680 0.01429244 0.01321310 0.01394921 0.01286007 0.01424419 0.01377297 0.01399511 0.01452103 0.01402913 0.01398665 0.01379822 0.01403424 0.01438873 0.01398000 0.08291579 0.01399116 0.01397884 0.01452475 0.00001799 0.00908793 0.01429624 0.01397036 0.01418224 0.01531961 0.01391210 0.01274223 0.08365487 0.01481955 0.01400128 0.01392194 0.01412731 0.01397707 0.01396428 0.01342331 0.01458539 0.01408615 0.01505428 0.01388991 0.01427125 0.01534899 0.01458104 0.01467948 0.01372577 0.01485773 0.01453262 0.01289418 0.01388459 0.15031619 0.00914444 0.01436350 0.01326011 0.08158981 0.01501022 0.01418004 0.01424937 0.01476352 0.01327788 0.01396062 0.01398427 0.01400539
