s_129	G_20	s_163	s_133	s_194	s_252	s_201	s_245	s_228	s_142	s_158	G_18	s_205	s_172	s_222	s_145	s_248	s_226	s_231	G_31	s_168	G_22	s_215	s_135	s_138	s_199	s_240	s_224	G_33	s_153	s_208	s_219	s_181	s_151	s_237	s_196	s_183	s_164	s_178	G_2	s_213	G_27	s_136	s_246	G_14	s_241	G_10	s_182	s_156	G_5	s_144	s_192	G_16	s_239	s_243	s_220	s_203	s_250	s_187	G_25	s_184	s_154	G_21	s_131	s_124	s_159	s_254	s_233	s_209	G_28	s_166	s_188	G_19	s_216	G_17	s_229	s_195	s_128	s_123	s_160	s_174	G_9	G_12	s_218	G_4	s_202	s_253	s_225	s_167	s_132	s_127	s_212	s_227	s_214	s_134	s_148	s_198	s_249	s_221	s_191	s_162	s_185	G_32	s_171	s_149	s_143	s_126	s_150	s_197	s_236	s_179	G_36	G_34	s_152	s_137	s_244	G_23	s_169	s_247	s_177	s_176	s_223	s_146	s_140	G_7	s_147	s_230	s_207	s_180	G_8	s_234	G_35	s_170	s_242	s_165	G_1	s_125	G_26	G_11	s_204	s_139	G_15	s_155	s_200	s_217	s_251	s_130	s_175	s_255	G_6	s_141	G_30	G_29	s_173	s_235	G_3	s_211	s_206	s_210	s_232	s_157	s_186	s_190	G_24	s_161	s_238	G_13
s_218 0.01968577 0.02004324 0.01944560 0.01953068 0.01711445 0.01821367 0.01878598 0.01973563 0.01881231 0.01955228 0.01977008 0.01897954 0.00953300 0.01980919 0.01977898 0.01970482 0.02044798 0.01295058 0.00564757 0.01882313 0.01876784 0.01909427 0.02039324 0.01810689 0.00000496 0.00253745 0.00948642 0.01950163 0.01881090 0.01883209 0.00947605 0.01974706 0.01989781 0.01977362 0.02038733 0.01967799 0.01879178 0.01880894 0.01876814 0.01908452 0.01876714 0.01880604 0.01212822 0.01974882 0.01893418 0.01309001 0.02124568 0.02008245 0.01976767 0.01885763 0.01971344 0.01711108 0.01895724 0.02040021 0.00281467 0.01956433 0.02037389 0.01887090 0.01859508 0.01897055 0.01980391 0.01980246 0.01885924 0.01972669 0.01972044 0.02052736 0.01845481 0.01875923 0.01311161 0.01903391 0.01882747 0.01811651 0.01892696 0.01951121 0.01878767 0.01931293 0.01968273 0.01872544 0.01969138 0.01945671 0.01980592 0.01886293 0.01887377 0 0.01886145 0.01877641 0.01845817 0.01888227 0.01878542 0.01893149 0.01971605 0.01878473 0.01886930 0.01880303 0.02099700 0.01968089 0.01942225 0.02040821 0.01831948 0.01876582 0.01941569 0.01979185 0.01889179 0.01930113 0.01879200 0.01972617 0.01897214 0.01754007 0.01967173 0.01964193 0.01878316 0.01911164 0.01904518 0.01965363 0.01231678 0.00263712 0.01880856 0.01877056 0.01974969 0.01879463 0.02095204 0.01978727 0.01970762 0.01969104 0.01887458 0.01970113 0.01910117 0.00950704 0.01950115 0.01914017 0.01958962 0.01908631 0.01876583 0.01972628 0.01880783 0.01890351 0.01971679 0.01881424 0.01895848 0.02042098 0.00003314 0.01886107 0.01976519 0.00266447 0.01223078 0.02039140 0.01972763 0.01980677 0.01931160 0.01913199 0.01971945 0.01885129 0.01882643 0.01977449 0.02045848 0.02120738 0.02044351 0.00948903 0.01299860 0.01880910 0.01958370 0.01878917 0.01876809 0.01888643 0.01944993 0.01876245 0.01881097
G_4 0.01790783 0.00238772 0.01777260 0.01885864 0.01668178 0.01817723 0.00029388 0.01796332 0.00029814 0.01760731 0.01791867 0.00013458 0.01818790 0.01787470 0.01794160 0.01796790 0.01888382 0.01923014 0.01814765 0.00010422 0.00029731 0.00013513 0.01879482 0.01801183 0.01883309 0.01822718 0.01818555 0.01780226 0.00009510 0.00042061 0.01817946 0.01798647 0.01967678 0.01796512 0.01878894 0.01797869 0.00029678 0.00028969 0.00030298 0.00352396 0.00029097 0.00012102 0.01874518 0.01790336 0.00014589 0.01871016 0.01826336 0.01937675 0.01785660 0.00014104 0.01788871 0.01680754 0.00016038 0.01883079 0.01804297 0.01797827 0.01877249 0.00029519 0.01857687 0.00013112 0.01791705 0.01788454 0.00017858 0.01797932 0.01790699 0.01755759 0.01888714 0.01872642 0.01870699 0.00014395 0.00029681 0.01770161 0.00016954 0.01790377 0.00011329 0.01780718 0.01797090 0.01833455 0.01794392 0.01780420 0.01791757 0.00013460 0.00010239 0.01886145 0 0.00030699 0.01888874 0.00029649 0.00031091 0.01832859 0.01793037 0.00030160 0.00030175 0.00030280 0.01964768 0.01790383 0.01811422 0.01896824 0.01869985 0.00030710 0.01779308 0.01792557 0.00013950 0.01776063 0.01896538 0.01791094 0.01744948 0.01826549 0.01797699 0.01796611 0.01861892 0.00031535 0.00019987 0.01790498 0.01874613 0.01826349 0.00010755 0.00030355 0.01795654 0.00028936 0.01873099 0.01789492 0.01795761 0.01798290 0.00011068 0.01788891 0.00039445 0.01814855 0.01908920 0.00009981 0.01907985 0.00017160 0.00029858 0.01789233 0.00030166 0.00382603 0.01787994 0.00011303 0.00358129 0.01882666 0.01886296 0.00012032 0.01785112 0.01832379 0.01876739 0.01868555 0.01794923 0.01787842 0.01871398 0.00019590 0.01790621 0.00014499 0.00012545 0.01793235 0.01902589 0.01824757 0.02046260 0.01813513 0.01870601 0.00030932 0.01789453 0.00030377 0.00029645 0.00011753 0.01779422 0.00028619 0.00010675
s_202 0.01794067 0.00258964 0.01780024 0.01886556 0.01668919 0.01816905 0.00003751 0.01801590 0.00000963 0.01763765 0.01796492 0.00032277 0.01813900 0.01792792 0.01798911 0.01800741 0.01895147 0.01910285 0.01809994 0.00030168 0.00000834 0.00033877 0.01880204 0.01800843 0.01880539 0.01826237 0.01813226 0.01785299 0.00030191 0.00009862 0.01813017 0.01801262 0.01963653 0.01801602 0.01878100 0.01788826 0.00004068 0.00002264 0.00001250 0.00350647 0.00000989 0.00029718 0.01862815 0.01794689 0.00034226 0.01863750 0.01843612 0.01930731 0.01792726 0.00031597 0.01794740 0.01681462 0.00033467 0.01879058 0.01800574 0.01799862 0.01871939 0.00001306 0.01856510 0.00033013 0.01797007 0.01793459 0.00034066 0.01800477 0.01793379 0.01761487 0.01879736 0.01864478 0.01865991 0.00034063 0.00001094 0.01778848 0.00031473 0.01792386 0.00029511 0.01784594 0.01788632 0.01833634 0.01799707 0.01783392 0.01797449 0.00029698 0.00028996 0.01877641 0.00030699 0 0.01870655 0.00007359 0.00001617 0.01833630 0.01796640 0.00000547 0.00001749 0.00001979 0.01952735 0.01793919 0.01817023 0.01893043 0.01837536 0.00000912 0.01782018 0.01794579 0.00034489 0.01781062 0.01879351 0.01794691 0.01748632 0.01811257 0.01788891 0.01783101 0.01856225 0.00052148 0.00039727 0.01795856 0.01863151 0.01823542 0.00029661 0.00001538 0.01799639 0.00000859 0.01886547 0.01796348 0.01798285 0.01800893 0.00029536 0.01794171 0.00010538 0.01810857 0.01905588 0.00028775 0.01908168 0.00036750 0.00003491 0.01794788 0.00004089 0.00366444 0.01790819 0.00028120 0.00350050 0.01877033 0.01883482 0.00030569 0.01792267 0.01826725 0.01865371 0.01879945 0.01797639 0.01793703 0.01859880 0.00039854 0.01793389 0.00032182 0.00031894 0.01798655 0.01991758 0.01836109 0.02034865 0.01808942 0.01863133 0.00001356 0.01794997 0.00002528 0.00000625 0.00030012 0.01782204 0.00001590 0.00030201
s_253 0.01770092 0.01946206 0.01775725 0.01227021 0.01652862 0.01207223 0.01864560 0.01767787 0.01868217 0.01752691 0.01762402 0.01876118 0.01760499 0.01764668 0.01767910 0.01770766 0.01855274 0.01815565 0.01810202 0.01884772 0.01878515 0.01892206 0.01994725 0.01779908 0.01846038 0.01764379 0.01761081 0.01777322 0.01885870 0.01878184 0.01759685 0.01765827 0.01500219 0.01768260 0.01994173 0.01851873 0.01868014 0.01873817 0.01863549 0.01901946 0.01861555 0.01878625 0.01765034 0.01769248 0.01884029 0.01802116 0.01856180 0.00973637 0.01762299 0.01885491 0.01770427 0.01654391 0.01901903 0.02003340 0.01750425 0.01773376 0.01988185 0.01862805 0.00453535 0.01887677 0.01770323 0.01764290 0.01877861 0.01773641 0.01765523 0.01886959 0.00001810 0.00454979 0.01802497 0.01886007 0.01864292 0.01293843 0.01884376 0.01774364 0.01879940 0.01764190 0.01852789 0.01155429 0.01766054 0.01776031 0.01765110 0.01886555 0.01859249 0.01845817 0.01888874 0.01870655 0 0.01864260 0.01869088 0.01157651 0.01771845 0.01861980 0.01863676 0.01863947 0.01956945 0.01769732 0.00982069 0.01851850 0.00781380 0.01866365 0.01774293 0.01762940 0.01887601 0.01762432 0.00932172 0.01769998 0.01735349 0.00808192 0.01846769 0.01851392 0.00456837 0.01891688 0.01884077 0.01763941 0.01765480 0.01765054 0.01880989 0.01879890 0.01770465 0.01867318 0.01820841 0.01764934 0.01768364 0.01771961 0.01879214 0.01769486 0.01854152 0.01757830 0.01450213 0.01890524 0.01460957 0.01887653 0.01867416 0.01769256 0.01865885 0.01904163 0.01766964 0.01882303 0.01884451 0.01996288 0.01848069 0.01887865 0.01765719 0.01746323 0.01764373 0.01859208 0.01771978 0.01764428 0.01300209 0.01897179 0.01768175 0.01888373 0.01879327 0.01766644 0.01336150 0.01853719 0.02021037 0.01758187 0.01801014 0.01866958 0.01769047 0.01872471 0.01868112 0.01878797 0.01774428 0.01861516 0.01882993
s_225 0.01792295 0.00261567 0.01780541 0.01887361 0.01660974 0.01816526 0.00001435 0.01793512 0.00004742 0.01771126 0.01791987 0.00030836 0.01817527 0.01796523 0.01802113 0.01798256 0.01889552 0.01905826 0.01810547 0.00028834 0.00004776 0.00032665 0.01868819 0.01806089 0.01887522 0.01829970 0.01812549 0.01781657 0.00028098 0.00008824 0.01815846 0.01794808 0.01990441 0.01799950 0.01878156 0.01783419 0.00003837 0.00000979 0.00004569 0.00344312 0.00001149 0.00030926 0.01864771 0.01794550 0.00035135 0.01866972 0.01827554 0.01933012 0.01794630 0.00030578 0.01794045 0.01673699 0.00035530 0.01876654 0.01800316 0.01800963 0.01874535 0.00000927 0.01862121 0.00030468 0.01796158 0.01792518 0.00038062 0.01797184 0.01795344 0.01777252 0.01871341 0.01863821 0.01871508 0.00032930 0.00003167 0.01789315 0.00034028 0.01791144 0.00029700 0.01781510 0.01783124 0.01834285 0.01794310 0.01783179 0.01796496 0.00030280 0.00031804 0.01888227 0.00029649 0.00007359 0.01864260 0 0.00005403 0.01834979 0.01798795 0.00004490 0.00003785 0.00001019 0.01959400 0.01795974 0.01818689 0.01890599 0.01849728 0.00004255 0.01785293 0.01801962 0.00035768 0.01784772 0.01901669 0.01796512 0.01749281 0.01840827 0.01783437 0.01778915 0.01862048 0.00050274 0.00039395 0.01794268 0.01866847 0.01822965 0.00029272 0.00007594 0.01791667 0.00001410 0.01890345 0.01789533 0.01796396 0.01799024 0.00029070 0.01797536 0.00009902 0.01812792 0.01932296 0.00031821 0.01921198 0.00033501 0.00005792 0.01794796 0.00003861 0.00360762 0.01792758 0.00028383 0.00345708 0.01870270 0.01892330 0.00029706 0.01794040 0.01830689 0.01864241 0.01890221 0.01795785 0.01797346 0.01860195 0.00041140 0.01798876 0.00031579 0.00031220 0.01797202 0.02028854 0.01820266 0.02045491 0.01811189 0.01868475 0.00004876 0.01797380 0.00000757 0.00004257 0.00033304 0.01782803 0.00000796 0.00029937
s_167 0.01796498 0.00259042 0.01779136 0.01885495 0.01662319 0.01816026 0.00004487 0.01802449 0.00000860 0.01766906 0.01795858 0.00029870 0.01813767 0.01795989 0.01801008 0.01798628 0.01895864 0.01910325 0.01810949 0.00028490 0.00000939 0.00031728 0.01880128 0.01801638 0.01881760 0.01821985 0.01813254 0.01786016 0.00029353 0.00010154 0.01813044 0.01801917 0.01958337 0.01803905 0.01878046 0.01779549 0.00004198 0.00002815 0.00001982 0.00348328 0.00001825 0.00029821 0.01861347 0.01793649 0.00034522 0.01864084 0.01845852 0.01920066 0.01790224 0.00032178 0.01792268 0.01662664 0.00033840 0.01878090 0.01799944 0.01800538 0.01876188 0.00001332 0.01853284 0.00031123 0.01800319 0.01791203 0.00034101 0.01801576 0.01791334 0.01764629 0.01876698 0.01860067 0.01861607 0.00032622 0.00001225 0.01925793 0.00031818 0.01793129 0.00029958 0.01785410 0.01777922 0.01832725 0.01800639 0.01782361 0.01800742 0.00030249 0.00029157 0.01878542 0.00031091 0.00001617 0.01869088 0.00005403 0 0.01832945 0.01798809 0.00001330 0.00001906 0.00002921 0.01953818 0.01791815 0.01814017 0.01893796 0.01826067 0.00001721 0.01784218 0.01798039 0.00034917 0.01782241 0.01879826 0.01790967 0.01746822 0.01812676 0.01779322 0.01779222 0.01846539 0.00050372 0.00038087 0.01798230 0.01865561 0.01823502 0.00031050 0.00001695 0.01800347 0.00001747 0.01876845 0.01798375 0.01800591 0.01803338 0.00029640 0.01793411 0.00010924 0.01813717 0.01907555 0.00029270 0.01901140 0.00034949 0.00003911 0.01795129 0.00001798 0.00367911 0.01788593 0.00028823 0.00351874 0.01881680 0.01884576 0.00030387 0.01789566 0.01814745 0.01865599 0.01880579 0.01795685 0.01795562 0.01856895 0.00037742 0.01794559 0.00032292 0.00030428 0.01800328 0.02013765 0.01839533 0.02023574 0.01811825 0.01860678 0.00000470 0.01797265 0.00003260 0.00001148 0.00030222 0.01781441 0.00002336 0.00030120
s_132 0.01809408 0.01884725 0.01809299 0.00002303 0.01660411 0.00001291 0.01832640 0.01813736 0.01831808 0.01819798 0.01814466 0.01835415 0.01838899 0.01816047 0.01816556 0.01813436 0.01900058 0.01903463 0.01823632 0.01831646 0.01831424 0.01842952 0.02004047 0.01765112 0.01891454 0.01757061 0.01835550 0.01810125 0.01833094 0.01837245 0.01839126 0.01813137 0.01215758 0.01816433 0.02003267 0.01835110 0.01831329 0.01835042 0.01832476 0.01834732 0.01832071 0.01837887 0.01840089 0.01813830 0.01833720 0.01859560 0.01940717 0.01020200 0.01814839 0.01830077 0.01814238 0.01659662 0.01838835 0.02007694 0.01729803 0.01812947 0.02001087 0.01833811 0.01201349 0.01840212 0.01816488 0.01815513 0.01833543 0.01812460 0.01808195 0.01883094 0.01161138 0.01209368 0.01863025 0.01834108 0.01835008 0.01143181 0.01832957 0.01814194 0.01831972 0.01810796 0.01835453 0.00000988 0.01805743 0.01809595 0.01815921 0.01829075 0.01829156 0.01893149 0.01832859 0.01833630 0.01157651 0.01834979 0.01832945 0 0.01810717 0.01831597 0.01835010 0.01831723 0.01989654 0.01813626 0.01226325 0.01901133 0.01045892 0.01831692 0.01808772 0.01813274 0.01841826 0.01809894 0.00984399 0.01815929 0.01757188 0.00938510 0.01835448 0.01835230 0.01208512 0.01841418 0.01836420 0.01808308 0.01839398 0.01758568 0.01828668 0.01832754 0.01813674 0.01831475 0.01874988 0.01814191 0.01813609 0.01813735 0.01830445 0.01813750 0.01807561 0.01839642 0.01217818 0.01839851 0.01228554 0.01846690 0.01833130 0.01813760 0.01835010 0.01834280 0.01810680 0.01837834 0.01830870 0.02004175 0.01895041 0.01834860 0.01814646 0.01730288 0.01841291 0.01901412 0.01811187 0.01817292 0.01001464 0.01842022 0.01813043 0.01835269 0.01840076 0.01816156 0.01119087 0.01944872 0.02019975 0.01839550 0.01861285 0.01833159 0.01814403 0.01832544 0.01832312 0.01834114 0.01809362 0.01826745 0.01831980
s_127 0.00002168 0.01865450 0.00046417 0.01860170 0.00073904 0.01794180 0.01797531 0.00001506 0.01796557 0.00002244 0.00003879 0.01835894 0.01815532 0.00004150 0.00003086 0.00003089 0.01883757 0.01998900 0.01914374 0.01787971 0.01799083 0.01827187 0.01954679 0.01888152 0.01972441 0.01823893 0.01815420 0.00046521 0.01793454 0.01796455 0.01814749 0.00001506 0.01948494 0.00002578 0.01951537 0.01868613 0.01799483 0.01798499 0.01797887 0.01850447 0.01797176 0.01789180 0.01950050 0.00002482 0.01807828 0.01938559 0.01940786 0.01862419 0.00003321 0.01795583 0.00001137 0.00071489 0.01812812 0.01959967 0.01816988 0.00002545 0.01956158 0.01799819 0.01751457 0.01842475 0.00003272 0.00004465 0.01795152 0.00002906 0.00002193 0.00007610 0.01768079 0.01758869 0.01943575 0.01827175 0.01799778 0.01846008 0.01813380 0.00002762 0.01790072 0.00004848 0.01869488 0.01810176 0.00001744 0.00046147 0.00003911 0.01785643 0.01808715 0.01971605 0.01793037 0.01796640 0.01771845 0.01798795 0.01798809 0.01810717 0 0.01796117 0.01799169 0.01797466 0.02059150 0.00003485 0.01888496 0.01888837 0.01810946 0.01797082 0.00043561 0.00004816 0.01801672 0.00004645 0.01813306 0.00003251 0.00002228 0.01722176 0.01866591 0.01868643 0.01751906 0.01832380 0.01819711 0.00003458 0.01950342 0.01826319 0.01779374 0.01799075 0.00002193 0.01796272 0.00008233 0.00003536 0.00002454 0.00001744 0.01785956 0.00002692 0.01624477 0.01816937 0.01877305 0.01842461 0.01883613 0.01842703 0.01797658 0.00003512 0.01799426 0.01841419 0.00003013 0.01786082 0.01842448 0.01959202 0.01973490 0.01791784 0.00003853 0.01847299 0.01951530 0.01875427 0.00003882 0.00003378 0.01878092 0.01841402 0.00003302 0.01786700 0.01786858 0.00004044 0.01954893 0.01942345 0.02044940 0.01813966 0.01938836 0.01796580 0.00002987 0.01797661 0.01797752 0.01806230 0.00044661 0.01790943 0.01788433
s_212 0.01793980 0.00259204 0.01777502 0.01883360 0.01661121 0.01813744 0.00003466 0.01800967 0.00000677 0.01764476 0.01793278 0.00030607 0.01815779 0.01790954 0.01800214 0.01798790 0.01876635 0.01904734 0.01812024 0.00028866 0.00000677 0.00031501 0.01874447 0.01801970 0.01880328 0.01828060 0.01815690 0.01789618 0.00028474 0.00009032 0.01814910 0.01800667 0.01961696 0.01801250 0.01873579 0.01786656 0.00003964 0.00002056 0.00001120 0.00346009 0.00000807 0.00028780 0.01857828 0.01793915 0.00033586 0.01862175 0.01844065 0.01930007 0.01787459 0.00031706 0.01791041 0.01672555 0.00033555 0.01873318 0.01797486 0.01800770 0.01868339 0.00000784 0.01849196 0.00030216 0.01792117 0.01789880 0.00033525 0.01801871 0.01791706 0.01761624 0.01869134 0.01855926 0.01866433 0.00032207 0.00000965 0.01777203 0.00031670 0.01793610 0.00030070 0.01784254 0.01785976 0.01831008 0.01798607 0.01779143 0.01795440 0.00029757 0.00028715 0.01878473 0.00030160 0.00000547 0.01861980 0.00004490 0.00001330 0.01831597 0.01796117 0 0.00001071 0.00001927 0.01955880 0.01792211 0.01809095 0.01878673 0.01833721 0.00000886 0.01780971 0.01794174 0.00033950 0.01779077 0.01875669 0.01793157 0.01747659 0.01808781 0.01786644 0.01783673 0.01848412 0.00049595 0.00037773 0.01797387 0.01862120 0.01820961 0.00030584 0.00001017 0.01800666 0.00000521 0.01884880 0.01797527 0.01798086 0.01800650 0.00029885 0.01790731 0.00010273 0.01811726 0.01911209 0.00028496 0.01900115 0.00033593 0.00003257 0.01792628 0.00001172 0.00365473 0.01788995 0.00028335 0.00349171 0.01863984 0.01885122 0.00030160 0.01786992 0.01829043 0.01861500 0.01874726 0.01796147 0.01791942 0.01861155 0.00038004 0.01794782 0.00031902 0.00029783 0.01800018 0.02005958 0.01842532 0.02045296 0.01810193 0.01865157 0.00001069 0.01796729 0.00002242 0.00000286 0.00029577 0.01778060 0.00001511 0.00029815
s_227 0.01797281 0.00261753 0.01779042 0.01887427 0.01660260 0.01816378 0.00004410 0.01798989 0.00001147 0.01766723 0.01797000 0.00030578 0.01817490 0.01796990 0.01807153 0.01803253 0.01889752 0.01915501 0.01810575 0.00028861 0.00001331 0.00032576 0.01866267 0.01807029 0.01884344 0.01829875 0.01812536 0.01780129 0.00029067 0.00009262 0.01815814 0.01800184 0.01990629 0.01804890 0.01875040 0.01781597 0.00004517 0.00001314 0.00001567 0.00343978 0.00001123 0.00029222 0.01857066 0.01795576 0.00036837 0.01866991 0.01827498 0.01932552 0.01795209 0.00032097 0.01791875 0.01672855 0.00035936 0.01873989 0.01800349 0.01805035 0.01870872 0.00000721 0.01861969 0.00030652 0.01801163 0.01797521 0.00034190 0.01802300 0.01791093 0.01775155 0.01872748 0.01864962 0.01871432 0.00033312 0.00000309 0.01785152 0.00034190 0.01796201 0.00029805 0.01780511 0.01781284 0.01834310 0.01801272 0.01782057 0.01801524 0.00030228 0.00031884 0.01886930 0.00030175 0.00001749 0.01863676 0.00003785 0.00001906 0.01835010 0.01799169 0.00001071 0 0.00002769 0.01958731 0.01796506 0.01818776 0.01890743 0.01849681 0.00001044 0.01783758 0.01799345 0.00037236 0.01783291 0.01901591 0.01797037 0.01754102 0.01840874 0.01781591 0.01776732 0.01861685 0.00050642 0.00039420 0.01799254 0.01861670 0.01824085 0.00030635 0.00001880 0.01796883 0.00001489 0.01894287 0.01794630 0.01800379 0.01804091 0.00029674 0.01798094 0.00009662 0.01812755 0.01932331 0.00033027 0.01921454 0.00034209 0.00004045 0.01795733 0.00000309 0.00361665 0.01788230 0.00028306 0.00345057 0.01867660 0.01891128 0.00030585 0.01794559 0.01830749 0.01866879 0.01890458 0.01795410 0.01797859 0.01857003 0.00041587 0.01794349 0.00031739 0.00030747 0.01802182 0.02010290 0.01820225 0.02045787 0.01811093 0.01868427 0.00001434 0.01802330 0.00002429 0.00000601 0.00032123 0.01781331 0.00002044 0.00029361
s_214 0.01790674 0.00257823 0.01776050 0.01883545 0.01659498 0.01815737 0.00000391 0.01794728 0.00002266 0.01768375 0.01788808 0.00030361 0.01817071 0.01789372 0.01792743 0.01793989 0.01893839 0.01906025 0.01811377 0.00028563 0.00002189 0.00031990 0.01875773 0.01799914 0.01881174 0.01828433 0.01813100 0.01780921 0.00028646 0.00008797 0.01815551 0.01795153 0.01965222 0.01798011 0.01874115 0.01786015 0.00002478 0.00003149 0.00002370 0.00349865 0.00002084 0.00028821 0.01857651 0.01790597 0.00033731 0.01863759 0.01837400 0.01932105 0.01787479 0.00031224 0.01795082 0.01674178 0.00033128 0.01873782 0.01803378 0.01793720 0.01869196 0.00002325 0.01851154 0.00030495 0.01785843 0.01785495 0.00033516 0.01796946 0.01795323 0.01764571 0.01872211 0.01859732 0.01864265 0.00032616 0.00002503 0.01783588 0.00031412 0.01786475 0.00030346 0.01781382 0.01785525 0.01831198 0.01796000 0.01779175 0.01789445 0.00030821 0.00028646 0.01880303 0.00030280 0.00001979 0.01863947 0.00001019 0.00002921 0.01831723 0.01797466 0.00001927 0.00002769 0 0.01953861 0.01790524 0.01814854 0.01892244 0.01835786 0.00002033 0.01782534 0.01795458 0.00033469 0.01776970 0.01876351 0.01791155 0.01745220 0.01808779 0.01786014 0.01783403 0.01850470 0.00048617 0.00037106 0.01792377 0.01864587 0.01826843 0.00030757 0.00002530 0.01792322 0.00001823 0.01885639 0.01788944 0.01793678 0.01797385 0.00028876 0.01790779 0.00011453 0.01809860 0.01904919 0.00028982 0.01907961 0.00035470 0.00001876 0.01790275 0.00002788 0.00366357 0.01791320 0.00028633 0.00349238 0.01864783 0.01885880 0.00030989 0.01786952 0.01829646 0.01860671 0.01878305 0.01795565 0.01790256 0.01860721 0.00038234 0.01798550 0.00032416 0.00030113 0.01795308 0.01988168 0.01830868 0.02041554 0.01808197 0.01862925 0.00002660 0.01790213 0.00000573 0.00001927 0.00029199 0.01778302 0.00001909 0.00029097
s_134 0.02049329 0.02005293 0.02033036 0.02054866 0.01866731 0.01981252 0.01953209 0.02047782 0.01957071 0.02057109 0.02042143 0.01990675 0.01972028 0.02041976 0.02042860 0.02051543 0.02037242 0.02062692 0.02040328 0.01956131 0.01956869 0.01993051 0.02080716 0.00000357 0.02103194 0.01979067 0.01970014 0.02033028 0.01954516 0.01964623 0.01968303 0.02050781 0.02074531 0.02043511 0.02073096 0.01961787 0.01955850 0.01961511 0.01953162 0.01976519 0.01955200 0.01951656 0.02051579 0.02048358 0.01954714 0.02040628 0.02023825 0.02008436 0.02042114 0.01956801 0.02048766 0.01869823 0.01960069 0.02083109 0.01965003 0.02053011 0.02090093 0.01957911 0.01924633 0.01998219 0.02034565 0.02040486 0.01970428 0.02050231 0.02048186 0.02075496 0.01958302 0.01935736 0.02042412 0.01984158 0.01959144 0.02048782 0.01966737 0.02053527 0.01960945 0.02039940 0.01963834 0.01984102 0.02045811 0.02033872 0.02041354 0.01961592 0.01958829 0.02099700 0.01964768 0.01952735 0.01956945 0.01959400 0.01953818 0.01989654 0.02059150 0.01955880 0.01958731 0.01953861 0 0.02047601 0.01979849 0.02035435 0.02036655 0.01955587 0.02033333 0.02038138 0.01952196 0.02042853 0.02022630 0.02049357 0.01990930 0.01912657 0.01961855 0.01964804 0.01930172 0.01990926 0.01993854 0.02037047 0.02048947 0.01986972 0.01952242 0.01955962 0.02047940 0.01952553 0.02117356 0.02041892 0.02047886 0.02051896 0.01962177 0.02049292 0.02012279 0.01968534 0.01996205 0.01987723 0.01999452 0.02006780 0.01952584 0.02047479 0.01962026 0.01963128 0.02046481 0.01946019 0.01970067 0.02075784 0.02097520 0.01958276 0.02042303 0.01976237 0.02052942 0.02040050 0.02050180 0.02042684 0.02008261 0.01983871 0.02050562 0.01954046 0.01964767 0.02044189 0.02136189 0.02024346 0.00000411 0.01964737 0.02040703 0.01954855 0.02045092 0.01953730 0.01952932 0.01955613 0.02033039 0.01939601 0.01963821
s_148 0.00001454 0.01863374 0.00046222 0.01866469 0.00072964 0.01794889 0.01791792 0.00002710 0.01792651 0.00001760 0.00003814 0.01830560 0.01814359 0.00003156 0.00003658 0.00002508 0.01872241 0.01995784 0.01910818 0.01786141 0.01793743 0.01825851 0.01954170 0.01897668 0.01976076 0.01822737 0.01814124 0.00045681 0.01790380 0.01795216 0.01812286 0.00003053 0.01950212 0.00003628 0.01950914 0.01864200 0.01794321 0.01798526 0.01792260 0.01846664 0.01793269 0.01788311 0.01951516 0.00002369 0.01802105 0.01936831 0.01942638 0.01862072 0.00003602 0.01793419 0.00002872 0.00072120 0.01809650 0.01957945 0.01816470 0.00002175 0.01951229 0.01797005 0.01753576 0.01835777 0.00004985 0.00005033 0.01792232 0.00002405 0.00002764 0.00008231 0.01770069 0.01760812 0.01938019 0.01825825 0.01796836 0.01847738 0.01804594 0.00002816 0.01784512 0.00004797 0.01865076 0.01812879 0.00001316 0.00046141 0.00004084 0.01784218 0.01803977 0.01968089 0.01790383 0.01793919 0.01769732 0.01795974 0.01791815 0.01813626 0.00003485 0.01792211 0.01796506 0.01790524 0.02047601 0 0.01888233 0.01879126 0.01819104 0.01793244 0.00046382 0.00004455 0.01799097 0.00003836 0.01816800 0.00003291 0.00003867 0.01723228 0.01862092 0.01864109 0.01751844 0.01830450 0.01819249 0.00002413 0.01952554 0.01825179 0.01783183 0.01793855 0.00001763 0.01790592 0.00010728 0.00004478 0.00002656 0.00003438 0.01783543 0.00002640 0.01622372 0.01815841 0.01878888 0.01838278 0.01885194 0.01836420 0.01795080 0.00002368 0.01798215 0.01836389 0.00002009 0.01782968 0.01841916 0.01958575 0.01976892 0.01789873 0.00004926 0.01846566 0.01948740 0.01874555 0.00001876 0.00004374 0.01883951 0.01837494 0.00002185 0.01791620 0.01786043 0.00003128 0.01957328 0.01943599 0.02040394 0.01811451 0.01933190 0.01792678 0.00004057 0.01791974 0.01792131 0.01800996 0.00046942 0.01786981 0.01788772
