G_20	s_263	s_194	s_252	s_201	s_245	s_228	s_341	s_274	G_18	s_205	s_222	s_248	s_226	s_231	G_31	G_22	s_261	s_215	s_296	s_240	s_224	G_33	s_326	s_208	s_336	s_343	s_219	s_257	s_279	s_237	s_196	s_183	G_2	G_27	s_321	s_304	s_246	G_14	s_286	s_288	s_269	s_241	G_10	s_265	G_5	s_282	s_323	s_192	G_16	s_239	s_344	s_220	s_243	s_203	s_250	s_187	G_25	s_297	s_330	s_184	G_21	s_299	s_338	s_329	s_254	s_349	s_233	s_209	G_28	s_300	s_313	s_188	s_308	G_19	s_347	s_216	G_17	s_229	s_314	s_195	G_9	G_12	s_275	s_218	G_4	s_202	s_253	s_225	s_337	s_227	s_214	s_291	s_339	s_346	s_273	s_260	s_249	s_221	s_191	s_311	s_185	G_32	s_293	s_332	s_280	s_284	s_320	s_236	G_36	G_34	G_23	s_306	s_316	s_223	s_262	s_322	s_325	s_287	s_328	G_7	s_256	s_350	s_230	s_207	s_310	G_8	s_234	s_303	s_258	G_35	s_242	s_281	s_324	G_1	G_26	G_11	s_204	s_307	s_295	s_305	s_298	G_15	s_217	s_251	s_264	s_285	s_315	s_193	s_255	G_6	s_289	G_30	s_266	G_29	s_302	s_235	G_3	s_290	s_211	s_206	s_232	s_210	s_292	s_186	G_24	s_348	s_238	s_270	G_13	s_340
G_17 0.00242537 0.01776863 0.01765702 0.01840077 0.01939649 0.00032818 0.01716622 0.01758642 0.02002758 0.00013784 0.01818869 0.01734602 0.01731462 0.01730676 0.01707509 0.00011931 0.00014458 0.00031627 0.01727637 0.01751310 0.01726141 0.01718520 0.00009073 0.00028996 0.01713874 0.01998102 0.01781917 0.01737066 0.01849947 0.00029478 0.00029439 0.00245080 0.01724289 0.00350770 0.00011410 0.01680976 0.01730744 0.00032140 0.00016435 0.01767845 0.01787719 0.01761928 0.01718714 0.01838548 0.01772556 0.00011496 0.01771652 0.01555266 0.01718557 0.00016488 0.01720547 0.00029236 0.01729963 0.01718559 0.01808942 0.02027020 0.01725736 0.00014202 0.01822144 0.01806876 0.01731532 0.00017323 0.01754288 0.01708228 0.01726294 0.01738171 0.01837520 0.00032606 0.01735860 0.00014903 0.01764606 0.01718612 0.01761749 0.00033893 0.00013481 0.00151985 0.01732659 0 0.01706912 0.00029993 0.01778749 0.00013315 0.00015609 0.01985384 0.01769956 0.00011329 0.01935122 0.00030748 0.01725831 0.01984803 0.01732217 0.01738251 0.00032621 0.01706053 0.01805142 0.01755217 0.00032085 0.01800229 0.00034953 0.01725856 0.01728369 0.01730850 0.00017593 0.00031766 0.01728079 0.00030992 0.01761606 0.01567790 0.00029139 0.00028890 0.00019590 0.00011978 0.00030467 0.02076381 0.01701078 0.02027024 0.01753744 0.01769287 0.01758533 0.01837389 0.00011989 0.00033497 0.01833551 0.01704975 0.01725446 0.00029005 0.00012389 0.00033205 0.01734796 0.01676726 0.00017237 0.01735259 0.01814605 0.01831003 0.00375089 0.00010737 0.00360700 0.01825571 0.01865441 0.01794649 0.01698958 0.01885091 0.00011773 0.01728030 0.02028590 0.01770656 0.01762304 0.01789013 0.01705406 0.01742139 0.00020049 0.01816929 0.00013619 0.01742464 0.00013718 0.01778048 0.00029384 0.01838758 0.01893357 0.01710511 0.01815828 0.00029866 0.01731554 0.00033954 0.01733276 0.00012814 0.01738765 0.00029603 0.01762810 0.00012730 0.01734879
s_229 0.01782583 0.00130784 0.01700492 0.01763920 0.01987166 0.01709492 0.00017402 0.01781492 0.01962365 0.01710518 0.01822234 0.00089613 0.00088022 0.00082206 0.00010755 0.01711770 0.01726391 0.01710002 0.00052976 0.00074963 0.00081277 0.00081876 0.01709820 0.01703544 0.00053573 0.02005885 0.01782833 0.00062315 0.01723199 0.01692268 0.01695678 0.01725725 0.00052856 0.01756228 0.01700248 0.00139079 0.00080570 0.01695411 0.01736904 0.01744268 0.01840520 0.01791190 0.00080903 0.01849167 0.00127081 0.01709581 0.01872286 0.00053311 0.00057841 0.01753321 0.00080738 0.01706352 0.00086676 0.00080584 0.01810498 0.01986385 0.00053423 0.01710827 0.01869642 0.01836299 0.00056266 0.01716874 0.00107923 0.00052954 0.01738405 0.00086569 0.01721871 0.01703326 0.00051899 0.01721892 0.00106230 0.01834848 0.01708464 0.01710981 0.01744296 0.01734349 0.00057472 0.01706912 0 0.01705920 0.01718457 0.01709618 0.01740817 0.01959922 0.01677217 0.01709420 0.01988362 0.01702992 0.00081147 0.01960474 0.00085277 0.00050713 0.01704333 0.00055314 0.01789402 0.01782510 0.01707516 0.01690372 0.01691202 0.00052827 0.00082700 0.00053114 0.01737261 0.01710708 0.00055638 0.01708103 0.01741940 0.01675323 0.01699344 0.01720943 0.01711659 0.01705353 0.01704912 0.02034873 0.00081271 0.01949281 0.01803778 0.01835089 0.01745317 0.01864810 0.01709137 0.01703888 0.01724463 0.00026886 0.00053349 0.01695603 0.01741178 0.01705853 0.00086462 0.01680265 0.01711318 0.00081699 0.01878167 0.01845791 0.01752280 0.01702592 0.01745705 0.01834832 0.01909489 0.01859489 0.00010394 0.01928459 0.01707958 0.00052598 0.01989002 0.00126466 0.01742922 0.01675302 0.00053942 0.00091076 0.01753997 0.01848769 0.01713553 0.01799107 0.01708058 0.01721691 0.01701452 0.01848762 0.01835712 0.00053689 0.01836076 0.01692770 0.00055300 0.01698852 0.00053603 0.01739688 0.01718564 0.01698000 0.01798566 0.01708787 0.00054298
s_314 0.00254818 0.01769767 0.01759171 0.01846246 0.01935479 0.00008500 0.01718504 0.01804358 0.01988731 0.00031301 0.01814895 0.01733931 0.01730487 0.01729159 0.01705802 0.00031477 0.00032433 0.00007494 0.01719090 0.01753351 0.01729413 0.01722341 0.00029810 0.00004602 0.01730396 0.02024878 0.01811646 0.01740987 0.01842100 0.00005899 0.00005429 0.00265778 0.01724516 0.00335617 0.00031209 0.01644023 0.01733916 0.00008414 0.00034000 0.01762708 0.01764235 0.01739776 0.01716138 0.01781917 0.01779418 0.00033149 0.01767122 0.01701154 0.01718412 0.00034095 0.01716496 0.00005530 0.01748211 0.01721952 0.01762020 0.01994781 0.01723305 0.00034116 0.01785312 0.01786197 0.01739786 0.00037345 0.01736613 0.01725200 0.01761654 0.01739573 0.01828725 0.00009295 0.01737595 0.00033267 0.01753246 0.01719045 0.01725582 0.00010649 0.00033277 0.00163391 0.01738795 0.00029993 0.01705920 0 0.01774124 0.00031329 0.00030400 0.01966427 0.01728561 0.00032240 0.01927815 0.00007526 0.01723977 0.01978869 0.01731278 0.01737400 0.00009118 0.01724857 0.01808072 0.01737240 0.00008256 0.01785029 0.00014881 0.01724299 0.01731970 0.01728356 0.00034573 0.00009029 0.01736254 0.00005771 0.01761445 0.01749756 0.00005414 0.00051995 0.00039865 0.00030184 0.00007614 0.02091790 0.01704461 0.02018886 0.01759218 0.01823310 0.01760429 0.01831038 0.00032042 0.00009823 0.01829396 0.01717547 0.01719314 0.00005230 0.00029069 0.00009353 0.01753654 0.01671313 0.00034735 0.01738672 0.01803099 0.01820649 0.00362569 0.00030028 0.00341469 0.01781740 0.01821976 0.01800740 0.01700085 0.01874813 0.00031029 0.01735438 0.02005094 0.01766885 0.01762025 0.01786301 0.01711945 0.01747501 0.00038702 0.01787809 0.00032833 0.01755524 0.00034658 0.01749379 0.00005153 0.01795920 0.01878861 0.01712440 0.01804830 0.00006477 0.01735766 0.00010630 0.01730890 0.00030971 0.01754563 0.00005482 0.01748406 0.00030381 0.01729067
s_195 0.01818428 0.01803154 0.00005874 0.00976146 0.01957571 0.01766241 0.01727222 0.01855192 0.01915229 0.01783692 0.01785955 0.01738005 0.01748849 0.01741328 0.01721605 0.01779401 0.01797884 0.01775692 0.01732822 0.01750177 0.01733151 0.01744335 0.01781146 0.01770546 0.01733126 0.01953097 0.01862300 0.01736603 0.01174264 0.01775636 0.01761053 0.01779634 0.01761567 0.01796136 0.01787599 0.01711850 0.01744838 0.01761057 0.01789789 0.01753503 0.01787045 0.01772891 0.01729038 0.01871777 0.01788930 0.01780645 0.01917817 0.01746385 0.01748166 0.01796808 0.01740198 0.01773691 0.01741447 0.01730019 0.01742417 0.01379592 0.01750883 0.01788419 0.01748730 0.01785336 0.01759970 0.01788689 0.01749526 0.01746460 0.01738761 0.01741924 0.01109112 0.01765560 0.01748710 0.01786928 0.01772889 0.01765060 0.00006553 0.01779867 0.01792511 0.01802999 0.01734767 0.01778749 0.01718457 0.01774124 0 0.01784457 0.01787864 0.01915547 0.00979561 0.01784980 0.01963804 0.01762963 0.01735261 0.01918186 0.01740095 0.01740198 0.01777621 0.01741730 0.01858834 0.01171916 0.01766066 0.01161451 0.01757414 0.01749411 0.01735637 0.01752935 0.01797543 0.01773977 0.01737913 0.01772466 0.01750518 0.00999940 0.01760456 0.01787684 0.01789965 0.01779856 0.01777330 0.01428604 0.01722262 0.01962194 0.01782721 0.01921751 0.01749136 0.01930626 0.01782600 0.01766656 0.01112067 0.01731485 0.01733493 0.01757920 0.01800865 0.01771175 0.01743189 0.00996533 0.01796839 0.01732032 0.01923195 0.01208818 0.01795183 0.01787026 0.01792978 0.01741035 0.01804641 0.01874703 0.01733289 0.01876169 0.01786857 0.01732054 0.01375977 0.01795320 0.01755024 0.01097818 0.01753131 0.01756391 0.01796766 0.01788434 0.01783280 0.01765936 0.01802044 0.01000447 0.01755454 0.01876013 0.01927098 0.01724355 0.01789070 0.01744288 0.01738563 0.01769838 0.01757396 0.01789932 0.00005598 0.01760225 0.01758495 0.01781543 0.01748687
G_9 0.00239913 0.01779805 0.01771522 0.01854485 0.01943249 0.00034094 0.01725046 0.01770940 0.02005708 0.00013040 0.01824160 0.01736105 0.01741017 0.01730197 0.01708376 0.00013356 0.00014545 0.00032930 0.01721486 0.01760393 0.01735650 0.01718952 0.00011409 0.00030244 0.01723677 0.02002613 0.01794399 0.01746663 0.01855636 0.00030885 0.00030262 0.00243868 0.01728240 0.00354428 0.00013987 0.01685501 0.01740255 0.00033463 0.00016612 0.01772630 0.01793891 0.01770001 0.01720394 0.01832184 0.01791721 0.00014053 0.01773691 0.01542027 0.01727096 0.00017156 0.01720377 0.00030488 0.01741726 0.01720342 0.01811206 0.02021075 0.01733434 0.00015722 0.01823330 0.01809448 0.01740461 0.00017163 0.01754701 0.01712334 0.01729672 0.01739935 0.01846470 0.00033881 0.01737769 0.00015454 0.01769980 0.01722506 0.01767208 0.00035507 0.00013860 0.00152286 0.01732780 0.00013315 0.01709618 0.00031329 0.01784457 0 0.00012509 0.01982309 0.01782329 0.00013460 0.01936987 0.00031990 0.01725632 0.01963935 0.01734749 0.01739564 0.00034133 0.01708895 0.01813358 0.01760034 0.00033295 0.01804480 0.00036008 0.01727329 0.01738391 0.01734479 0.00016439 0.00033498 0.01729510 0.00032344 0.01766294 0.01568676 0.00030398 0.00029297 0.00019326 0.00012887 0.00031933 0.02084039 0.01704734 0.02026922 0.01778633 0.01769969 0.01761784 0.01841431 0.00013268 0.00034909 0.01842027 0.01712260 0.01730855 0.00030327 0.00011290 0.00035380 0.01743434 0.01679864 0.00019482 0.01743681 0.01816785 0.01836036 0.00383067 0.00012014 0.00356123 0.01827188 0.01868583 0.01791647 0.01700585 0.01887924 0.00014569 0.01736428 0.02029292 0.01773999 0.01766316 0.01786366 0.01723975 0.01743933 0.00019287 0.01814794 0.00013357 0.01769572 0.00014448 0.01786483 0.00030182 0.01833465 0.01896731 0.01731492 0.01819993 0.00030641 0.01741812 0.00035914 0.01742089 0.00012572 0.01748867 0.00030429 0.01769291 0.00011492 0.01736820
G_12 0.00269753 0.01789479 0.01775219 0.01839953 0.01937968 0.00033636 0.01757260 0.01799277 0.01994057 0.00016516 0.01823387 0.01760546 0.01762480 0.01756628 0.01741977 0.00011875 0.00015760 0.00032518 0.01746396 0.01782025 0.01758505 0.01744688 0.00010720 0.00029905 0.01762927 0.01988336 0.01824837 0.01765263 0.01838338 0.00029770 0.00029888 0.00249128 0.01752122 0.00370735 0.00014928 0.01691588 0.01760519 0.00033159 0.00013214 0.01781410 0.01761969 0.01771580 0.01743937 0.01856811 0.01799265 0.00013257 0.01773592 0.01559637 0.01748855 0.00013981 0.01746203 0.00032312 0.01764912 0.01744697 0.01778157 0.02008135 0.01745451 0.00016643 0.01790312 0.01797731 0.01763087 0.00014117 0.01781564 0.01735334 0.01739540 0.01765018 0.01829162 0.00036149 0.01762144 0.00017562 0.01786812 0.01726357 0.01770682 0.00037238 0.00012570 0.00155134 0.01758813 0.00015609 0.01740817 0.00030400 0.01787864 0.00012509 0 0.01977085 0.01759586 0.00010239 0.01941742 0.00031700 0.01750090 0.01967649 0.01760153 0.01763530 0.00033104 0.01731812 0.01843084 0.01743012 0.00032890 0.01785192 0.00043284 0.01751242 0.01759771 0.01755472 0.00013297 0.00032471 0.01753712 0.00031436 0.01775171 0.01571735 0.00029454 0.00033579 0.00022687 0.00011301 0.00033664 0.02044317 0.01728183 0.02030095 0.01780499 0.01768933 0.01771834 0.01844878 0.00011914 0.00033924 0.01827155 0.01745163 0.01752513 0.00029906 0.00010037 0.00037288 0.01768086 0.01680107 0.00019873 0.01767601 0.01805772 0.01818036 0.00396643 0.00010960 0.00372889 0.01794791 0.01845669 0.01800128 0.01734260 0.01891198 0.00012230 0.01759301 0.02018170 0.01782226 0.01775093 0.01775313 0.01745934 0.01767683 0.00021109 0.01799946 0.00011563 0.01768762 0.00012319 0.01767575 0.00029859 0.01850515 0.01903274 0.01751595 0.01822600 0.00032400 0.01761973 0.00034725 0.01761111 0.00009881 0.01746387 0.00029381 0.01771816 0.00010253 0.01760850
s_275 0.02027359 0.02027114 0.01907460 0.02001433 0.02195801 0.02004442 0.01978747 0.02036725 0.00095230 0.01984056 0.00481238 0.02006327 0.02003361 0.01997997 0.01964135 0.01986939 0.02009001 0.02012378 0.01995836 0.01968069 0.02000751 0.02005575 0.01989844 0.01981088 0.02007150 0.00127499 0.02045476 0.02005125 0.01953706 0.01983404 0.01981119 0.01996841 0.02003333 0.01975251 0.01984209 0.01876927 0.01956695 0.01988434 0.01996005 0.01093050 0.01324991 0.02035340 0.01985350 0.02111596 0.02026452 0.01991826 0.02034339 0.01922128 0.01989584 0.02005353 0.01995975 0.01989000 0.02004188 0.01976792 0.01284553 0.01759267 0.02001629 0.01986377 0.01294805 0.01323673 0.02015807 0.01995896 0.01975259 0.01940642 0.01073482 0.02019655 0.01902684 0.02005396 0.01997953 0.02008699 0.01986296 0.00732227 0.01897833 0.01994259 0.01977937 0.01979039 0.01999540 0.01985384 0.01959922 0.01966427 0.01915547 0.01982309 0.01977085 0 0.01827350 0.01989839 0.02195214 0.01974173 0.01994705 0.00095350 0.01999052 0.02004004 0.01986771 0.01958921 0.02054980 0.01999034 0.01997926 0.01925650 0.01979183 0.01995156 0.01957022 0.01996778 0.01995468 0.01982840 0.01950857 0.01983127 0.01100950 0.01880667 0.01998531 0.02008518 0.02001639 0.01986785 0.01990040 0.01764497 0.01990764 0.00924743 0.01990509 0.02030632 0.01098738 0.02021787 0.01983826 0.01992863 0.01901902 0.01965030 0.01997920 0.01972484 0.02014006 0.02007085 0.01956722 0.01827198 0.01991956 0.02009203 0.02033100 0.02030771 0.01976323 0.01983774 0.01950981 0.01284723 0.01343158 0.01998077 0.01936320 0.00555824 0.01987554 0.01996821 0.01743326 0.02011990 0.01097197 0.01876039 0.01981430 0.02015254 0.02013079 0.01328784 0.01986707 0.02033526 0.01996500 0.01843543 0.01985405 0.02114357 0.02111888 0.01980830 0.00491809 0.01989872 0.02010612 0.01975380 0.02009460 0.01993401 0.01883161 0.01999511 0.02036095 0.01985964 0.01958156
s_218 0.01820475 0.01717262 0.00977302 0.00974053 0.01899919 0.01734345 0.01682754 0.01812099 0.01828100 0.01752428 0.01713431 0.01663154 0.01674641 0.01663584 0.01688437 0.01776810 0.01789132 0.01743182 0.01699761 0.01697134 0.01673714 0.01667589 0.01777868 0.01733187 0.01711474 0.01881613 0.01820601 0.01654356 0.00737756 0.01742688 0.01751118 0.01887865 0.01709050 0.01757550 0.01771564 0.01604821 0.01679526 0.01725561 0.01795866 0.01644912 0.01695114 0.01751020 0.01673470 0.01855377 0.01734698 0.01775463 0.01864439 0.01672251 0.01709922 0.01793109 0.01665072 0.01813464 0.01664967 0.01650834 0.01622502 0.01211462 0.01697790 0.01751869 0.01628239 0.01696913 0.01716531 0.01783234 0.01707575 0.01683654 0.01634782 0.01666630 0.00844481 0.01794369 0.01707007 0.01787709 0.01715687 0.01764569 0.00981196 0.01815725 0.01769596 0.01813511 0.01709811 0.01769956 0.01677217 0.01728561 0.00979561 0.01782329 0.01759586 0.01827350 0 0.01779184 0.01896377 0.01749663 0.01661778 0.01828986 0.01664384 0.01713178 0.01746945 0.01678604 0.01826208 0.01011499 0.01737085 0.00711420 0.01792230 0.01697840 0.01680906 0.01701320 0.01794732 0.01735856 0.01678888 0.01746838 0.01641332 0.00781567 0.01751424 0.01797432 0.01794598 0.01774416 0.01805864 0.01242704 0.01672486 0.01799439 0.01764531 0.01868004 0.01647034 0.01874113 0.01772257 0.01738575 0.00842145 0.01670451 0.01701871 0.01755020 0.01793844 0.01796132 0.01683961 0.00785664 0.01752696 0.01674506 0.01870551 0.01079098 0.01764120 0.01770941 0.01756205 0.01624465 0.01673498 0.01851807 0.01696585 0.01784866 0.01780853 0.01699930 0.01188138 0.01731999 0.01644790 0.00693898 0.01707729 0.01665990 0.01790059 0.01693909 0.01784871 0.01746139 0.01785828 0.00024952 0.01757756 0.01852281 0.01845775 0.01695802 0.01704880 0.01790727 0.01714231 0.01735011 0.01712736 0.01787265 0.00946345 0.01761282 0.01749459 0.01772574 0.01682920
G_4 0.00238772 0.01783439 0.01771055 0.01858778 0.01938430 0.00034896 0.01720659 0.01759512 0.02007498 0.00013458 0.01822503 0.01737949 0.01732559 0.01733684 0.01711140 0.00010422 0.00013513 0.00033820 0.01725055 0.01757776 0.01726494 0.01723927 0.00009510 0.00031178 0.01729933 0.01998486 0.01783178 0.01734853 0.01862844 0.00031664 0.00031000 0.00239026 0.01729235 0.00352396 0.00012102 0.01683885 0.01730503 0.00034345 0.00014589 0.01774283 0.01791818 0.01762253 0.01722877 0.01826336 0.01756663 0.00014104 0.01767685 0.01529517 0.01717254 0.00016038 0.01724031 0.00031420 0.01740251 0.01725153 0.01814208 0.02037154 0.01722288 0.00013112 0.01827554 0.01811094 0.01739997 0.00017858 0.01758060 0.01715623 0.01732467 0.01743905 0.01847774 0.00034578 0.01741799 0.00014395 0.01764428 0.01724861 0.01766441 0.00035607 0.00016954 0.00148988 0.01737855 0.00011329 0.01709420 0.00032240 0.01784980 0.00013460 0.00010239 0.01989839 0.01779184 0 0.01937039 0.00032824 0.01729393 0.01986522 0.01737775 0.01741599 0.00034733 0.01711648 0.01811267 0.01758036 0.00034247 0.01809791 0.00037571 0.01727616 0.01731172 0.01733246 0.00013950 0.00034429 0.01735245 0.00033132 0.01767027 0.01571590 0.00031266 0.00031535 0.00019987 0.00010755 0.00032863 0.02081715 0.01708901 0.02032535 0.01760703 0.01768168 0.01762438 0.01830955 0.00011068 0.00035975 0.01845223 0.01708907 0.01720877 0.00031186 0.00009981 0.00036686 0.01742673 0.01677884 0.00017160 0.01735070 0.01815399 0.01827890 0.00382603 0.00011303 0.00358129 0.01828434 0.01872462 0.01789877 0.01706448 0.01884979 0.00012032 0.01733796 0.02038777 0.01765111 0.01767266 0.01792299 0.01712363 0.01749836 0.00019590 0.01817526 0.00014499 0.01762950 0.00012545 0.01790737 0.00031024 0.01824757 0.01889727 0.01710721 0.01818294 0.00031502 0.01733142 0.00034845 0.01731980 0.00011753 0.01744154 0.00030780 0.01761059 0.00010675 0.01741942
s_202 0.01978368 0.01990802 0.01944619 0.01971175 0.00010123 0.01923313 0.01998757 0.01981825 0.02185765 0.01974508 0.02052522 0.02011405 0.02012831 0.01993698 0.02002558 0.01939372 0.01978512 0.01936363 0.02022289 0.02028435 0.02005695 0.02009425 0.01941230 0.01929347 0.02016270 0.02243290 0.01990512 0.02013136 0.01919236 0.01941815 0.01908396 0.02039607 0.02033567 0.01960083 0.01932104 0.01863912 0.02025393 0.01926691 0.01950500 0.01946678 0.02006777 0.01917090 0.01996359 0.02008140 0.01985758 0.01944663 0.02061690 0.02004792 0.02027141 0.01953038 0.01999264 0.01941717 0.02009681 0.01997315 0.01990864 0.02153771 0.02036804 0.01967776 0.02010914 0.02009676 0.02033561 0.01952613 0.02050804 0.02022057 0.01933449 0.02005020 0.01935149 0.01908737 0.02016142 0.01972879 0.01999955 0.02042708 0.01944086 0.01925998 0.01948515 0.01944317 0.02014667 0.01935122 0.01988362 0.01927815 0.01963804 0.01936987 0.01941742 0.02195214 0.01896377 0.01937039 0 0.01917277 0.02005371 0.02201317 0.02003208 0.02002752 0.01929183 0.02020723 0.01985041 0.01958611 0.01938450 0.01892599 0.01928656 0.02031198 0.02014371 0.02032898 0.01938444 0.01940590 0.02026877 0.01941591 0.01939476 0.01899783 0.01915749 0.01972576 0.01971535 0.01937305 0.01929572 0.02211002 0.01995440 0.02098114 0.01931856 0.02047877 0.01933138 0.02035382 0.01936631 0.01928392 0.01937223 0.01989794 0.02011843 0.01927309 0.01972770 0.01920431 0.02010017 0.01914740 0.01979369 0.02009288 0.02052010 0.02015815 0.01940431 0.01927321 0.01957005 0.02004055 0.01996547 0.02051064 0.02011221 0.02125352 0.01944739 0.02017678 0.02138044 0.01975815 0.01947536 0.01875957 0.02014760 0.02014815 0.01973758 0.02015560 0.01942505 0.01923037 0.01946417 0.01912875 0.01922157 0.02002289 0.00008446 0.02007103 0.02032810 0.01917613 0.02018653 0.01932963 0.02031127 0.01950205 0.01927985 0.01912802 0.01928935 0.01940096 0.02022745
s_253 0.00252970 0.01775856 0.01738732 0.01843709 0.01927647 0.00013412 0.01711850 0.01802313 0.01977223 0.00032263 0.01799862 0.01726099 0.01730974 0.01718530 0.01700544 0.00032265 0.00033667 0.00010995 0.01711955 0.01743273 0.01726423 0.01716357 0.00030668 0.00006921 0.01726823 0.02016456 0.01807528 0.01739391 0.01822798 0.00008342 0.00007188 0.00264839 0.01719754 0.00335166 0.00031354 0.01661785 0.01728644 0.00013142 0.00034772 0.01756682 0.01783322 0.01710351 0.01708379 0.01786711 0.01772205 0.00033071 0.01800992 0.01704484 0.01716267 0.00034948 0.01710264 0.00008415 0.01733313 0.01712283 0.01778709 0.02022908 0.01709882 0.00034841 0.01804711 0.01779209 0.01729568 0.00038675 0.01727241 0.01715325 0.01749271 0.01717339 0.01822406 0.00011696 0.01727399 0.00034090 0.01774478 0.01765894 0.01731230 0.00013416 0.00033865 0.00160662 0.01729310 0.00030748 0.01702992 0.00007526 0.01762963 0.00031990 0.00031700 0.01974173 0.01749663 0.00032824 0.01917277 0 0.01716976 0.01979179 0.01727170 0.01727007 0.00012033 0.01728725 0.01816640 0.01746585 0.00012221 0.01775512 0.00016394 0.01719012 0.01714635 0.01719979 0.00035554 0.00012119 0.01729296 0.00008394 0.01748041 0.01722133 0.00007177 0.00050495 0.00038597 0.00030967 0.00010212 0.02086106 0.01698909 0.01962338 0.01740582 0.01803739 0.01752642 0.01827316 0.00032602 0.00013813 0.01821638 0.01689911 0.01716951 0.00006735 0.00029951 0.00013865 0.01729396 0.01738350 0.00034487 0.01735088 0.01800202 0.01831403 0.00363792 0.00030785 0.00340173 0.01800783 0.01857530 0.01776423 0.01725105 0.01875986 0.00031894 0.01719487 0.02036631 0.01746409 0.01752856 0.01786341 0.01711236 0.01728629 0.00037296 0.01790420 0.00033445 0.01726153 0.00035487 0.01771288 0.00006684 0.01776723 0.01888431 0.01713507 0.01799505 0.00009334 0.01730570 0.00013951 0.01732255 0.00031734 0.01738349 0.00007548 0.01725300 0.00031190 0.01733219
s_225 0.01802800 0.00117221 0.01710052 0.01799370 0.02000510 0.01718787 0.00079857 0.01792711 0.01998507 0.01764440 0.01854752 0.00011266 0.00009795 0.00004632 0.00078219 0.01728007 0.01772203 0.01723419 0.00005576 0.00027614 0.00004300 0.00005032 0.01730235 0.01723289 0.00005845 0.02046745 0.01797504 0.00012753 0.01725590 0.01724416 0.01710919 0.01747852 0.00005663 0.01793534 0.01722147 0.00134441 0.00005985 0.01710024 0.01753960 0.01757780 0.01849905 0.01797967 0.00004455 0.01885172 0.00115678 0.01730630 0.01895612 0.00006485 0.00009856 0.01759441 0.00004610 0.01726365 0.00005315 0.00004532 0.01842302 0.01995535 0.00006046 0.01766279 0.01891802 0.01858258 0.00007180 0.01744051 0.00056142 0.00006724 0.01746592 0.00010712 0.01712684 0.01728153 0.00006094 0.01770932 0.00060068 0.01849138 0.01723343 0.01735098 0.01752844 0.01751552 0.00010169 0.01725831 0.00081147 0.01723977 0.01735261 0.01725632 0.01750090 0.01994705 0.01661778 0.01729393 0.02005371 0.01716976 0 0.02006037 0.00006886 0.00006275 0.01720636 0.00007896 0.01793443 0.01832798 0.01725580 0.01696752 0.01704633 0.00005773 0.00005025 0.00005934 0.01751615 0.01721814 0.00009178 0.01724921 0.01755067 0.01704018 0.01711927 0.01767223 0.01759369 0.01726222 0.01731203 0.02044374 0.00004689 0.01963345 0.01824080 0.01883754 0.01755778 0.01888761 0.01724747 0.01717142 0.01719914 0.00087031 0.00006355 0.01712705 0.01778304 0.01718408 0.00010158 0.01696270 0.01771727 0.00004300 0.01904570 0.01892156 0.01773552 0.01720047 0.01779664 0.01858307 0.01920647 0.01877322 0.00077813 0.01980344 0.01730206 0.00005883 0.01989290 0.00116669 0.01750297 0.01675059 0.00007550 0.00013093 0.01780259 0.01863273 0.01731475 0.01800957 0.01735165 0.01717411 0.01716559 0.01886758 0.01928063 0.00005456 0.01862535 0.01714135 0.00006669 0.01715875 0.00005989 0.01745869 0.01733302 0.01712523 0.01811110 0.01727915 0.00007533
