	Acinetobacter_lwoffii_N199_BC07	Acinetobacter_pittii_N104_BC09	Acinetobacter_pittii_N214_BC03	Aerococcus_viridans_N127_BC12	Bacillus_cereus_N128_BC08	Bacillus_cereus_N204_BC03	Bacillus_thuringiensis_N101_BC05	Bacillus_thuringiensis_N118_BC06	Bacillus_thuringiensis_N128_BC08	Bacillus_thuringiensis_N162_BC02	Bacillus_thuringiensis_N183_BC12	Bacillus_thuringiensis_N219_BC01	Bacillus_thuringiensis_N221_BC09	Bacillus_thuringiensis_N236_BC05	Bacillus_thuringiensis_N238_BC12	Burkholderia_cenocepacia_N139_BC07	Burkholderia_cenocepacia_N209_BC12	Burkholderia_contaminans_N151_BC06	Burkholderia_lata_N104_BC06	Burkholderia_lata_N127_BC08	Burkholderia_lata_N127_BC10	Burkholderia_lata_N139_BC07	Burkholderia_lata_N139_BC08	Burkholderia_lata_N150_BC11	Burkholderia_lata_N151_BC06	Burkholderia_lata_N200_BC05	Candida_albicans_N235_BC07	Candida_dubliniensis_N235_BC07	Candida_dubliniensis_N239_BC02	Chromobacterium_vaccinii_N175_BC04	Chromobacterium_vaccinii_N183_BC04	Chromobacterium_vaccinii_N187_BC02	Chromobacterium_vaccinii_N196_BC09	Chromobacterium_vaccinii_N208_BC01	Chromobacterium_vaccinii_N227_BC02	Chromobacterium_vaccinii_N228_BC06	Chromobacterium_violaceum_N196_BC11	Chromobacterium_violaceum_N221_BC06	Comamonas_testosteroni_N114_BC09	Corynebacterium_striatum_N230_BC07	Elizabethkingia_anophelis_N109_BC09	Elizabethkingia_anophelis_N167_BC01	Elizabethkingia_anophelis_N221_BC03	Elizabethkingia_genomosp._N155_BC09	Elizabethkingia_genomosp._N221_BC03	Elizabethkingia_miricola_N109_BC06	Elizabethkingia_miricola_N109_BC10	Elizabethkingia_miricola_N138_BC07	Elizabethkingia_miricola_N161_BC04	Elizabethkingia_miricola_N161_BC05	Elizabethkingia_miricola_N161_BC06	Elizabethkingia_miricola_N167_BC02	Elizabethkingia_miricola_N167_BC04	Elizabethkingia_miricola_N171_BC04	Elizabethkingia_miricola_N194_BC10	Elizabethkingia_miricola_N217_BC08	Elizabethkingia_miricola_N239_BC03	Enterococcus_sp._N233_BC08	Lysinibacillus_sp._N170_BC01	Lysinibacillus_sp._N220_BC01	Lysinibacillus_sp._N234_BC11	Macrococcus_sp._N125_BC08	Paenibacillus_sp._N132_BC08	Paenibacillus_sp._N143_BC11	Paenibacillus_sp._N173_BC04	Paenibacillus_sp._N190_BC10	Paenibacillus_sp._N198_BC04	Paenibacillus_sp._N220_BC06	Paenibacillus_xylanexedens_N101_BC06	Paenibacillus_xylanexedens_N195_BC10	Pantoea_rwandensis_N156_BC03	Plautia_stali_N105_BC01	Pseudomonas_oryzihabitans_N112_BC11	Pseudomonas_putida_N188_BC01	Pseudomonas_putida_N192_BC11	Pseudomonas_putida_N198_BC03	Pseudomonas_putida_N227_BC03	Pseudomonas_resinovorans_N133_BC12	Pseudomonas_sp._N104_BC04	Sphingomonas_sp._N156_BC01	Sphingomonas_sp._N156_BC02	Sphingomonas_sp._N162_BC07	Sphingomonas_sp._N182_BC07	Sphingomonas_sp._N182_BC08	Sphingomonas_sp._N215_BC02	Sphingomonas_sp._N216_BC07	Sphingomonas_sp._N223_BC05	Staphylococcus_capitis_N103_BC08	Staphylococcus_capitis_N108_BC10	Staphylococcus_capitis_N113_BC01	Staphylococcus_capitis_N113_BC02	Staphylococcus_capitis_N113_BC03	Staphylococcus_capitis_N114_BC03	Staphylococcus_capitis_N116_BC10	Staphylococcus_capitis_N121_BC07	Staphylococcus_capitis_N125_BC06	Staphylococcus_capitis_N125_BC07	Staphylococcus_capitis_N125_BC08	Staphylococcus_capitis_N128_BC08	Staphylococcus_capitis_N128_BC10	Staphylococcus_capitis_N128_BC11	Staphylococcus_capitis_N131_BC08	Staphylococcus_capitis_N131_BC09	Staphylococcus_capitis_N131_BC10	Staphylococcus_capitis_N135_BC02	Staphylococcus_capitis_N135_BC03	Staphylococcus_capitis_N136_BC10	Staphylococcus_capitis_N140_BC11	Staphylococcus_capitis_N154_BC02	Staphylococcus_capitis_N165_BC06	Staphylococcus_capitis_N169_BC03	Staphylococcus_capitis_N176_BC05	Staphylococcus_capitis_N176_BC06	Staphylococcus_capitis_N178_BC01	Staphylococcus_capitis_N181_BC06	Staphylococcus_capitis_N188_BC05	Staphylococcus_capitis_N200_BC09	Staphylococcus_capitis_N202_BC02	Staphylococcus_capitis_N203_BC06	Staphylococcus_capitis_N209_BC03	Staphylococcus_capitis_N210_BC05	Staphylococcus_capitis_N212_BC03	Staphylococcus_capitis_N217_BC06	Staphylococcus_capitis_N218_BC02	Staphylococcus_capitis_N220_BC11	Staphylococcus_capitis_N221_BC07	Staphylococcus_capitis_N225_BC11	Staphylococcus_capitis_N233_BC04	Staphylococcus_capitis_N235_BC02	Staphylococcus_capitis_N237_BC11	Staphylococcus_capitis_N238_BC04	Staphylococcus_cohnii_N101_BC08	Staphylococcus_cohnii_N129_BC02	Staphylococcus_kloosii_N232_BC10	Staphylococcus_piscifermentans_N233_BC03	Staphylococcus_succinus_N168_BC08	Staphylococcus_succinus_N176_BC09	Staphylococcus_succinus_N176_BC11	Staphylococcus_succinus_N176_BC12	Staphylococcus_succinus_N202_BC08	Staphylococcus_succinus_N225_BC07	Stenotrophomonas_maltophilia_N116_BC12	Stenotrophomonas_maltophilia_N117_BC02	Stenotrophomonas_maltophilia_N131_BC06	Stenotrophomonas_maltophilia_N178_BC12	Stenotrophomonas_maltophilia_N188_BC07	Stenotrophomonas_maltophilia_N188_BC09	Stenotrophomonas_maltophilia_N188_BC10	Stenotrophomonas_maltophilia_N201_BC07	Stenotrophomonas_maltophilia_N203_BC03	Stenotrophomonas_maltophilia_N216_BC11	Stenotrophomonas_maltophilia_N228_BC08	Streptococcus_salivarius_N174_BC07	
Pseudomonas_sp._N104_BC04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.35328	0.405585	1.0	0.339586	0.372583	0.372583	0.372583	0.405585	0.35328	0.372583	1.0	1.0	1.0	0.339586	0.312952	0.312952	0.306598	0.328965	0.312952	0.35328	0.320287	0.312952	0.339586	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	0.405585	0.254359	0.175506	0.15399	0.175878	0.177011	0.212502	0	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	1.0	0.372583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.312952	0.320287	0.320287	0.35328	0.328965	0.339586	0.328965	0.339586	0.339586	0.339586	0.328965	1.0	
Sphingomonas_sp._N156_BC01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.320287	0.320287	0.35328	0.372583	0.35328	0.372583	0.372583	0.339586	0.35328	0.35328	0.35328	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	0.35328	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.372583	0.405585	0.372583	1.0	0.372583	0.372583	0.312952	0.372583	0	0.00332897	0.118834	0.00368764	0.00359875	0.00332315	0.118411	0.00328247	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.328965	0.339586	0.320287	0.306598	0.328965	0.328965	0.328965	0.328965	0.339586	0.328965	0.328965	1.0	
Sphingomonas_sp._N156_BC02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.320287	0.320287	0.35328	0.372583	0.35328	0.372583	0.372583	0.339586	0.35328	0.35328	0.35328	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	0.35328	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.372583	0.405585	0.372583	1.0	0.372583	0.372583	0.306598	0.372583	0.00332897	0	0.119475	0.00336392	0.00336684	0.00306618	0.118834	0.00301467	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.328965	0.339586	0.320287	0.306598	0.328965	0.320287	0.328965	0.328965	0.339586	0.328965	0.328965	1.0	
Sphingomonas_sp._N162_BC07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.35328	0.372583	0.405585	0.372583	0.405585	0.405585	0.35328	0.405585	1.0	0.35328	1.0	1.0	1.0	1.0	0.405585	0.405585	0.372583	1.0	1.0	1.0	0.372583	0.372583	0.35328	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	1.0	0.405585	1.0	1.0	1.0	0.372583	0.35328	0.405585	0.35328	1.0	0.35328	0.35328	0.339586	1.0	0.118834	0.119475	0	0.119475	0.119368	0.118622	0.00462398	0.119261	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.35328	0.328965	0.339586	0.328965	0.328965	0.328965	0.339586	0.372583	0.35328	0.339586	1.0	
Sphingomonas_sp._N182_BC07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.320287	0.320287	0.35328	0.372583	0.35328	0.372583	0.372583	0.339586	0.35328	0.35328	0.35328	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	0.35328	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.372583	0.405585	0.372583	1.0	0.372583	0.372583	0.312952	0.372583	0.00368764	0.00336392	0.119475	0	0.00284974	0.00253291	0.117785	0.00240009	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.328965	0.339586	0.320287	0.306598	0.328965	0.328965	0.328965	0.328965	0.339586	0.328965	0.328965	1.0	
Sphingomonas_sp._N182_BC08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.320287	0.320287	0.35328	0.372583	0.35328	0.372583	0.372583	0.339586	0.35328	0.35328	0.35328	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	0.35328	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.372583	0.405585	0.372583	1.0	0.372583	0.372583	0.306598	0.372583	0.00359875	0.00336684	0.119368	0.00284974	0	0.00249129	0.118097	0.00244149	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.328965	0.339586	0.320287	0.306598	0.328965	0.320287	0.320287	0.328965	0.339586	0.328965	0.320287	1.0	
Sphingomonas_sp._N215_BC02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.320287	0.320287	0.35328	0.372583	0.35328	0.372583	0.372583	0.339586	0.35328	0.35328	0.35328	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	0.35328	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.372583	0.405585	0.372583	1.0	0.372583	0.372583	0.306598	0.372583	0.00332315	0.00306618	0.118622	0.00253291	0.00249129	0	0.117167	0.00178842	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.328965	0.339586	0.320287	0.306598	0.328965	0.320287	0.320287	0.328965	0.339586	0.328965	0.320287	1.0	
Sphingomonas_sp._N216_BC07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.35328	0.372583	0.405585	0.372583	0.405585	0.405585	0.35328	0.405585	1.0	0.35328	1.0	1.0	1.0	1.0	0.405585	0.405585	0.372583	1.0	1.0	1.0	0.372583	0.372583	0.35328	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	1.0	0.405585	1.0	1.0	1.0	0.372583	0.35328	0.405585	0.35328	1.0	0.35328	0.35328	0.339586	1.0	0.118411	0.118834	0.00462398	0.117785	0.118097	0.117167	0	0.117578	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.35328	0.328965	0.328965	0.328965	0.328965	0.328965	0.339586	0.372583	0.35328	0.339586	1.0	
Sphingomonas_sp._N223_BC05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.320287	0.320287	0.35328	0.372583	0.35328	0.372583	0.372583	0.339586	0.35328	0.35328	0.35328	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	0.35328	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.35328	0.405585	0.372583	1.0	0.372583	0.372583	0.312952	0.372583	0.00328247	0.00301467	0.119261	0.00240009	0.00244149	0.00178842	0.117578	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.328965	0.339586	0.320287	0.306598	0.328965	0.320287	0.320287	0.328965	0.339586	0.328965	0.320287	1.0	
Staphylococcus_capitis_N103_BC08	0.405585	1.0	0.35328	0.300994	0.35328	0.328965	0.405585	0.372583	0.328965	0.339586	0.339586	0.372583	0.339586	0.372583	0.339586	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.328965	0.35328	0.339586	0.339586	0.300994	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.35328	0.372583	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.372583	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0.0144152	0.00337267	0.00408721	0.00829255	0.0229232	0.0115941	0.00743143	0.0288728	0.0038308	0.00712406	0.00664242	0.00411762	0.00547692	0.0180228	0.0183375	0.0290211	0.00404775	0.00281299	0.00421836	0.00690296	0.00600651	0.00258856	0.00381882	0.0204922	0.00297472	0.0065761	0.00251348	0.0393922	0.00374417	0.0162081	0.00747888	0.00296617	0.00289792	0.00301182	0.0182463	0.00507751	0.016674	0.00271163	0.0055988	0.0135706	0.00371142	0.00976033	0.00394798	0.235108	0.239237	0.218593	0.235108	0.247037	0.235108	0.239237	0.239237	0.248764	0.235108	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.35328	
Staphylococcus_capitis_N108_BC10	1.0	1.0	0.35328	0.283502	0.339586	0.312952	0.35328	0.339586	0.306598	0.339586	0.320287	0.339586	0.320287	0.339586	0.320287	0.372583	0.372583	0.35328	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	0.405585	0.372583	1.0	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.328965	0.35328	0.339586	0.35328	0.283502	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.35328	0.372583	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.372583	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0144152	0	0.0147093	0.0150813	0.0177182	0.0338699	0.0205992	0.0184108	0.0377739	0.0147041	0.0169536	0.0167251	0.0156431	0.0159321	0.0267165	0.025894	0.0372862	0.0157353	0.0145953	0.0160973	0.0180709	0.0174761	0.0140794	0.0147405	0.026235	0.0141806	0.0162916	0.0138785	0.0488127	0.0154059	0.0267335	0.0183314	0.0146108	0.0146522	0.0142772	0.0291421	0.0152191	0.0281257	0.0139687	0.0157571	0.0233837	0.0143589	0.019679	0.0151024	0.250557	0.250557	0.224525	0.231311	0.258493	0.250557	0.254359	0.25242	0.26546	0.25242	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	
Staphylococcus_capitis_N113_BC01	1.0	1.0	0.35328	0.291447	0.339586	0.328965	0.405585	0.35328	0.339586	0.339586	0.339586	0.372583	0.339586	0.372583	0.339586	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.320287	0.372583	0.35328	0.35328	0.306598	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.35328	0.372583	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.372583	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00337267	0.0147093	0	0.00450225	0.00843411	0.0232119	0.0120987	0.0079113	0.0285788	0.0042582	0.00754477	0.00743507	0.00469616	0.00585842	0.0184414	0.0184597	0.0294517	0.00454274	0.00349856	0.00493037	0.00721755	0.00649266	0.00317543	0.00432891	0.0210249	0.00358103	0.00706318	0.00310635	0.0399018	0.00415724	0.016409	0.00770681	0.00350444	0.00348094	0.00359284	0.0184536	0.00545723	0.017167	0.00332897	0.00626855	0.0138885	0.00417555	0.0100207	0.00434432	0.239237	0.242205	0.221466	0.235108	0.247037	0.236445	0.239237	0.240698	0.250557	0.23782	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	
Staphylococcus_capitis_N113_BC02	1.0	1.0	0.35328	0.295981	0.35328	0.328965	0.372583	0.372583	0.328965	0.339586	0.339586	0.372583	0.339586	0.372583	0.339586	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.320287	0.372583	0.35328	0.35328	0.306598	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.35328	0.372583	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.372583	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00408721	0.0150813	0.00450225	0	0.0091537	0.0242064	0.0126299	0.00893977	0.0293105	0.00504221	0.00819369	0.00789262	0.00543101	0.00687108	0.0187991	0.0192952	0.0300431	0.00534932	0.00420306	0.00556248	0.00798995	0.00732963	0.00384878	0.00503901	0.0217374	0.00427048	0.00770311	0.00364018	0.0403238	0.0047939	0.0173999	0.00875545	0.00418777	0.00408417	0.00421224	0.0193269	0.0064096	0.0178969	0.00406595	0.0069918	0.015166	0.00504862	0.010775	0.00516121	0.236445	0.240698	0.224525	0.23782	0.250557	0.23782	0.243761	0.243761	0.25242	0.239237	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.35328	
Staphylococcus_capitis_N113_BC03	0.405585	1.0	0.339586	0.291447	0.372583	0.35328	0.372583	0.372583	0.328965	0.35328	0.339586	0.372583	0.339586	0.372583	0.339586	0.372583	0.372583	0.35328	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.312952	0.35328	0.339586	0.35328	0.287309	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.35328	0.372583	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.372583	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00829255	0.0177182	0.00843411	0.0091537	0	0.0291048	0.0146574	0.0120482	0.0291421	0.00930564	0.0113796	0.0110051	0.00949519	0.0113396	0.0239982	0.0221621	0.0362262	0.00956419	0.0083078	0.0099087	0.0119474	0.0115761	0.00809533	0.00882192	0.0249526	0.00840342	0.0104113	0.00791878	0.0454191	0.00914574	0.0198732	0.0136447	0.00820507	0.00824686	0.00845332	0.0239139	0.00858058	0.0214236	0.00825066	0.00949519	0.0233163	0.00946684	0.0137836	0.00966202	0.239237	0.245371	0.222464	0.235108	0.25242	0.240698	0.242205	0.239237	0.250557	0.239237	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.339586	
Staphylococcus_capitis_N114_BC03	1.0	1.0	0.35328	0.372583	0.372583	0.339586	1.0	1.0	0.372583	0.372583	0.372583	1.0	0.405585	0.405585	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	1.0	0.405585	0.405585	0.35328	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0229232	0.0338699	0.0232119	0.0242064	0.0291048	0	0.0315385	0.0266314	0.0475501	0.0226087	0.0260597	0.0264282	0.0231301	0.0246831	0.0337047	0.035505	0.0461195	0.0230857	0.0230412	0.0226378	0.0265296	0.0255166	0.0226524	0.0238375	0.0426428	0.0228571	0.0261514	0.0223988	0.0313964	0.0236171	0.0345513	0.0241214	0.0229674	0.0228277	0.0228204	0.0355869	0.0249686	0.0316302	0.0227107	0.0262685	0.0287714	0.0230486	0.026143	0.0214721	0.254359	0.254359	0.236445	0.256381	0.256381	0.242205	0.245371	0.243761	0.256381	0.248764	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	
