s_4408	s_4392	s_4428	s_4448	s_4445	s_4439	s_4419	s_4449	s_4443	s_4452	s_4412	s_4455	s_4409	s_4470	s_4458	s_4444	s_4414	s_4467	s_4435	s_4397	s_4394	s_4425	s_4416	s_4464	s_4461	s_4407	s_4399	s_4390	s_4405	s_4442	s_4404	s_4430	s_4391	s_4395	s_4421	s_4465	s_4450	s_4410	s_4460	s_4424	s_4415	s_4454	s_4456	s_4411	s_4413	s_4396	s_4423	s_4432	s_4433	s_4476	s_4474	s_4406	s_4418	s_4437	s_4401	s_4436	s_4420	s_4403	s_4469	s_4431	s_4422	s_4400	s_4402	s_4462	s_4453	s_4438	s_4475	s_4429
s_4391 0.00039806 0.00021659 0.01107978 0.03400871 0.00020899 0.01129044 0.00691581 0.03405596 0.01377540 0.00334481 0.01030053 0.01095305 0.01118957 0.01137469 0.00061321 0.01190489 0.00035062 0.01212145 0.00425612 0.00035656 0.00028422 0.00508837 0.00038974 0.01125774 0.01173100 0.00041703 0.00080259 0.00024849 0.00347387 0.00129615 0.00345886 0.01124829 0 0.00032303 0.00338939 0.03403529 0.03407189 0.01033648 0.01112257 0.00608122 0.00026028 0.01081941 0.00018466 0.01031824 0.00041053 0.00030648 0.00083620 0.01113040 0.01117799 0.01066504 0.00059133 0.00349527 0.01022861 0.01128189 0.00891819 0.01130812 0.01032255 0.03395437 0.01151098 0.01115937 0.01044574 0.00911411 0.00893197 0.01122268 0.00025829 0.00081707 0.01107560 0.01122554
s_4395 0.00044300 0.00028801 0.01114563 0.03421151 0.00031503 0.01125145 0.00691935 0.03417284 0.01372115 0.00339661 0.01027702 0.01088509 0.01117444 0.01129951 0.00067477 0.01188458 0.00042576 0.01207018 0.00444613 0.00040206 0.00031753 0.00526035 0.00045361 0.01123742 0.01182737 0.00044162 0.00087186 0.00029635 0.00350984 0.00130381 0.00353013 0.01122550 0.00032303 0 0.00352968 0.03416918 0.03416941 0.01032302 0.01108296 0.00599759 0.00032938 0.01079512 0.00025290 0.01036062 0.00045632 0.00034717 0.00088307 0.01109835 0.01114059 0.01083208 0.00069400 0.00355254 0.01028831 0.01126700 0.00896298 0.01126895 0.01031298 0.03405461 0.01149741 0.01121045 0.01045382 0.00907223 0.00889546 0.01118728 0.00029234 0.00083291 0.01106475 0.01118232
s_4421 0.00357631 0.00343061 0.00695912 0.02901598 0.00288099 0.00694361 0.00715372 0.02916144 0.01005774 0.00537265 0.00683721 0.00695402 0.00718496 0.00742752 0.00268576 0.00761646 0.00363718 0.00766264 0.00590557 0.00355113 0.00350431 0.00562420 0.00365432 0.00692294 0.00771359 0.00369277 0.00331510 0.00352461 0.00595344 0.00410571 0.00567449 0.00707218 0.00338939 0.00352968 0 0.02912179 0.02927867 0.00680528 0.00690100 0.00412787 0.00349298 0.00669002 0.00317243 0.00680618 0.00352430 0.00358265 0.00283466 0.00714649 0.00721784 0.00832236 0.00276310 0.00593373 0.00665160 0.00696457 0.00577455 0.00700909 0.00666574 0.03084686 0.00775544 0.00720790 0.00646730 0.00576248 0.00565663 0.00704959 0.00318837 0.00291205 0.00707555 0.00702654
s_4465 0.03439104 0.03422445 0.03667674 0.00030977 0.03275703 0.03697790 0.03393969 0.00029088 0.03848933 0.03437036 0.03569534 0.03689551 0.03644566 0.03766779 0.03400236 0.03735098 0.03428049 0.03738174 0.03422289 0.03420616 0.03428212 0.03465346 0.03438172 0.03697906 0.03638066 0.03441518 0.03399251 0.03409235 0.03453499 0.03508531 0.03319413 0.03708912 0.03403529 0.03416918 0.02912179 0 0.00028774 0.03608066 0.03693106 0.03113512 0.03428502 0.03626505 0.03438117 0.03597235 0.03446225 0.03430121 0.03418104 0.03707828 0.03680278 0.03769643 0.03387501 0.03438231 0.03616134 0.03701041 0.03472108 0.03705905 0.03626564 0.00027841 0.03595233 0.03687385 0.03591036 0.03452902 0.03435602 0.03617592 0.03437067 0.03428463 0.03730161 0.03686615
s_4450 0.03431870 0.03421289 0.03671892 0.00018128 0.03282222 0.03698530 0.03397572 0.00015553 0.03844824 0.03459227 0.03571405 0.03706886 0.03651603 0.03752151 0.03423296 0.03737437 0.03422670 0.03745949 0.03426801 0.03423985 0.03430309 0.03487177 0.03440152 0.03713942 0.03558075 0.03438408 0.03399478 0.03410151 0.03451030 0.03507057 0.03313227 0.03707371 0.03407189 0.03416941 0.02927867 0.00028774 0 0.03609541 0.03709259 0.03116374 0.03431740 0.03673257 0.03438755 0.03601033 0.03448563 0.03435372 0.03419480 0.03718674 0.03694761 0.03748554 0.03369884 0.03442125 0.03616965 0.03704614 0.03476327 0.03711272 0.03631551 0.00013532 0.03594738 0.03696043 0.03596473 0.03450841 0.03433129 0.03706259 0.03450325 0.03432065 0.03718480 0.03699143
s_4410 0.01042983 0.01033887 0.00136962 0.03604676 0.01019465 0.00158492 0.00908125 0.03609129 0.00320880 0.01020473 0.00146007 0.00149916 0.00241920 0.00187619 0.01002118 0.00209238 0.01034547 0.00163584 0.01049553 0.01044529 0.01031606 0.01099372 0.01051189 0.00148857 0.00230734 0.01049693 0.01015587 0.01029329 0.01026323 0.01131416 0.01059444 0.00147224 0.01033648 0.01032302 0.00680528 0.03608066 0.03609541 0 0.00129397 0.00433924 0.01029960 0.00117782 0.01026502 0.00132240 0.01047967 0.01041444 0.01016819 0.00157056 0.00155436 0.00167386 0.01047483 0.01027135 0.00149101 0.00149193 0.00107446 0.00157222 0.00146629 0.03581280 0.00243953 0.00162778 0.00161607 0.00109095 0.00102677 0.00128082 0.01035598 0.01003011 0.00138713 0.00147941
s_4460 0.01123657 0.01111603 0.00114481 0.03694673 0.01095289 0.00128339 0.00973093 0.03712528 0.00321700 0.01097037 0.00149900 0.00129038 0.00238915 0.00168874 0.01077449 0.00185823 0.01112389 0.00138676 0.01121461 0.01118946 0.01115184 0.01211161 0.01125809 0.00122540 0.00215391 0.01130760 0.01091832 0.01106206 0.01099606 0.01207733 0.01137930 0.00130805 0.01112257 0.01108296 0.00690100 0.03693106 0.03709259 0.00129397 0 0.00408478 0.01111840 0.00094406 0.01109143 0.00135894 0.01128003 0.01119408 0.01098040 0.00137015 0.00136605 0.00155493 0.01129057 0.01112286 0.00152690 0.00123487 0.00093498 0.00127356 0.00149573 0.03678314 0.00217461 0.00144722 0.00161238 0.00096880 0.00090450 0.00098607 0.01111933 0.01087949 0.00118006 0.00126283
s_4424 0.00610492 0.00604424 0.00409141 0.03097227 0.00622813 0.00392241 0.00661453 0.03116849 0.00572598 0.00587533 0.00406412 0.00410024 0.00481215 0.00446533 0.00433340 0.00447189 0.00616460 0.00483929 0.00599199 0.00606522 0.00602055 0.00701453 0.00614460 0.00389652 0.00418663 0.00614748 0.00516386 0.00592146 0.00668164 0.00613297 0.00653953 0.00444668 0.00608122 0.00599759 0.00412787 0.03113512 0.03116374 0.00433924 0.00408478 0 0.00602301 0.00417124 0.00539852 0.00434514 0.00625120 0.00606821 0.00503661 0.00423246 0.00443458 0.00390881 0.00746393 0.00669879 0.00403707 0.00387022 0.00310420 0.00390689 0.00428675 0.03486139 0.00433585 0.00440254 0.00390202 0.00290825 0.00278663 0.00391049 0.00544375 0.00466916 0.00399742 0.00440492
s_4415 0.00040838 0.00024887 0.01112502 0.03425690 0.00026634 0.01129316 0.00693415 0.03429463 0.01376048 0.00338914 0.01015283 0.01095416 0.01116454 0.01136147 0.00065302 0.01190807 0.00037347 0.01205146 0.00445647 0.00036965 0.00030203 0.00523542 0.00043973 0.01127071 0.01177101 0.00043816 0.00083394 0.00025790 0.00342383 0.00131584 0.00343673 0.01124089 0.00026028 0.00032938 0.00349298 0.03428502 0.03431740 0.01029960 0.01111840 0.00602301 0 0.01081149 0.00021107 0.01023778 0.00042267 0.00032601 0.00084562 0.01113230 0.01118948 0.01083753 0.00064780 0.00349493 0.01022604 0.01130382 0.00896235 0.01130645 0.01030006 0.03414326 0.01155294 0.01115455 0.01043462 0.00904949 0.00883474 0.01121056 0.00029047 0.00085180 0.01105701 0.01121962
s_4454 0.01093516 0.01082252 0.00103957 0.03648342 0.01065582 0.00123805 0.00940140 0.03662747 0.00311976 0.01065554 0.00142663 0.00118993 0.00229217 0.00159453 0.01041108 0.00177149 0.01081904 0.00134213 0.01086914 0.01092067 0.01084518 0.01173742 0.01096941 0.00111495 0.00209776 0.01100374 0.01063509 0.01075531 0.01063286 0.01178866 0.01103114 0.00119280 0.01081941 0.01079512 0.00669002 0.03626505 0.03673257 0.00117782 0.00094406 0.00417124 0.01081149 0 0.01063908 0.00120925 0.01098661 0.01087487 0.01066929 0.00124241 0.00123669 0.00150885 0.01101215 0.01074518 0.00138129 0.00112979 0.00088406 0.00121380 0.00137472 0.03631060 0.00211409 0.00133133 0.00147469 0.00091730 0.00087935 0.00088002 0.01081724 0.01057592 0.00105771 0.00110357
s_4456 0.00035828 0.00017533 0.01091740 0.03424810 0.00021352 0.01115923 0.00671349 0.03441633 0.01395263 0.00329009 0.01008940 0.01070185 0.01111909 0.01131874 0.00060306 0.01178303 0.00031223 0.01201343 0.00430082 0.00030938 0.00023234 0.00523978 0.00037555 0.01124764 0.01182709 0.00036946 0.00078374 0.00016936 0.00338745 0.00125151 0.00340267 0.01118516 0.00018466 0.00025290 0.00317243 0.03438117 0.03438755 0.01026502 0.01109143 0.00539852 0.00021107 0.01063908 0 0.01016645 0.00036529 0.00026420 0.00079422 0.01101878 0.01099001 0.01076858 0.00057607 0.00345577 0.01010560 0.01118285 0.00893576 0.01125091 0.01022807 0.03426088 0.01143667 0.01106619 0.01036138 0.00900463 0.00882948 0.01121146 0.00023995 0.00079691 0.01106155 0.01111825
s_4411 0.01046808 0.01027888 0.00139364 0.03593484 0.01014164 0.00162840 0.00902944 0.03595030 0.00322920 0.01007761 0.00151931 0.00151851 0.00242084 0.00189931 0.00990507 0.00215349 0.01029108 0.00168810 0.01052662 0.01040289 0.01031180 0.01097013 0.01040648 0.00151982 0.00243070 0.01045012 0.01008947 0.01022255 0.01024032 0.01123632 0.01054289 0.00151685 0.01031824 0.01036062 0.00680618 0.03597235 0.03601033 0.00132240 0.00135894 0.00434514 0.01023778 0.00120925 0.01016645 0 0.01048289 0.01036498 0.01017619 0.00160752 0.00162005 0.00174552 0.01042623 0.01033746 0.00155411 0.00153904 0.00110597 0.00156933 0.00154383 0.03579365 0.00240776 0.00167641 0.00162494 0.00115091 0.00106409 0.00128431 0.01037055 0.00997056 0.00143166 0.00149558
s_4413 0.00052489 0.00038090 0.01133311 0.03441327 0.00040029 0.01141370 0.00706518 0.03446958 0.01393354 0.00346920 0.01035102 0.01108724 0.01136921 0.01151057 0.00076824 0.01205523 0.00052359 0.01224477 0.00459788 0.00050791 0.00041667 0.00529844 0.00053237 0.01142218 0.01204767 0.00051485 0.00095133 0.00039851 0.00352643 0.00140502 0.00354204 0.01142184 0.00041053 0.00045632 0.00352430 0.03446225 0.03448563 0.01047967 0.01128003 0.00625120 0.00042267 0.01098661 0.00036529 0.01048289 0 0.00045168 0.00096419 0.01129530 0.01134526 0.01103150 0.00076562 0.00361535 0.01041500 0.01144791 0.00911089 0.01145101 0.01044262 0.03430132 0.01166462 0.01141641 0.01056902 0.00922906 0.00899519 0.01134428 0.00038549 0.00093780 0.01124609 0.01137547
s_4396 0.00043529 0.00028732 0.01114447 0.03428890 0.00030077 0.01135131 0.00698334 0.03432916 0.01384247 0.00343279 0.01032299 0.01101760 0.01119207 0.01135672 0.00068451 0.01196657 0.00042427 0.01210280 0.00442610 0.00038975 0.00031057 0.00519309 0.00046028 0.01134196 0.01188851 0.00044466 0.00088629 0.00029784 0.00355650 0.00130442 0.00354375 0.01131774 0.00030648 0.00034717 0.00358265 0.03430121 0.03435372 0.01041444 0.01119408 0.00606821 0.00032601 0.01087487 0.00026420 0.01036498 0.00045168 0 0.00089311 0.01120460 0.01124294 0.01089624 0.00069135 0.00356143 0.01025169 0.01136442 0.00879432 0.01136660 0.01037159 0.03423471 0.01154943 0.01122137 0.01050821 0.00917519 0.00893646 0.01126700 0.00030807 0.00088137 0.01112351 0.01130046
s_4423 0.00094574 0.00081273 0.01099867 0.03413060 0.00091577 0.01116615 0.00673595 0.03415659 0.01357736 0.00351054 0.01007719 0.01082629 0.01102894 0.01119447 0.00034258 0.01178680 0.00096869 0.01179806 0.00445025 0.00093844 0.00085237 0.00526100 0.00098811 0.01114673 0.01175364 0.00094876 0.00052345 0.00083092 0.00355710 0.00178391 0.00356704 0.01114577 0.00083620 0.00088307 0.00283466 0.03418104 0.03419480 0.01016819 0.01098040 0.00503661 0.00084562 0.01066929 0.00079422 0.01017619 0.00096419 0.00089311 0 0.01103589 0.01110442 0.01071652 0.00199210 0.00364832 0.01012175 0.01116515 0.00886902 0.01119359 0.01020752 0.03406657 0.01125921 0.01103118 0.01033746 0.00894675 0.00874721 0.01102654 0.00084026 0.00050317 0.01094659 0.01107964
s_4432 0.01124770 0.01112921 0.00134333 0.03716665 0.01101581 0.00151138 0.00970441 0.03712227 0.00290033 0.01103497 0.00177196 0.00130578 0.00261070 0.00165759 0.01082322 0.00206523 0.01119310 0.00134862 0.01135395 0.01124528 0.01116305 0.01215199 0.01127510 0.00139911 0.00247791 0.01132189 0.01095931 0.01106564 0.01104865 0.01207421 0.01132244 0.00150430 0.01113040 0.01109835 0.00714649 0.03707828 0.03718674 0.00157056 0.00137015 0.00423246 0.01113230 0.00124241 0.01101878 0.00160752 0.01129530 0.01120460 0.01103589 0 0.00134290 0.00151471 0.01136301 0.01114024 0.00159433 0.00146759 0.00120072 0.00150747 0.00160308 0.03692779 0.00243422 0.00138581 0.00176274 0.00120825 0.00115499 0.00136328 0.01114455 0.01081981 0.00118358 0.00152692
s_4433 0.01131440 0.01116275 0.00136462 0.03686435 0.01103366 0.00153524 0.00978001 0.03690621 0.00278570 0.01099580 0.00163163 0.00129151 0.00265121 0.00166564 0.01078023 0.00205189 0.01120245 0.00136338 0.01134206 0.01124361 0.01120893 0.01219070 0.01133753 0.00144945 0.00242132 0.01135364 0.01101883 0.01109428 0.01109113 0.01196960 0.01134595 0.00155696 0.01117799 0.01114059 0.00721784 0.03680278 0.03694761 0.00155436 0.00136605 0.00443458 0.01118948 0.00123669 0.01099001 0.00162005 0.01134526 0.01124294 0.01110442 0.00134290 0 0.00155294 0.01136039 0.01115807 0.00158486 0.00144951 0.00118536 0.00150175 0.00159158 0.03693615 0.00241730 0.00136099 0.00173731 0.00115861 0.00107586 0.00136131 0.01109058 0.01077506 0.00119449 0.00153377
s_4476 0.01108105 0.01070598 0.00161695 0.03779357 0.01111189 0.00194552 0.00910385 0.03764280 0.00306187 0.00981950 0.00184613 0.00140010 0.00299803 0.00180978 0.01055675 0.00244642 0.01091934 0.00149053 0.00846620 0.01097714 0.01092950 0.00972941 0.01105261 0.00180672 0.00312091 0.01101413 0.01074972 0.01067034 0.00965231 0.01166683 0.00947647 0.00184378 0.01066504 0.01083208 0.00832236 0.03769643 0.03748554 0.00167386 0.00155493 0.00390881 0.01083753 0.00150885 0.01076858 0.00174552 0.01103150 0.01089624 0.01071652 0.00151471 0.00155294 0 0.01149549 0.00996281 0.00165018 0.00181708 0.00144365 0.00188263 0.00172261 0.03761591 0.00367098 0.00159838 0.00189064 0.00142864 0.00135326 0.00174017 0.01087514 0.01104015 0.00133909 0.00182213
s_4474 0.00078143 0.00055441 0.01135730 0.03399059 0.00097342 0.01170102 0.00717585 0.03390655 0.01378730 0.00406820 0.01048148 0.01115878 0.01200394 0.01153627 0.00179165 0.01229060 0.00071298 0.01219723 0.00524552 0.00070617 0.00065306 0.00524917 0.00076970 0.01164593 0.01338699 0.00076571 0.00164286 0.00059689 0.00416508 0.00159913 0.00378066 0.01140360 0.00059133 0.00069400 0.00276310 0.03387501 0.03369884 0.01047483 0.01129057 0.00746393 0.00064780 0.01101215 0.00057607 0.01042623 0.00076562 0.00069135 0.00199210 0.01136301 0.01136039 0.01149549 0 0.00418519 0.01052137 0.01153005 0.00943587 0.01171778 0.01055749 0.03362550 0.01191533 0.01145514 0.01079260 0.00952492 0.00932525 0.01136735 0.00065148 0.00150123 0.01151218 0.01140093
s_4406 0.00361794 0.00348990 0.01113468 0.03445362 0.00338984 0.01109725 0.00731295 0.03439105 0.01359109 0.00020379 0.01028631 0.01090691 0.01102210 0.01128101 0.00344366 0.01174826 0.00360057 0.01173636 0.00343965 0.00361213 0.00353931 0.00411298 0.00364524 0.01109307 0.01151480 0.00365801 0.00361334 0.00348172 0.00036758 0.00442848 0.00035877 0.01125262 0.00349527 0.00355254 0.00593373 0.03438231 0.03442125 0.01027135 0.01112286 0.00669879 0.00349493 0.01074518 0.00345577 0.01033746 0.00361535 0.00356143 0.00364832 0.01114024 0.01115807 0.00996281 0.00418519 0 0.01025508 0.01110723 0.00882879 0.01113552 0.01026562 0.03432158 0.01122434 0.01119458 0.01017468 0.00884685 0.00871387 0.01100340 0.00351941 0.00362245 0.01108614 0.01120459
s_4418 0.01038626 0.01023081 0.00159318 0.03615630 0.01004826 0.00176349 0.00892126 0.03615961 0.00321717 0.01009937 0.00160434 0.00149060 0.00256717 0.00185980 0.00970968 0.00221947 0.01026867 0.00164805 0.01035302 0.01029316 0.01022127 0.01071570 0.01032226 0.00165793 0.00257757 0.01038667 0.01004646 0.01023842 0.01016405 0.01118177 0.01035017 0.00168508 0.01022861 0.01028831 0.00665160 0.03616134 0.03616965 0.00149101 0.00152690 0.00403707 0.01022604 0.00138129 0.01010560 0.00155411 0.01041500 0.01025169 0.01012175 0.00159433 0.00158486 0.00165018 0.01052137 0.01025508 0 0.00163001 0.00121258 0.00169354 0.00135937 0.03594947 0.00257025 0.00163835 0.00167088 0.00124247 0.00116618 0.00153367 0.01029073 0.00989246 0.00142881 0.00170324
s_4437 0.01140502 0.01129283 0.00127548 0.03704192 0.01103831 0.00105009 0.00974715 0.03705564 0.00318075 0.01098519 0.00169140 0.00143312 0.00212539 0.00172935 0.01094720 0.00165703 0.01131121 0.00156894 0.01120716 0.01136253 0.01132410 0.01204189 0.01144066 0.00094358 0.00175905 0.01146723 0.01108370 0.01122799 0.01103950 0.01217857 0.01131349 0.00145662 0.01128189 0.01126700 0.00696457 0.03701041 0.03704614 0.00149193 0.00123487 0.00387022 0.01130382 0.00112979 0.01118285 0.00153904 0.01144791 0.01136442 0.01116515 0.00146759 0.00144951 0.00181708 0.01153005 0.01110723 0.00163001 0 0.00072075 0.00099928 0.00164619 0.03681736 0.00179689 0.00154468 0.00155964 0.00075851 0.00071100 0.00106224 0.01127267 0.01092783 0.00126797 0.00146203
s_4401 0.00914205 0.00897039 0.00109211 0.03481183 0.00878237 0.00081382 0.00763286 0.03475751 0.00280957 0.00872350 0.00127800 0.00112548 0.00166797 0.00143897 0.00869374 0.00128113 0.00899739 0.00135824 0.00907567 0.00896219 0.00891682 0.00962213 0.00915734 0.00068827 0.00146040 0.00914707 0.00868754 0.00892968 0.00879929 0.01000946 0.00898538 0.00118127 0.00891819 0.00896298 0.00577455 0.03472108 0.03476327 0.00107446 0.00093498 0.00310420 0.00896235 0.00088406 0.00893576 0.00110597 0.00911089 0.00879432 0.00886902 0.00120072 0.00118536 0.00144365 0.00943587 0.00882879 0.00121258 0.00072075 0 0.00074034 0.00119210 0.03449506 0.00150110 0.00124165 0.00107602 0.00047617 0.00050474 0.00085327 0.00900126 0.00872398 0.00100428 0.00113964
s_4436 0.01141786 0.01128001 0.00133253 0.03701479 0.01111253 0.00110863 0.00976181 0.03709704 0.00325504 0.01106143 0.00169977 0.00151181 0.00219012 0.00188673 0.01102769 0.00168778 0.01131246 0.00156285 0.01122235 0.01138952 0.01132984 0.01211509 0.01145552 0.00102487 0.00180624 0.01147982 0.01110835 0.01123490 0.01103664 0.01224616 0.01132707 0.00151626 0.01130812 0.01126895 0.00700909 0.03705905 0.03711272 0.00157222 0.00127356 0.00390689 0.01130645 0.00121380 0.01125091 0.00156933 0.01145101 0.01136660 0.01119359 0.00150747 0.00150175 0.00188263 0.01171778 0.01113552 0.00169354 0.00099928 0.00074034 0 0.00168023 0.03686936 0.00185293 0.00157225 0.00159585 0.00078639 0.00074538 0.00115127 0.01133336 0.01099405 0.00133516 0.00147826
s_4420 0.01044030 0.01032053 0.00154583 0.03624061 0.01012941 0.00172190 0.00877282 0.03627682 0.00323570 0.01020782 0.00165112 0.00152657 0.00254144 0.00186787 0.01002628 0.00221411 0.01034424 0.00159199 0.01050798 0.01044946 0.01033940 0.01103818 0.01046729 0.00162352 0.00257025 0.01050657 0.01015483 0.01027283 0.01021229 0.01131780 0.01046851 0.00169887 0.01032255 0.01031298 0.00666574 0.03626564 0.03631551 0.00146629 0.00149573 0.00428675 0.01030006 0.00137472 0.01022807 0.00154383 0.01044262 0.01037159 0.01020752 0.00160308 0.00159158 0.00172261 0.01055749 0.01026562 0.00135937 0.00164619 0.00119210 0.00168023 0 0.03596586 0.00260130 0.00166957 0.00162247 0.00122353 0.00116343 0.00154175 0.01035299 0.01005440 0.00146188 0.00163846
s_4403 0.03428279 0.03412572 0.03675981 0.00015619 0.03277291 0.03681057 0.03427462 0.00013174 0.03735304 0.03446484 0.03570194 0.03675180 0.03608971 0.03752676 0.03409858 0.03738704 0.03412821 0.03730129 0.03436228 0.03408152 0.03418665 0.03452592 0.03432413 0.03685832 0.03513396 0.03424283 0.03388557 0.03398130 0.03437035 0.03483469 0.03319764 0.03691102 0.03395437 0.03405461 0.03084686 0.00027841 0.00013532 0.03581280 0.03678314 0.03486139 0.03414326 0.03631060 0.03426088 0.03579365 0.03430132 0.03423471 0.03406657 0.03692779 0.03693615 0.03761591 0.03362550 0.03432158 0.03594947 0.03681736 0.03449506 0.03686936 0.03596586 0 0.03590260 0.03690925 0.03571211 0.03426084 0.03409528 0.03675284 0.03437162 0.03414113 0.03697173 0.03675002
s_4469 0.01163048 0.01146095 0.00222516 0.03570575 0.01128048 0.00193267 0.00996648 0.03594304 0.00439792 0.01093789 0.00262862 0.00230796 0.00265938 0.00274643 0.01090680 0.00234157 0.01155538 0.00284631 0.01121994 0.01163603 0.01150844 0.01213284 0.01167161 0.00183614 0.00267742 0.01164094 0.01083673 0.01131069 0.01115685 0.01247064 0.01142028 0.00240036 0.01151098 0.01149741 0.00775544 0.03595233 0.03594738 0.00243953 0.00217461 0.00433585 0.01155294 0.00211409 0.01143667 0.00240776 0.01166462 0.01154943 0.01125921 0.00243422 0.00241730 0.00367098 0.01191533 0.01122434 0.00257025 0.00179689 0.00150110 0.00185293 0.00260130 0.03590260 0 0.00252551 0.00227909 0.00154695 0.00149629 0.00198204 0.01146877 0.01052618 0.00242593 0.00233841
s_4431 0.01131132 0.01123526 0.00147298 0.03689172 0.01103321 0.00158817 0.00979943 0.03691268 0.00275494 0.01108020 0.00183326 0.00138791 0.00258537 0.00173991 0.01081602 0.00210344 0.01127454 0.00141289 0.01140544 0.01124390 0.01118562 0.01218013 0.01139179 0.00151532 0.00249115 0.01141412 0.01095729 0.01117021 0.01112802 0.01210283 0.01137600 0.00164031 0.01115937 0.01121045 0.00720790 0.03687385 0.03696043 0.00162778 0.00144722 0.00440254 0.01115455 0.00133133 0.01106619 0.00167641 0.01141641 0.01122137 0.01103118 0.00138581 0.00136099 0.00159838 0.01145514 0.01119458 0.00163835 0.00154468 0.00124165 0.00157225 0.00166957 0.03690925 0.00252551 0 0.00179575 0.00124950 0.00118313 0.00148584 0.01118976 0.01091925 0.00122951 0.00161221
s_4422 0.01057270 0.01046415 0.00169917 0.03587486 0.01019414 0.00163956 0.00886707 0.03592025 0.00328810 0.01004330 0.00179768 0.00166808 0.00234656 0.00204192 0.01014224 0.00210260 0.01050714 0.00178661 0.01039093 0.01053895 0.01047239 0.01088266 0.01057031 0.00152835 0.00220316 0.01060069 0.01026716 0.01040205 0.01008205 0.01140701 0.01032015 0.00180899 0.01044574 0.01045382 0.00646730 0.03591036 0.03596473 0.00161607 0.00161238 0.00390202 0.01043462 0.00147469 0.01036138 0.00162494 0.01056902 0.01050821 0.01033746 0.00176274 0.00173731 0.00189064 0.01079260 0.01017468 0.00167088 0.00155964 0.00107602 0.00159585 0.00162247 0.03571211 0.00227909 0.00179575 0 0.00112223 0.00106467 0.00155744 0.01045604 0.01014225 0.00159050 0.00181283
s_4400 0.00920828 0.00909822 0.00110996 0.03444635 0.00883595 0.00084531 0.00769386 0.03451551 0.00281364 0.00877585 0.00132003 0.00116721 0.00169742 0.00148634 0.00877490 0.00132004 0.00910204 0.00131094 0.00915064 0.00917835 0.00911113 0.00955009 0.00925453 0.00074783 0.00148742 0.00925156 0.00892328 0.00905389 0.00888146 0.01008639 0.00899808 0.00121392 0.00911411 0.00907223 0.00576248 0.03452902 0.03450841 0.00109095 0.00096880 0.00290825 0.00904949 0.00091730 0.00900463 0.00115091 0.00922906 0.00917519 0.00894675 0.00120825 0.00115861 0.00142864 0.00952492 0.00884685 0.00124247 0.00075851 0.00047617 0.00078639 0.00122353 0.03426084 0.00154695 0.00124950 0.00112223 0 0.00051543 0.00090230 0.00907421 0.00879115 0.00103445 0.00115576
s_4402 0.00900857 0.00890745 0.00105287 0.03426169 0.00866731 0.00078590 0.00753137 0.03433720 0.00276541 0.00860928 0.00115262 0.00109954 0.00163979 0.00142561 0.00859247 0.00126334 0.00890536 0.00125437 0.00892520 0.00898145 0.00888145 0.00955657 0.00908336 0.00068861 0.00146820 0.00904180 0.00873016 0.00888801 0.00867850 0.00991575 0.00891087 0.00113020 0.00893197 0.00889546 0.00565663 0.03435602 0.03433129 0.00102677 0.00090450 0.00278663 0.00883474 0.00087935 0.00882948 0.00106409 0.00899519 0.00893646 0.00874721 0.00115499 0.00107586 0.00135326 0.00932525 0.00871387 0.00116618 0.00071100 0.00050474 0.00074538 0.00116343 0.03409528 0.00149629 0.00118313 0.00106467 0.00051543 0 0.00085960 0.00890833 0.00860048 0.00097254 0.00110075
s_4462 0.01133561 0.01116482 0.00102019 0.03681494 0.01091497 0.00117829 0.00958703 0.03706163 0.00322750 0.01092654 0.00144271 0.00132734 0.00227153 0.00169071 0.01080544 0.00181611 0.01121778 0.00154969 0.01114502 0.01129661 0.01123052 0.01197371 0.01136032 0.00106440 0.00218345 0.01138638 0.01094696 0.01112664 0.01094357 0.01218026 0.01124664 0.00122572 0.01122268 0.01118728 0.00704959 0.03617592 0.03706259 0.00128082 0.00098607 0.00391049 0.01121056 0.00088002 0.01121146 0.00128431 0.01134428 0.01126700 0.01102654 0.00136328 0.00136131 0.00174017 0.01136735 0.01100340 0.00153367 0.00106224 0.00085327 0.00115127 0.00154175 0.03675284 0.00198204 0.00148584 0.00155744 0.00090230 0.00085960 0 0.01121394 0.01085895 0.00116154 0.00119469
s_4453 0.00038261 0.00023472 0.01112254 0.03435541 0.00028532 0.01131144 0.00685738 0.03452332 0.01405674 0.00337898 0.01023627 0.01090329 0.01123811 0.01133821 0.00064603 0.01186634 0.00038477 0.01216441 0.00442418 0.00033922 0.00027134 0.00537084 0.00040010 0.01125938 0.01176748 0.00039788 0.00080273 0.00022263 0.00346384 0.00128423 0.00348530 0.01129289 0.00025829 0.00029234 0.00318837 0.03437067 0.03450325 0.01035598 0.01111933 0.00544375 0.00029047 0.01081724 0.00023995 0.01037055 0.00038549 0.00030807 0.00084026 0.01114455 0.01109058 0.01087514 0.00065148 0.00351941 0.01029073 0.01127267 0.00900126 0.01133336 0.01035299 0.03437162 0.01146877 0.01118976 0.01045604 0.00907421 0.00890833 0.01121394 0 0.00083850 0.01108846 0.01123658
