s_129	G_20	s_133	s_112	s_194	s_201	s_228	s_142	s_158	G_18	s_205	s_172	s_115	s_222	s_145	s_226	G_31	s_168	s_106	G_22	s_215	s_135	s_138	s_199	s_224	G_33	s_153	s_208	s_219	s_181	s_151	s_121	s_118	s_196	s_183	s_164	s_178	s_102	G_2	s_213	G_27	s_136	G_14	G_10	s_182	s_156	G_5	s_144	s_117	s_192	G_16	s_100	s_220	s_203	s_111	s_187	G_25	s_184	s_154	G_21	s_124	s_131	s_159	s_97	s_209	G_28	s_166	s_188	G_19	s_216	G_17	s_229	s_195	s_128	s_123	s_160	s_174	G_9	s_101	G_12	s_218	G_4	s_114	s_202	s_225	s_104	s_108	s_132	s_127	s_212	s_227	s_214	s_99	s_134	s_148	s_198	s_221	s_191	s_162	s_120	s_185	G_32	s_171	s_126	s_143	s_149	s_107	s_150	s_197	s_179	G_36	G_34	s_137	s_152	G_23	s_169	s_177	s_176	s_223	s_103	s_146	s_140	s_113	s_122	G_7	s_147	s_207	s_119	s_105	s_189	s_180	G_8	s_110	G_35	s_116	s_170	s_165	G_1	s_125	G_26	G_11	s_204	s_139	G_15	s_155	s_200	s_217	s_109	s_130	s_175	s_193	G_6	s_141	G_30	G_29	s_173	G_3	s_98	s_211	s_206	s_210	s_157	s_186	s_190	G_24	s_161	G_13
s_114 0.00000639 0.00735237 0.00000720 0.00764972 0.00000372 0.00725624 0.00715971 0.00724856 0.00000693 0.00730640 0.00749829 0.00747763 0.00000556 0.00715487 0.00001431 0.00718948 0.00720040 0.00029022 0.00722464 0.00729393 0.00742959 0.00005195 0.00724176 0.00724645 0.00725044 0.00722631 0.00705692 0.00723030 0.00000397 0.00733944 0.00724437 0.00000582 0.00000344 0.00001176 0.00742869 0.00725076 0.00758153 0.00722459 0.00738340 0.00759262 0.00721317 0.00005195 0.00724605 0.00739281 0.00733391 0.00736778 0.00722401 0.00724972 0.00001112 0.00759690 0.00727835 0.00000748 0.00000635 0.00000792 0.00760141 0.00724781 0.00731891 0.00741637 0.00722382 0.00723705 0.00696833 0.00000615 0.00000934 0.00000106 0.00730690 0.00726603 0.00029006 0.00723999 0.00726014 0.00000661 0.00722278 0.00730811 0.00714111 0.00000907 0.00713872 0.00724135 0.00728661 0.00723010 0.00000555 0.00724336 0.00735685 0.00724480 0 0.00723871 0.00714709 0.00000662 0.00772190 0.00001358 0.00724116 0.00721191 0.00716896 0.00733754 0.00000582 0.00005583 0.00000613 0.00005199 0.00000821 0.00757779 0.00714750 0.00000344 0.00781857 0.00725965 0.00743801 0.00000988 0.00725870 0.00000720 0.00734147 0.00001791 0.00000746 0.00733754 0.00730613 0.00726292 0.00005278 0.00725250 0.00719906 0.00744606 0.00756580 0.00724655 0.00716042 0.00000794 0.00001174 0.00725831 0.00764172 0.00001058 0.00721525 0.00000987 0.00706354 0.00000291 0.00000715 0.00756295 0.00733231 0.00729392 0.00759340 0.00733356 0.00001058 0.00744312 0.00724799 0.00738444 0.00000773 0.00721122 0.00734651 0.00672369 0.00725606 0.00719298 0.00740754 0.00767467 0.00730279 0.00748699 0.00001172 0.00725099 0.00000609 0.00728832 0.00725718 0.00721681 0.00722606 0.00734010 0.00740002 0.00000397 0.00754822 0.00724643 0.00744155 0.00726367 0.00724391 0.00000559 0.00724481 0.00704831 0.00722178
s_202 0.00719918 0.00108625 0.00718108 0.00749300 0.00724520 0.00000730 0.00739928 0.00000209 0.00720251 0.00008094 0.00740297 0.00738259 0.00724971 0.00739766 0.00717613 0.00744480 0.00007430 0.00699100 0.00745526 0.00009746 0.00742613 0.00720013 0.00001095 0.00000887 0.00000496 0.00007371 0.00739746 0.00761302 0.00724951 0.00743764 0.00000600 0.00719905 0.00721467 0.00724475 0.00744805 0.00000417 0.00728163 0.00745855 0.00096992 0.00729899 0.00007272 0.00722351 0.00011009 0.00738349 0.00746010 0.00759873 0.00007564 0.00000522 0.00720846 0.00751208 0.00010915 0.00698232 0.00724369 0.00722916 0.00748162 0.00000626 0.00008253 0.00743743 0.00761511 0.00011709 0.00733833 0.00722373 0.00724232 0.00723703 0.00761132 0.00007143 0.00705183 0.00000626 0.00009184 0.00724259 0.00008011 0.00751496 0.00750175 0.00720160 0.00754989 0.00000783 0.00740394 0.00008334 0.00723734 0.00007512 0.00737999 0.00008479 0.00723871 0 0.00737843 0.00722643 0.00756891 0.00719604 0.00001022 0.00000505 0.00738042 0.00746287 0.00720925 0.00720454 0.00720377 0.00722812 0.00724997 0.00745745 0.00676257 0.00722048 0.00784575 0.00010466 0.00723872 0.00723454 0.00000261 0.00720317 0.00758500 0.00736977 0.00719889 0.00745812 0.00014413 0.00007991 0.00719902 0.00000574 0.00006773 0.00723301 0.00730272 0.00000782 0.00739703 0.00722644 0.00720247 0.00000574 0.00751034 0.00720634 0.00007378 0.00724056 0.00738423 0.00722442 0.00724664 0.00727128 0.00743508 0.00006975 0.00745441 0.00011075 0.00708501 0.00723483 0.00000704 0.00102243 0.00724758 0.00007560 0.00097832 0.00004541 0.00000782 0.00009199 0.00777062 0.00760715 0.00730287 0.00721518 0.00719750 0.00000470 0.00722230 0.00007621 0.00000157 0.00007355 0.00009272 0.00743985 0.00736242 0.00722684 0.00727979 0.00000391 0.00720962 0.00000339 0.00000574 0.00721379 0.00007957 0.00737270 0.00006979
s_225 0.00712597 0.00753216 0.00717817 0.00787167 0.00713494 0.00741404 0.00739859 0.00737483 0.00711385 0.00740531 0.00777475 0.00745927 0.00713322 0.00000160 0.00710227 0.00753221 0.00735789 0.00702466 0.00757765 0.00738982 0.00756783 0.00708931 0.00737654 0.00741292 0.00741312 0.00735942 0.00742917 0.00766113 0.00715785 0.00761718 0.00740725 0.00715872 0.00715907 0.00715391 0.00757547 0.00741006 0.00766562 0.00756891 0.00738760 0.00770476 0.00739565 0.00711081 0.00740483 0.00767945 0.00762240 0.00754626 0.00736897 0.00741007 0.00715902 0.00787531 0.00736883 0.00692322 0.00718999 0.00706397 0.00775466 0.00732181 0.00737686 0.00756975 0.00768232 0.00740116 0.00744026 0.00714186 0.00713841 0.00718033 0.00713066 0.00731889 0.00702352 0.00740667 0.00738261 0.00716332 0.00736307 0.00758632 0.00759677 0.00710820 0.00754261 0.00740909 0.00764346 0.00739235 0.00717084 0.00735220 0.00766518 0.00736546 0.00714709 0.00737843 0 0.00711818 0.00777849 0.00706716 0.00742369 0.00732432 0.00739005 0.00762207 0.00715588 0.00709615 0.00712266 0.00711319 0.00711546 0.00773327 0.00669234 0.00714913 0.00800576 0.00737349 0.00750539 0.00710398 0.00737532 0.00712317 0.00769637 0.00707797 0.00712042 0.00761824 0.00741078 0.00733982 0.00709647 0.00740934 0.00732225 0.00750801 0.00755497 0.00741432 0.00000455 0.00713114 0.00712198 0.00741519 0.00787567 0.00715902 0.00736462 0.00711064 0.00748407 0.00714276 0.00713073 0.00765986 0.00762142 0.00736181 0.00773025 0.00735138 0.00700218 0.00750774 0.00737096 0.00739899 0.00710407 0.00740078 0.00735432 0.00731963 0.00737905 0.00737313 0.00787335 0.00789794 0.00762871 0.00735093 0.00712447 0.00740720 0.00711602 0.00738099 0.00741392 0.00730811 0.00740909 0.00765825 0.00764317 0.00711833 0.00766586 0.00736957 0.00750780 0.00741618 0.00736849 0.00714612 0.00733615 0.00742546 0.00733445
s_104 0.00001118 0.00736747 0.00000657 0.00763066 0.00000796 0.00721540 0.00716077 0.00722628 0.00000986 0.00727678 0.00746763 0.00747745 0.00000846 0.00712707 0.00001038 0.00718868 0.00720627 0.00028684 0.00721126 0.00730228 0.00742433 0.00005768 0.00722679 0.00721821 0.00721930 0.00722839 0.00705664 0.00723455 0.00000926 0.00733812 0.00721373 0.00000766 0.00000847 0.00000775 0.00743027 0.00721708 0.00759084 0.00721460 0.00735180 0.00759493 0.00721494 0.00005767 0.00723109 0.00740038 0.00732957 0.00736719 0.00722676 0.00723981 0.00000953 0.00762328 0.00728673 0.00001031 0.00000952 0.00001173 0.00757740 0.00722352 0.00728478 0.00741128 0.00723161 0.00723952 0.00697121 0.00001069 0.00000587 0.00000212 0.00730948 0.00726743 0.00028677 0.00721874 0.00724214 0.00000582 0.00722550 0.00731230 0.00714557 0.00001280 0.00714203 0.00721709 0.00729467 0.00723704 0.00001057 0.00724442 0.00736139 0.00723688 0.00000662 0.00722643 0.00711818 0 0.00771188 0.00000905 0.00721866 0.00720030 0.00716834 0.00733591 0.00000740 0.00005256 0.00000906 0.00005797 0.00001243 0.00757404 0.00714955 0.00000899 0.00781735 0.00723516 0.00740358 0.00001148 0.00722705 0.00001173 0.00730847 0.00002201 0.00001039 0.00733621 0.00731579 0.00727083 0.00005739 0.00721883 0.00719896 0.00741122 0.00757518 0.00723971 0.00714750 0.00000609 0.00001173 0.00721772 0.00761987 0.00000740 0.00722514 0.00001253 0.00705953 0.00000581 0.00000476 0.00757267 0.00732772 0.00727430 0.00757280 0.00731105 0.00000661 0.00740822 0.00722342 0.00736889 0.00000613 0.00721431 0.00734411 0.00669597 0.00722446 0.00720089 0.00741713 0.00766983 0.00730985 0.00743274 0.00000852 0.00721736 0.00000741 0.00728100 0.00721938 0.00722986 0.00723112 0.00734470 0.00740372 0.00000767 0.00755745 0.00722189 0.00740695 0.00723227 0.00722292 0.00000984 0.00722719 0.00704480 0.00721913
s_108 0.00770115 0.00775442 0.00780962 0.00780390 0.00772303 0.00756955 0.00755231 0.00756813 0.00766830 0.00763060 0.00779168 0.00766476 0.00771910 0.00776888 0.00773345 0.00770000 0.00755950 0.00742818 0.00771502 0.00765914 0.00774757 0.00770682 0.00757717 0.00757122 0.00756771 0.00756503 0.00748851 0.00773822 0.00770874 0.00774293 0.00755537 0.00771219 0.00770954 0.00770050 0.00774465 0.00755920 0.00776197 0.00770208 0.00766852 0.00780362 0.00754915 0.00770925 0.00756482 0.00777418 0.00774302 0.00770294 0.00756370 0.00755689 0.00771335 0.00778282 0.00759055 0.00743871 0.00770889 0.00773017 0.00782616 0.00756413 0.00766653 0.00774572 0.00775231 0.00762176 0.00743927 0.00770552 0.00767811 0.00769982 0.00797458 0.00761002 0.00744253 0.00756061 0.00761341 0.00770590 0.00759499 0.00772423 0.00769754 0.00768844 0.00758589 0.00756187 0.00762657 0.00759408 0.00775325 0.00758511 0.00768198 0.00760416 0.00772190 0.00756891 0.00777849 0.00771188 0 0.00770094 0.00757848 0.00750690 0.00754976 0.00774808 0.00769861 0.00770668 0.00769677 0.00770515 0.00770912 0.00783042 0.00771369 0.00770928 0.00000082 0.00756559 0.00758771 0.00768851 0.00756623 0.00770041 0.00787815 0.00779545 0.00769937 0.00775075 0.00765577 0.00764155 0.00770645 0.00755987 0.00754887 0.00759192 0.00782734 0.00755903 0.00776715 0.00771208 0.00769885 0.00756987 0.00776785 0.00770868 0.00758969 0.00770801 0.00749582 0.00772148 0.00770909 0.00778560 0.00773409 0.00761595 0.00782904 0.00770749 0.00770447 0.00758682 0.00756542 0.00766878 0.00770047 0.00754035 0.00764981 0.00761045 0.00757795 0.00758197 0.00792027 0.00785367 0.00760277 0.00000051 0.00770124 0.00756034 0.00771927 0.00760665 0.00756021 0.00755943 0.00760251 0.00765777 0.00777383 0.00770539 0.00775500 0.00756377 0.00759469 0.00756733 0.00756381 0.00772819 0.00756749 0.00747142 0.00759318
s_132 0.00001288 0.00734396 0.00000616 0.00765914 0.00001551 0.00721457 0.00715003 0.00720560 0.00000895 0.00726611 0.00744488 0.00747541 0.00001220 0.00707400 0.00000806 0.00719109 0.00718188 0.00028339 0.00722608 0.00727113 0.00742035 0.00006968 0.00720064 0.00720529 0.00720933 0.00720364 0.00704694 0.00721904 0.00000929 0.00734265 0.00720183 0.00001037 0.00001328 0.00000664 0.00741968 0.00720812 0.00755736 0.00722676 0.00732748 0.00756870 0.00720761 0.00007514 0.00720175 0.00739132 0.00733410 0.00736453 0.00720398 0.00723085 0.00000743 0.00763069 0.00725687 0.00000752 0.00001194 0.00001434 0.00758528 0.00720552 0.00727248 0.00741408 0.00721158 0.00721782 0.00699168 0.00000874 0.00000684 0.00000531 0.00731192 0.00724575 0.00028206 0.00719478 0.00720784 0.00000796 0.00720521 0.00726894 0.00711270 0.00000764 0.00716245 0.00719862 0.00728357 0.00720751 0.00001170 0.00722225 0.00735544 0.00722097 0.00001358 0.00719604 0.00706716 0.00000905 0.00770094 0 0.00722182 0.00716888 0.00714906 0.00734031 0.00001039 0.00006922 0.00001079 0.00007165 0.00001062 0.00755972 0.00715081 0.00001086 0.00780340 0.00718477 0.00740757 0.00000797 0.00721591 0.00000605 0.00734301 0.00001943 0.00001342 0.00734081 0.00728360 0.00724199 0.00007544 0.00720976 0.00715039 0.00741688 0.00752782 0.00722752 0.00708053 0.00000479 0.00000711 0.00721656 0.00765139 0.00000742 0.00720435 0.00000737 0.00705844 0.00001224 0.00000879 0.00753947 0.00733246 0.00725048 0.00757945 0.00728506 0.00000549 0.00741386 0.00720532 0.00733992 0.00000764 0.00718978 0.00733728 0.00671112 0.00721368 0.00717116 0.00739440 0.00765349 0.00730264 0.00748571 0.00000605 0.00720864 0.00001114 0.00726338 0.00721417 0.00716866 0.00720912 0.00733960 0.00739392 0.00001406 0.00752415 0.00720333 0.00741207 0.00722097 0.00720200 0.00001232 0.00720121 0.00704322 0.00717198
s_127 0.00722619 0.00110628 0.00718065 0.00749900 0.00723105 0.00001011 0.00742739 0.00000891 0.00723709 0.00008899 0.00737773 0.00737946 0.00724124 0.00742428 0.00719963 0.00746711 0.00008054 0.00699918 0.00748495 0.00009996 0.00743441 0.00723701 0.00000960 0.00000830 0.00001193 0.00007750 0.00740691 0.00758716 0.00722154 0.00743472 0.00000969 0.00720979 0.00720620 0.00723838 0.00743234 0.00000865 0.00737131 0.00747791 0.00097169 0.00738175 0.00007733 0.00723806 0.00011542 0.00730013 0.00743583 0.00761566 0.00007839 0.00000995 0.00721127 0.00748984 0.00011155 0.00699660 0.00722533 0.00720623 0.00749083 0.00000865 0.00008790 0.00743137 0.00758512 0.00011873 0.00738661 0.00723367 0.00722745 0.00723853 0.00768866 0.00007836 0.00699619 0.00000838 0.00009357 0.00722407 0.00008370 0.00750099 0.00751496 0.00723325 0.00761277 0.00000734 0.00734097 0.00008802 0.00723968 0.00008030 0.00740667 0.00008836 0.00724116 0.00001022 0.00742369 0.00721866 0.00757848 0.00722182 0 0.00000747 0.00742335 0.00743636 0.00720177 0.00723818 0.00723892 0.00723182 0.00722209 0.00746618 0.00750551 0.00722313 0.00780511 0.00010966 0.00723284 0.00723612 0.00001021 0.00723895 0.00761192 0.00730851 0.00722423 0.00744212 0.00014731 0.00008590 0.00723623 0.00000681 0.00007336 0.00723469 0.00737345 0.00001074 0.00742731 0.00722848 0.00723800 0.00000960 0.00751381 0.00721000 0.00007362 0.00722928 0.00741543 0.00722761 0.00724106 0.00736849 0.00743163 0.00007507 0.00746373 0.00011248 0.00709148 0.00722799 0.00000734 0.00102585 0.00724759 0.00007994 0.00098294 0.00005040 0.00001115 0.00009643 0.00771166 0.00758107 0.00733411 0.00722584 0.00722433 0.00000943 0.00722131 0.00008009 0.00000943 0.00007630 0.00009851 0.00740703 0.00724029 0.00721931 0.00736766 0.00000760 0.00723316 0.00000760 0.00000969 0.00722067 0.00008290 0.00740313 0.00007334
s_212 0.00717188 0.00108284 0.00714679 0.00746679 0.00721904 0.00000690 0.00739479 0.00000478 0.00714674 0.00008623 0.00738145 0.00736278 0.00722321 0.00732022 0.00714798 0.00742659 0.00007437 0.00698991 0.00743881 0.00009689 0.00741141 0.00717173 0.00000611 0.00000584 0.00000745 0.00007401 0.00738045 0.00753435 0.00722920 0.00740931 0.00000266 0.00717123 0.00718520 0.00721915 0.00741806 0.00000266 0.00727608 0.00743748 0.00098295 0.00730135 0.00007464 0.00719612 0.00010975 0.00739252 0.00743145 0.00754926 0.00007545 0.00000425 0.00718131 0.00748548 0.00010933 0.00695178 0.00722270 0.00720508 0.00744135 0.00000239 0.00008328 0.00740816 0.00756687 0.00011720 0.00731130 0.00719674 0.00719086 0.00721591 0.00713327 0.00007117 0.00705089 0.00000106 0.00009301 0.00722147 0.00008162 0.00750832 0.00740941 0.00717715 0.00747340 0.00000080 0.00734054 0.00008495 0.00721122 0.00007709 0.00735495 0.00008343 0.00721191 0.00000505 0.00732432 0.00720030 0.00750690 0.00716888 0.00000747 0 0.00736975 0.00743634 0.00718244 0.00717380 0.00717700 0.00720067 0.00722937 0.00723975 0.00673160 0.00719387 0.00776977 0.00010527 0.00722569 0.00721315 0.00000558 0.00717580 0.00756143 0.00736815 0.00717193 0.00743614 0.00014283 0.00008144 0.00717136 0.00000159 0.00007113 0.00722123 0.00730063 0.00000292 0.00732101 0.00719993 0.00717490 0.00000717 0.00747172 0.00717895 0.00007249 0.00721398 0.00740533 0.00719728 0.00722012 0.00726897 0.00740759 0.00007027 0.00723749 0.00011098 0.00706115 0.00722197 0.00000133 0.00103982 0.00722030 0.00007676 0.00099759 0.00004552 0.00000850 0.00009266 0.00766890 0.00756071 0.00727735 0.00712867 0.00717038 0.00000159 0.00719301 0.00007524 0.00000452 0.00007441 0.00009559 0.00740427 0.00737636 0.00720009 0.00725775 0.00000159 0.00721935 0.00000372 0.00000239 0.00718643 0.00007786 0.00735707 0.00006951
s_227 0.00715720 0.00748701 0.00734521 0.00711841 0.00717217 0.00733374 0.00000137 0.00740616 0.00716677 0.00740705 0.00704195 0.00310925 0.00716260 0.00739006 0.00715405 0.00436215 0.00742487 0.00703721 0.00418404 0.00745436 0.00676626 0.00716798 0.00738084 0.00733717 0.00733633 0.00743307 0.00135496 0.00523996 0.00715645 0.00702546 0.00738054 0.00716194 0.00716685 0.00717264 0.00676291 0.00738329 0.00766186 0.00418095 0.00742453 0.00770186 0.00739932 0.00716722 0.00743027 0.00700469 0.00703359 0.00293551 0.00743164 0.00736033 0.00716832 0.00712027 0.00748773 0.00693951 0.00715952 0.00715407 0.00681215 0.00734859 0.00744454 0.00676247 0.00521254 0.00741628 0.00277083 0.00716488 0.00714842 0.00714571 0.00431123 0.00742436 0.00704422 0.00735596 0.00742206 0.00716184 0.00741547 0.00466102 0.00257229 0.00715220 0.00311483 0.00737546 0.00689237 0.00744021 0.00716898 0.00736674 0.00694966 0.00744832 0.00716896 0.00738042 0.00739005 0.00716834 0.00754976 0.00714906 0.00742335 0.00736975 0 0.00703869 0.00715987 0.00717099 0.00715361 0.00717716 0.00716656 0.00680186 0.00426371 0.00715994 0.00783593 0.00744475 0.00729988 0.00714743 0.00740605 0.00715267 0.00445426 0.00724514 0.00715547 0.00703666 0.00748237 0.00742160 0.00716959 0.00735340 0.00741454 0.00733152 0.00759538 0.00738864 0.00737479 0.00716651 0.00715337 0.00733633 0.00711297 0.00716210 0.00740773 0.00715842 0.00135004 0.00716719 0.00717638 0.00765071 0.00702859 0.00743393 0.00680642 0.00745053 0.00702238 0.00733276 0.00737766 0.00744547 0.00715835 0.00741984 0.00734271 0.00727247 0.00735827 0.00744370 0.00535620 0.00689995 0.00691066 0.00722458 0.00714750 0.00735113 0.00715374 0.00745291 0.00738036 0.00743982 0.00741957 0.00694711 0.00695625 0.00715065 0.00764882 0.00738175 0.00732974 0.00737871 0.00734861 0.00718052 0.00741388 0.00134413 0.00742499
s_214 0.00733608 0.00749407 0.00737796 0.00291320 0.00733436 0.00743880 0.00704297 0.00746142 0.00733463 0.00745090 0.00251241 0.00735669 0.00733607 0.00761807 0.00732356 0.00730763 0.00744345 0.00724867 0.00731172 0.00746116 0.00313465 0.00733792 0.00746190 0.00743840 0.00746778 0.00746131 0.00709393 0.00704821 0.00734758 0.00000191 0.00744105 0.00733811 0.00733311 0.00734030 0.00313154 0.00743863 0.00758666 0.00731413 0.00740861 0.00763075 0.00744041 0.00733817 0.00747955 0.00728932 0.00000137 0.00736951 0.00745328 0.00744060 0.00733894 0.00291895 0.00748204 0.00706053 0.00735095 0.00732013 0.00257282 0.00746276 0.00745680 0.00313159 0.00702767 0.00747607 0.00708822 0.00733333 0.00733600 0.00733207 0.00679031 0.00743064 0.00724560 0.00744108 0.00746061 0.00734381 0.00744558 0.00729782 0.00730246 0.00734244 0.00713948 0.00744048 0.00261915 0.00746594 0.00734057 0.00744978 0.00284900 0.00747446 0.00733754 0.00746287 0.00762207 0.00733591 0.00774808 0.00734031 0.00743636 0.00743634 0.00703869 0 0.00733532 0.00733540 0.00733775 0.00734112 0.00734913 0.00257616 0.00625896 0.00733580 0.00804568 0.00747661 0.00747239 0.00734058 0.00746147 0.00733904 0.00749641 0.00722719 0.00733635 0.00000383 0.00747697 0.00743935 0.00733502 0.00743850 0.00743304 0.00747739 0.00758659 0.00744220 0.00761736 0.00733997 0.00733995 0.00743802 0.00291676 0.00733597 0.00745241 0.00733982 0.00709208 0.00733682 0.00733772 0.00758822 0.00000192 0.00744527 0.00257595 0.00748296 0.00719028 0.00747309 0.00746208 0.00742418 0.00734360 0.00745722 0.00737375 0.00732485 0.00746120 0.00747438 0.00712895 0.00253922 0.00281442 0.00739595 0.00733885 0.00744022 0.00733344 0.00743461 0.00744142 0.00745177 0.00746273 0.00284558 0.00729105 0.00733457 0.00758958 0.00743969 0.00747586 0.00746146 0.00746204 0.00733380 0.00744893 0.00705950 0.00744716
s_99 0.00000639 0.00736298 0.00000814 0.00762563 0.00000425 0.00719034 0.00716119 0.00721076 0.00000613 0.00726333 0.00746471 0.00747593 0.00000476 0.00716377 0.00001263 0.00719113 0.00719231 0.00028806 0.00721282 0.00728588 0.00741295 0.00005525 0.00721094 0.00720112 0.00720233 0.00721242 0.00705182 0.00723224 0.00000820 0.00733760 0.00719030 0.00000264 0.00000503 0.00001363 0.00741477 0.00719199 0.00757167 0.00720767 0.00734027 0.00757628 0.00721357 0.00005280 0.00721621 0.00739733 0.00732899 0.00736530 0.00721131 0.00721575 0.00000847 0.00761796 0.00727373 0.00000582 0.00000661 0.00000683 0.00757298 0.00719968 0.00726928 0.00740656 0.00722868 0.00722189 0.00697595 0.00000588 0.00001014 0.00000212 0.00731227 0.00725719 0.00028796 0.00720063 0.00721556 0.00000317 0.00721214 0.00730458 0.00714812 0.00000960 0.00713381 0.00719993 0.00728774 0.00722316 0.00000608 0.00722885 0.00735769 0.00721208 0.00000582 0.00720925 0.00715588 0.00000740 0.00769861 0.00001039 0.00720177 0.00718244 0.00715987 0.00733532 0 0.00005612 0.00000640 0.00005610 0.00000476 0.00755619 0.00714570 0.00000291 0.00779486 0.00720898 0.00740314 0.00000828 0.00720359 0.00000773 0.00731052 0.00001589 0.00000640 0.00733568 0.00730244 0.00725734 0.00005388 0.00719370 0.00719072 0.00741033 0.00754146 0.00721588 0.00718524 0.00001007 0.00000667 0.00719214 0.00761622 0.00000952 0.00721885 0.00000720 0.00706349 0.00000397 0.00001138 0.00755353 0.00732709 0.00725691 0.00755702 0.00728847 0.00000714 0.00740714 0.00719827 0.00735242 0.00000773 0.00719596 0.00735754 0.00671070 0.00719847 0.00722886 0.00741429 0.00766504 0.00730535 0.00742696 0.00001305 0.00719229 0.00000397 0.00725977 0.00719448 0.00721338 0.00720531 0.00734096 0.00739682 0.00000423 0.00753975 0.00719640 0.00740650 0.00720675 0.00719887 0.00000213 0.00721710 0.00704816 0.00720877
s_134 0.00006705 0.00733109 0.00006791 0.00759926 0.00005477 0.00720606 0.00716752 0.00721076 0.00006966 0.00721394 0.00742149 0.00740743 0.00005697 0.00709799 0.00006772 0.00718953 0.00719653 0.00027705 0.00722508 0.00723950 0.00739520 0.00000971 0.00720050 0.00720928 0.00720771 0.00721479 0.00706356 0.00718772 0.00005515 0.00733768 0.00720197 0.00005599 0.00005453 0.00005595 0.00739309 0.00720037 0.00755055 0.00722249 0.00730971 0.00755846 0.00722068 0.00000761 0.00722382 0.00736724 0.00732973 0.00732960 0.00721739 0.00722610 0.00005316 0.00756379 0.00729838 0.00005863 0.00005432 0.00006992 0.00758343 0.00719741 0.00720591 0.00737675 0.00719077 0.00724294 0.00701823 0.00007006 0.00006502 0.00005019 0.00731489 0.00721791 0.00027684 0.00720366 0.00723083 0.00005133 0.00720315 0.00720680 0.00716313 0.00007371 0.00720787 0.00720128 0.00720358 0.00718632 0.00005493 0.00724138 0.00731237 0.00722391 0.00005583 0.00720454 0.00709615 0.00005256 0.00770668 0.00006922 0.00723818 0.00717380 0.00717099 0.00733540 0.00005612 0 0.00006553 0.00000945 0.00005759 0.00753973 0.00714811 0.00005553 0.00780387 0.00722089 0.00737749 0.00005832 0.00721163 0.00007127 0.00733867 0.00008763 0.00006851 0.00733538 0.00724421 0.00719994 0.00000814 0.00720287 0.00719457 0.00738580 0.00751819 0.00722893 0.00710270 0.00005607 0.00007238 0.00720619 0.00759284 0.00005473 0.00722530 0.00007236 0.00708502 0.00005413 0.00005579 0.00753285 0.00732762 0.00721646 0.00755793 0.00721797 0.00005404 0.00738262 0.00719772 0.00731567 0.00006490 0.00720610 0.00730182 0.00682812 0.00720644 0.00722398 0.00735017 0.00765642 0.00725774 0.00743498 0.00006705 0.00720161 0.00005600 0.00726224 0.00721395 0.00721115 0.00720760 0.00730087 0.00735938 0.00005424 0.00751757 0.00720151 0.00738105 0.00721241 0.00720143 0.00005346 0.00722322 0.00706151 0.00721605
s_148 0.00000342 0.00734476 0.00000494 0.00766042 0.00000535 0.00722155 0.00715881 0.00725790 0.00000499 0.00726363 0.00743804 0.00747466 0.00000743 0.00710634 0.00000778 0.00719036 0.00718155 0.00028970 0.00722810 0.00727450 0.00741233 0.00006460 0.00725807 0.00721226 0.00721630 0.00720322 0.00705075 0.00721593 0.00000664 0.00734008 0.00720180 0.00000745 0.00000425 0.00001035 0.00740976 0.00720650 0.00756337 0.00722774 0.00733765 0.00757550 0.00720702 0.00006297 0.00720882 0.00739543 0.00733117 0.00736893 0.00720531 0.00721366 0.00001222 0.00763922 0.00726603 0.00001013 0.00000584 0.00000351 0.00757895 0.00721443 0.00726708 0.00739578 0.00720828 0.00722432 0.00698964 0.00000451 0.00000763 0.00000425 0.00731671 0.00724636 0.00028891 0.00719477 0.00721177 0.00000717 0.00719187 0.00726416 0.00710702 0.00001054 0.00715683 0.00719722 0.00728044 0.00718588 0.00000665 0.00722307 0.00735549 0.00721924 0.00000613 0.00720377 0.00712266 0.00000906 0.00769677 0.00001079 0.00723892 0.00717700 0.00715361 0.00733775 0.00000640 0.00006553 0 0.00006511 0.00000797 0.00755292 0.00714973 0.00000477 0.00786267 0.00721989 0.00740537 0.00000584 0.00726847 0.00000473 0.00734544 0.00001840 0.00000342 0.00733784 0.00728929 0.00724962 0.00006296 0.00720820 0.00717725 0.00741326 0.00753449 0.00722809 0.00712697 0.00001227 0.00000789 0.00722481 0.00765194 0.00001327 0.00720835 0.00000605 0.00706032 0.00000613 0.00001120 0.00754542 0.00732992 0.00725787 0.00757138 0.00729403 0.00001205 0.00741007 0.00721260 0.00734314 0.00000474 0.00718998 0.00733801 0.00675742 0.00726810 0.00722139 0.00739177 0.00764505 0.00730213 0.00748239 0.00000948 0.00720674 0.00000770 0.00726422 0.00724222 0.00720676 0.00721276 0.00734429 0.00739088 0.00000425 0.00753148 0.00721121 0.00740896 0.00722904 0.00721077 0.00000509 0.00720862 0.00704624 0.00719713
