Genome_ID	Nanopore_ID	Species	Sequence_size	N50	AR_gene_list	Genome_quality	Illumina_Library_ID	Sample_ID.x	Culturing_Sample_ID	Antibiotics	Sample_ID.y	Cubicle_room	Sample_type	Material	Human_Traffic	timept	Room_type	bed_number
s_5556	N119_BC06	Staphylococcus_epidermidis	2238115	61712	Far1;MECA;BlaZ;	MEDIUM_QUAL	WEE305	HMBR019	HMBR021	KAN	HMBR019	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_5190	N119_BC06	Staphylococcus_capitis	2529948	690598	Aac6-Aph2;Far1;	HIGH_QUAL	WEE305	HMBR019	HMBR021	KAN	HMBR019	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_6036	N119_BC06	Staphylococcus_haemolyticus	2669254	1331175	Aac6-Aph2;MphC;MsrA;Dfr;MECA;BlaZ;BlaZ;Aac6-Aph2;	HIGH_QUAL	WEE305	HMBR019	HMBR021	KAN	HMBR019	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_5558	N120_BC01	Staphylococcus_epidermidis	2520997	2495909	MphC;DfrC;MECA;Far1;MsrA;BlaZ;	HIGH_QUAL	WEE292	HMCT013	HMCT015	STREP	HMCT013	Ward_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_wards	5
s_881	N120_BC02	Bacillus_cereus	5009530	500835	BLA;	HIGH_QUAL	WEE376	HMBL118	HMBL120	TET	HMBL118	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	5
s_3277	N120_BC03	Enterococcus_faecalis	3031393	2925259	ErmB;MphD;LsaA;TetM;	HIGH_QUAL	WEE147	HMCT124	HMCT126	STREP	HMCT124	Room_2	Cardiac_Table	Metal	Empty	1	Isolation_rooms	NA
s_2786	N120_BC04	Corynebacterium_striatum	1758223	1710901	StrB;Cmr;Aph3Ia;ErmX;Cmr;ErmX;Cmr;	MEDIUM_QUAL	WEE305	HMBR019	HMBR021	STREP	HMBR019	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_6039	N120_BC04	Staphylococcus_haemolyticus	2626800	2539977	BlaZ;MECA;TetK;	HIGH_QUAL	WEE305	HMBR019	HMBR021	STREP	HMBR019	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_5559	N120_BC04	Staphylococcus_epidermidis	2544841	707032	MphC;MsrA;Far1;DfrC;MECA;	HIGH_QUAL	WEE305	HMBR019	HMBR021	STREP	HMBR019	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_6041	N120_BC06	Staphylococcus_haemolyticus	2905920	2498115	BlaZ;MECA;TetK;BlaZ;MECA;Aac6-Aph2;MphC;MsrA;	MEDIUM_QUAL	WEE305	HMBR019	HMBR021	TET	HMBR019	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_3278	N120_BC07	Enterococcus_faecalis	2848452	407693	TetM;LsaA;MphD;	HIGH_QUAL	WEE184	HMBR064	HMBR066	AMP	HMBR064	Ward_1	Bed_Rail	Metal	Empty	1	Standard_wards	2
s_6042	N120_BC07	Staphylococcus_haemolyticus	2673565	2574027	BlaZ;Aac6-Aph2;MECA;MphC;Dfr;MsrA;BlaZ;	HIGH_QUAL	WEE184	HMBR064	HMBR066	AMP	HMBR064	Ward_1	Bed_Rail	Metal	Empty	1	Standard_wards	2
s_3279	N120_BC08	Enterococcus_faecalis	2929957	2900821	MphD;TetM;LsaA;	HIGH_QUAL	WEE184	HMBR064	HMBR066	STREP	HMBR064	Ward_1	Bed_Rail	Metal	Empty	1	Standard_wards	2
s_3280	N120_BC09	Enterococcus_faecalis	2928363	2899244	MphD;TetM;LsaA;	HIGH_QUAL	WEE184	HMBR064	HMBR066	TET	HMBR064	Ward_1	Bed_Rail	Metal	Empty	1	Standard_wards	2
s_7188	N120_BC10	Staphylococcus_sciuri	2717185	746128		HIGH_QUAL	WEE165	HMBL067	HMBL069	AMP	HMBL067	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	3
s_6044	N120_BC10	Staphylococcus_haemolyticus	2552320	92119	BlaZ;Aph3-III;Sat4A;AadD;Dfr;MECA;MphC;Aac6-Aph2;MsrA;	HIGH_QUAL	WEE165	HMBL067	HMBL069	AMP	HMBL067	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	3
s_6045	N120_BC11	Staphylococcus_haemolyticus	2529033	2503866		HIGH_QUAL	WEE165	HMBL067	HMBL069	CHLOR	HMBL067	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	3
s_6046	N120_BC12	Staphylococcus_haemolyticus	2946861	337215	Aph3-III;Sat4A;BlaZ;Sat4A;Aph3-III;MECA;Aac6-Aph2;CatA;TetK;BlaZ;	MEDIUM_QUAL	WEE165	HMBL067	HMBL069	KAN	HMBL067	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	3
s_6715	N120_BC12	Staphylococcus_hominis	1953915	77858		MEDIUM_QUAL	WEE165	HMBL067	HMBL069	KAN	HMBL067	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	3
s_6047	N121_BC01	Staphylococcus_haemolyticus	2638691	2551679	MphC;BlaZ;MECA;Aph3-III;Aac6-Aph2;Dfr;MsrA;Sat4A;AadD;	HIGH_QUAL	WEE165	HMBL067	HMBL069	STREP	HMBL067	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	3
s_6048	N121_BC02	Staphylococcus_haemolyticus	2487692	2462934	BlaZ;	HIGH_QUAL	WEE165	HMBL067	HMBL069	TET	HMBL067	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	3
s_6049	N121_BC03	Staphylococcus_haemolyticus	2525505	716383	Dfr;MECA;Aac6-Aph2;BlaZ;MphC;MsrA;	HIGH_QUAL	WEE271	HMBR013	HMBR015	KAN	HMBR013	Ward_1	Bed_Rail	Metal	Empty	1	MDRO_wards	5
s_3281	N121_BC03	Enterococcus_faecalis	3039850	3009625	Aac6-Aph2;MphD;TetM;LsaA;	HIGH_QUAL	WEE271	HMBR013	HMBR015	KAN	HMBR013	Ward_1	Bed_Rail	Metal	Empty	1	MDRO_wards	5
s_5561	N121_BC03	Staphylococcus_epidermidis	2611523	850512	DfrC;DfrC;Far1;MECA;BlaZ;Aac6-Aph2;	HIGH_QUAL	WEE271	HMBR013	HMBR015	KAN	HMBR013	Ward_1	Bed_Rail	Metal	Empty	1	MDRO_wards	5
s_3282	N121_BC04	Enterococcus_faecalis	3049122	3018806	Aac6-Aph2;TetM;MphD;LsaA;	HIGH_QUAL	WEE271	HMBR013	HMBR015	STREP	HMBR013	Ward_1	Bed_Rail	Metal	Empty	1	MDRO_wards	5
s_6718	N121_BC04	Staphylococcus_hominis	2331694	1722129	Ant6-Ia;Sat4A;Aph3-III;BlaZ;MECA;Aac6-Aph2;DfrC;	HIGH_QUAL	WEE271	HMBR013	HMBR015	STREP	HMBR013	Ward_1	Bed_Rail	Metal	Empty	1	MDRO_wards	5
s_882	N121_BC05	Bacillus_cereus	5335417	1483521	BLA;	HIGH_QUAL	WEE112	HMCT070	HMCT072	AMP	HMCT070	Ward_1	Cardiac_Table	Metal	Empty	1	Standard_wards	4
s_6050	N121_BC06	Staphylococcus_haemolyticus	2834759	415131	BlaZ;TetK;Dfr;MECA;Far1;	MEDIUM_QUAL	WEE112	HMCT070	HMCT072	CHLOR	HMCT070	Ward_1	Cardiac_Table	Metal	Empty	1	Standard_wards	4
s_5193	N121_BC07	Staphylococcus_capitis	2287988	127141	Aac6-Aph2;	HIGH_QUAL	WEE112	HMCT070	HMCT072	KAN	HMCT070	Ward_1	Cardiac_Table	Metal	Empty	1	Standard_wards	4
s_6051	N121_BC07	Staphylococcus_haemolyticus	2573429	2529247	Dfr;MECA;Far1;BlaZ;	HIGH_QUAL	WEE112	HMCT070	HMCT072	KAN	HMCT070	Ward_1	Cardiac_Table	Metal	Empty	1	Standard_wards	4
s_6052	N121_BC08	Staphylococcus_haemolyticus	2867641	1527581	AadD;LnuA;TetK;BlaZ;BlaZ;Aac6-Aph2;MECA;Dfr;BlaZ;Far1;	MEDIUM_QUAL	WEE112	HMCT070	HMCT072	TET	HMCT070	Ward_1	Cardiac_Table	Metal	Empty	1	Standard_wards	4
s_6054	N121_BC10	Staphylococcus_haemolyticus	2623425	2575205	Aac6-Aph2;BlaZ;	HIGH_QUAL	WEE097	HMBR067	HMBR069	TET	HMBR067	Ward_1	Bed_Rail	Metal	Empty	1	Standard_wards	3
s_6055	N121_BC11	Staphylococcus_haemolyticus	2735579	778158	Aac6-Aph2;MECA;Aac6-Aph2;TetK;MphC;Aac6-Aph2;Aac6-Aph2;MsrA;Aph3-III;Sat4A;Aph3-III;Sat4A;Sat4A;BlaZ;Aph3-III;	HIGH_QUAL	WEE097	HMBR067	HMBR069	AMP	HMBR067	Ward_1	Bed_Rail	Metal	Empty	1	Standard_wards	3
s_5564	N121_BC12	Staphylococcus_epidermidis	1887302	37551	DfrC;BlaZ;Far1;MECA;MphC;MsrA;TetK;	MEDIUM_QUAL	WEE097	HMBR067	HMBR069	CHLOR	HMBR067	Ward_1	Bed_Rail	Metal	Empty	1	Standard_wards	3
s_6056	N121_BC12	Staphylococcus_haemolyticus	2704961	2640080	MECA;Aac6-Aph2;BlaZ;	HIGH_QUAL	WEE097	HMBR067	HMBR069	CHLOR	HMBR067	Ward_1	Bed_Rail	Metal	Empty	1	Standard_wards	3
s_6722	N122_BC01	Staphylococcus_hominis	1882852	54374	MsrA;Dfr;Aac6-Aph2;BlaZ;	MEDIUM_QUAL	WEE386	HMD004	HMD006	AMP	HMD004	Room_2	Door_Handle	Metal	Empty	1	Isolation_rooms	NA
s_6723	N122_BC02	Staphylococcus_hominis	2200422	153978	MsrA;MECA;Aac6-Aph2;BlaZ;Dfr;	MEDIUM_QUAL	WEE386	HMD004	HMD006	KAN	HMD004	Room_2	Door_Handle	Metal	Empty	1	Isolation_rooms	NA
s_6724	N122_BC03	Staphylococcus_hominis	2239669	235615	MsrA;BlaZ;Dfr;MECA;Aac6-Aph2;	HIGH_QUAL	WEE386	HMD004	HMD006	TET	HMD004	Room_2	Door_Handle	Metal	Empty	1	Isolation_rooms	NA
s_6059	N122_BC03	Staphylococcus_haemolyticus	2611240	2570601	MECA;Aac6-Aph2;Dfr;BlaZ;	HIGH_QUAL	WEE386	HMD004	HMD006	TET	HMD004	Room_2	Door_Handle	Metal	Empty	1	Isolation_rooms	NA
s_32	N122_BC04	Achromobacter_sp.	6883413	5854563		HIGH_QUAL	WEE352	HMST018	HMST020	STREP	HMST018	Ward_1	Sink_Trap	Metal	Empty	1	Standard_wards	NA
s_4730	N122_BC05	Staphylococcus_aureus	2983006	1255557	APH-Stph;Aac3-Ik;NorA;BlaZ;Aac6-Aph2;MECA;TetK;Tet-38;Dha1;	HIGH_QUAL	WEE310	HMBR004	HMBR006	AMP	HMBR004	Ward_1	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_4731	N122_BC06	Staphylococcus_aureus	2985520	2955834	BlaZ;MECA;Aac6-Aph2;APH-Stph;TetK;Tet-38;Aac3-Ik;Dha1;NorA;	HIGH_QUAL	WEE310	HMBR004	HMBR006	KAN	HMBR004	Ward_1	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_4732	N122_BC07	Staphylococcus_aureus	2980532	2950897	BlaZ;MECA;APH-Stph;Aac6-Aph2;TetK;Tet-38;Aac3-Ik;Dha1;NorA;	HIGH_QUAL	WEE310	HMBR004	HMBR006	TET	HMBR004	Ward_1	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_6060	N122_BC07	Staphylococcus_haemolyticus	1806495	80110	MECA;	MEDIUM_QUAL	WEE310	HMBR004	HMBR006	TET	HMBR004	Ward_1	Bed_Rail	Metal	Empty	1	MDRO_wards	2
s_6065	N123_BC01	Staphylococcus_haemolyticus	2714455	2639087	MphC;BlaZ;Aph3-III;MECA;Aac6-Aph2;Sat4A;Aac6-Aph2;MsrA;	HIGH_QUAL	WEE032	HMBL124	HMBL126	STREP	HMBL124	Room_2	Bedside_Locker	Wood	Empty	1	Isolation_rooms	NA
s_6728	N123_BC02	Staphylococcus_hominis	1949258	76888	MECA;BlaZ;	MEDIUM_QUAL	WEE032	HMBL124	HMBL126	TET	HMBL124	Room_2	Bedside_Locker	Wood	Empty	1	Isolation_rooms	NA
s_5195	N123_BC03	Staphylococcus_capitis	2690157	2473025	Spc;AadD;ErmA;Spc;ErmA;MECA;MECA;	HIGH_QUAL	WEE283	HMBL022	HMBL024	CHLOR	HMBL022	Ward_2	Bedside_Locker	Wood	Empty	1	MDRO_wards	3
s_5570	N123_BC04	Staphylococcus_epidermidis	1689356	48736	Aac6-Aph2;DfrC;	MEDIUM_QUAL	WEE283	HMBL022	HMBL024	TET	HMBL022	Ward_2	Bedside_Locker	Wood	Empty	1	MDRO_wards	3
s_5196	N123_BC04	Staphylococcus_capitis	2591203	2565422	Aac6-Aph2;MECA;	HIGH_QUAL	WEE283	HMBL022	HMBL024	TET	HMBL022	Ward_2	Bedside_Locker	Wood	Empty	1	MDRO_wards	3
s_6729	N123_BC04	Staphylococcus_hominis	2317224	2294155	MECA;	HIGH_QUAL	WEE283	HMBL022	HMBL024	TET	HMBL022	Ward_2	Bedside_Locker	Wood	Empty	1	MDRO_wards	3
s_5571	N123_BC05	Staphylococcus_epidermidis	2698517	976003	Far1;MphC;MECA;MsrA;DfrC;	HIGH_QUAL	WEE283	HMBL022	HMBL024	AMP	HMBL022	Ward_2	Bedside_Locker	Wood	Empty	1	MDRO_wards	3
s_886	N123_BC05	Bacillus_cereus	2715793	70049	BLA;	MEDIUM_QUAL	WEE283	HMBL022	HMBL024	AMP	HMBL022	Ward_2	Bedside_Locker	Wood	Empty	1	MDRO_wards	3
s_5197	N123_BC05	Staphylococcus_capitis	2571904	2505973	MECA;Aac6-Aph2;	HIGH_QUAL	WEE283	HMBL022	HMBL024	AMP	HMBL022	Ward_2	Bedside_Locker	Wood	Empty	1	MDRO_wards	3
s_4399	N123_BC06	Serratia_marcescens	5589929	5534456	Tet-41;SRT-SST;Aac6-Ic;	MEDIUM_QUAL	WEE054	HMST033	HMST035	STREP	HMST033	Room_2	Sink_Trap	Metal	Empty	1	Isolation_rooms	NA
s_2907	N123_BC07	Elizabethkingia_anophelis	4249815	4207611	GOB-1;B-1;CME-1;	HIGH_QUAL	WEE054	HMST033	HMST035	CHLOR	HMST033	Room_2	Sink_Trap	Metal	Empty	1	Isolation_rooms	NA
s_4400	N123_BC08	Serratia_marcescens	5341934	5288916	Tet-41;SRT-SST;Aac6-Ic;	HIGH_QUAL	WEE054	HMST033	HMST035	AMP	HMST033	Room_2	Sink_Trap	Metal	Empty	1	Isolation_rooms	NA
s_525	N123_BC08	Acinetobacter_soli	3499155	3464384		HIGH_QUAL	WEE054	HMST033	HMST035	AMP	HMST033	Room_2	Sink_Trap	Metal	Empty	1	Isolation_rooms	NA
s_6067	N123_BC09	Staphylococcus_haemolyticus	2777659	2551372	MECA;Aac6-Aph2;Dfr;BlaZ;MphC;MsrA;	HIGH_QUAL	WEE291	HMBL007	HMBL009	KAN	HMBL007	Ward_1	Bedside_Locker	Wood	Empty	1	MDRO_wards	3
s_7189	N123_BC10	Staphylococcus_sciuri	2915185	2886196		HIGH_QUAL	WEE291	HMBL007	HMBL009	AMP	HMBL007	Ward_1	Bedside_Locker	Wood	Empty	1	MDRO_wards	3
s_6068	N123_BC10	Staphylococcus_haemolyticus	2787428	374914	MECA;Aac6-Aph2;BlaZ;MECA;MphC;Aac6-Aph2;MsrA;Aac6-Aph2;Dfr;	HIGH_QUAL	WEE291	HMBL007	HMBL009	AMP	HMBL007	Ward_1	Bedside_Locker	Wood	Empty	1	MDRO_wards	3
s_4401	N123_BC11	Serratia_marcescens	5302961	5250330	Tet-41;SRT-SST;Aac6-Ic;	HIGH_QUAL	WEE054	HMST033	HMST035	TET	HMST033	Room_2	Sink_Trap	Metal	Empty	1	Isolation_rooms	NA
s_5572	N123_BC12	Staphylococcus_epidermidis	2665810	2033106	DfrC;Far1;DfrC;BlaZ;MECA;BlaZ;	HIGH_QUAL	WEE075	HMP004_02	HMP006_02	TET	HMP004	Ward_2	Pulse_Oxymeter	Rubber	Empty	2	MDRO_wards	NA
s_6731	N123_BC12	Staphylococcus_hominis	2275194	267440	BlaZ;	HIGH_QUAL	WEE075	HMP004_02	HMP006_02	TET	HMP004	Ward_2	Pulse_Oxymeter	Rubber	Empty	2	MDRO_wards	NA
s_5198	N123_BC12	Staphylococcus_capitis	2476743	685643	Far1;Aac6-Aph2;MECA;	HIGH_QUAL	WEE075	HMP004_02	HMP006_02	TET	HMP004	Ward_2	Pulse_Oxymeter	Rubber	Empty	2	MDRO_wards	NA
s_6069	N123_BC12	Staphylococcus_haemolyticus	2724131	1425043	MphC;AadD;MsrA;MsrA;TetK;AadD;Far1;Far1;MsrA;MsrA;Aac6-Aph2;MphC;MsrA;MECA;BlaZ;Dfr;	HIGH_QUAL	WEE075	HMP004_02	HMP006_02	TET	HMP004	Ward_2	Pulse_Oxymeter	Rubber	Empty	2	MDRO_wards	NA
s_3284	N124_BC01	Enterococcus_faecalis	3010814	2696446	MphD;TetM;LsaA;	HIGH_QUAL	WEE089	HMBR079	HMBR081	AMP	HMBR079	Ward_2	Bed_Rail	Metal	Empty	1	Standard_wards	2
s_6070	N124_BC01	Staphylococcus_haemolyticus	2573243	2547639	BlaZ;MECA;TetK;	HIGH_QUAL	WEE089	HMBR079	HMBR081	AMP	HMBR079	Ward_2	Bed_Rail	Metal	Empty	1	Standard_wards	2
s_5199	N124_BC01	Staphylococcus_capitis	2566742	694997	Aac6-Aph2;MECA;MECA;	HIGH_QUAL	WEE089	HMBR079	HMBR081	AMP	HMBR079	Ward_2	Bed_Rail	Metal	Empty	1	Standard_wards	2
s_3285	N124_BC02	Enterococcus_faecalis	3013594	1715164	MphD;TetM;LsaA;	HIGH_QUAL	WEE089	HMBR079	HMBR081	KAN	HMBR079	Ward_2	Bed_Rail	Metal	Empty	1	Standard_wards	2
s_6071	N124_BC03	Staphylococcus_haemolyticus	2586965	2561225	MECA;BlaZ;TetK;	HIGH_QUAL	WEE089	HMBR079	HMBR081	TET	HMBR079	Ward_2	Bed_Rail	Metal	Empty	1	Standard_wards	2
s_3286	N124_BC03	Enterococcus_faecalis	3030187	3000060	MphD;TetM;LsaA;	HIGH_QUAL	WEE089	HMBR079	HMBR081	TET	HMBR079	Ward_2	Bed_Rail	Metal	Empty	1	Standard_wards	2
s_6072	N124_BC04	Staphylococcus_haemolyticus	2691520	2664744	BlaZ;Aph3-III;Aac6-Aph2;MECA;TetK;TetM;	HIGH_QUAL	WEE085	HMCT091	HMCT093	TET	HMCT091	Ward_3	Cardiac_Table	Metal_and_Wood	Empty	1	Standard_wards	1
s_6073	N124_BC05	Staphylococcus_haemolyticus	2663159	2636664	BlaZ;Aph3-III;TetM;MECA;TetK;	HIGH_QUAL	WEE085	HMCT091	HMCT093	KAN	HMCT091	Ward_3	Cardiac_Table	Metal_and_Wood	Empty	1	Standard_wards	1
s_4735	N124_BC06	Staphylococcus_aureus	2986486	2956791	MECA;BlaZ;Aac6-Aph2;Tet-38;Aac3-Ik;Dha1;APH-Stph;NorA;	HIGH_QUAL	WEE297	HMBL004	HMBL006	AMP	HMBL004	Ward_1	Bedside_Locker	Wood	Empty	1	MDRO_wards	2
s_3287	N124_BC06	Enterococcus_faecalis	3077662	3047065	LsaA;MphD;	HIGH_QUAL	WEE297	HMBL004	HMBL006	AMP	HMBL004	Ward_1	Bedside_Locker	Wood	Empty	1	MDRO_wards	2
s_6075	N124_BC07	Staphylococcus_haemolyticus	2598169	2572319	BlaZ;MECA;TetK;	HIGH_QUAL	WEE297	HMBL004	HMBL006	TET	HMBL004	Ward_1	Bedside_Locker	Wood	Empty	1	MDRO_wards	2
s_5202	N124_BC07	Staphylococcus_capitis	2512247	2487248	Aac6-Aph2;MECA;	HIGH_QUAL	WEE297	HMBL004	HMBL006	TET	HMBL004	Ward_1	Bedside_Locker	Wood	Empty	1	MDRO_wards	2
s_3288	N124_BC08	Enterococcus_faecalis	3084887	3054218	MphD;LsaA;	HIGH_QUAL	WEE297	HMBL004	HMBL006	STREP	HMBL004	Ward_1	Bedside_Locker	Wood	Empty	1	MDRO_wards	2
s_218	N124_BC09	Acinetobacter_baumannii	4035303	3995222	Mbl;Zn-dependent;	HIGH_QUAL	WEE143	HMBL073	HMBL075	AMP	HMBL073	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	5
s_5574	N124_BC10	Staphylococcus_epidermidis	2677490	2650854	DfrC;MECA;Aac6-Aph2;ErmC;DfrC;BlaZ;	HIGH_QUAL	WEE143	HMBL073	HMBL075	CHLOR	HMBL073	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	5
s_5575	N124_BC11	Staphylococcus_epidermidis	2666810	2640279	DfrC;MECA;ErmC;Aac6-Aph2;DfrC;BlaZ;	HIGH_QUAL	WEE143	HMBL073	HMBL075	KAN	HMBL073	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	5
s_5576	N124_BC12	Staphylococcus_epidermidis	2671051	788715	ErmC;Aac6-Aph2;ErmC;MECA;DfrC;DfrC;BlaZ;	HIGH_QUAL	WEE143	HMBL073	HMBL075	TET	HMBL073	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	5
s_6076	N125_BC01	Staphylococcus_haemolyticus	2346555	202916	Sat4A;Aph3-III;BlaZ;AadD;AadD;MsrA;Aac6-Aph2;Aac6-Aph2;BlaZ;	MEDIUM_QUAL	WEE323	HMP001	HMP003	KAN	HMP001	Ward_1	Pulse_Oxymeter	Rubber	Empty	1	MDRO_wards	NA
s_5577	N125_BC01	Staphylococcus_epidermidis	2551193	1320420	Far1;MECA;BlaZ;Aac6-Aph2;DfrC;DfrC;	HIGH_QUAL	WEE323	HMP001	HMP003	KAN	HMP001	Ward_1	Pulse_Oxymeter	Rubber	Empty	1	MDRO_wards	NA
s_5578	N125_BC02	Staphylococcus_epidermidis	2559291	2533825	DfrC;Far1;MECA;Aac6-Aph2;DfrC;BlaZ;	HIGH_QUAL	WEE323	HMP001	HMP003	TET	HMP001	Ward_1	Pulse_Oxymeter	Rubber	Empty	1	MDRO_wards	NA
s_6077	N125_BC03	Staphylococcus_haemolyticus	2579393	2553727	MECA;Far1;	HIGH_QUAL	WEE314	HMCT007	HMCT009	CHLOR	HMCT007	Ward_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_wards	3
s_6078	N125_BC04	Staphylococcus_haemolyticus	2897849	1962579	Aac6-Aph2;BlaZ;MECA;MphC;BlaZ;MECA;Aph3-III;Sat4A;Far1;MsrA;Aac6-Aph2;	MEDIUM_QUAL	WEE314	HMCT007	HMCT009	KAN	HMCT007	Ward_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_wards	3
s_5579	N125_BC05	Staphylococcus_epidermidis	2573837	2266834	DfrC;ErmC;Aac6-Aph2;MECA;DfrC;Far1;BlaZ;	HIGH_QUAL	WEE296	HMBR016	HMBR018	KAN	HMBR016	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	1
s_6734	N125_BC05	Staphylococcus_hominis	1981377	115144		MEDIUM_QUAL	WEE296	HMBR016	HMBR018	KAN	HMBR016	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	1
s_5205	N125_BC05	Staphylococcus_capitis	2528252	2503095	MECA;Aac6-Aph2;	HIGH_QUAL	WEE296	HMBR016	HMBR018	KAN	HMBR016	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	1
s_5206	N125_BC06	Staphylococcus_capitis	1292415	39805		MEDIUM_QUAL	WEE306	HMBR025	HMBR027	AMP	HMBR025	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	4
s_4737	N125_BC06	Staphylococcus_aureus	3005314	2825666	Dha1;MECA;Aac3-Ik;APH-Stph;Tet-38;BlaZ;NorA;	HIGH_QUAL	WEE306	HMBR025	HMBR027	AMP	HMBR025	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	4
s_5207	N125_BC07	Staphylococcus_capitis	2781304	2633294	MECA;Aac6-Aph2;	HIGH_QUAL	WEE306	HMBR025	HMBR027	KAN	HMBR025	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	4
s_5208	N125_BC08	Staphylococcus_capitis	2525571	236344	BlaZ;Aac6-Aph2;	HIGH_QUAL	WEE306	HMBR025	HMBR027	STREP	HMBR025	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	4
s_3901	N125_BC08	Macrococcus_sp.	1854957	1836466		MEDIUM_QUAL	WEE306	HMBR025	HMBR027	STREP	HMBR025	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	4
s_4738	N125_BC08	Staphylococcus_aureus	3013843	2762838	Dha1;MECA;Aac3-Ik;APH-Stph;Tet-38;BlaZ;NorA;	HIGH_QUAL	WEE306	HMBR025	HMBR027	STREP	HMBR025	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	4
s_6081	N125_BC09	Staphylococcus_haemolyticus	2606913	2580977	Aac6-Aph2;MECA;TetK;BlaZ;	HIGH_QUAL	WEE306	HMBR025	HMBR027	TET	HMBR025	Ward_2	Bed_Rail	Metal	Empty	1	MDRO_wards	4
s_6082	N125_BC10	Staphylococcus_haemolyticus	2673093	2607433	Aac6-Aph2;MECA;MphC;BlaZ;MsrA;Dfr;Aac6-Aph2;DfrC;	HIGH_QUAL	WEE108	HMBR085	HMBR087	KAN	HMBR085	Ward_2	Bed_Rail	Metal	Empty	1	Standard_wards	4
s_6083	N125_BC11	Staphylococcus_haemolyticus	2686831	2596992	Aac6-Aph2;MECA;Dfr;MphC;MsrA;	HIGH_QUAL	WEE108	HMBR085	HMBR087	TET	HMBR085	Ward_2	Bed_Rail	Metal	Empty	1	Standard_wards	4
s_6084	N125_BC12	Staphylococcus_haemolyticus	2662480	2596806	Aac6-Aph2;MphC;MECA;BlaZ;MsrA;Dfr;	HIGH_QUAL	WEE163	HMCT082	HMCT084	AMP	HMCT082	Ward_2	Cardiac_Table	Metal_and_Wood	Empty	1	Standard_wards	3
s_6738	N126_BC01	Staphylococcus_hominis	2477109	662008	MECA;DfrC;MphC;BlaZ;MECA;DfrC;MsrA;	HIGH_QUAL	WEE163	HMCT082	HMCT084	CHLOR	HMCT082	Ward_2	Cardiac_Table	Metal_and_Wood	Empty	1	Standard_wards	3
s_6085	N126_BC02	Staphylococcus_haemolyticus	2914712	2371461	Dfr;MECA;BlaZ;Aac6-Aph2;	MEDIUM_QUAL	WEE163	HMCT082	HMCT084	KAN	HMCT082	Ward_2	Cardiac_Table	Metal_and_Wood	Empty	1	Standard_wards	3
s_6086	N126_BC03	Staphylococcus_haemolyticus	2640852	2614578	Aac6-Aph2;MphC;MECA;BlaZ;Dfr;MsrA;	HIGH_QUAL	WEE163	HMCT082	HMCT084	TET	HMCT082	Ward_2	Cardiac_Table	Metal_and_Wood	Empty	1	Standard_wards	3
s_219	N126_BC04	Acinetobacter_baumannii	3858348	3820020	OXA-51;MsrE;OXA-23;MphE;CARB-5;ArmA;BlaA2;Mbl;Zn-dependent;ADC;ADC;BlaA1;	HIGH_QUAL	WEE086	HMBL064	HMBL066	AMP	HMBL064	Ward_1	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	2
